   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_16.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0303096, 32, 0, 0, 5.83095, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0223966, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0144835, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00657047, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00134257, 0, 1.41161e-20, 0, 1.41421, -1.41161e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38015e-23, 0, 0, 0, 0, 1.41022e-20, 0, 0, 0
0.00925562, 0, 3.1588e-20, 0, 1.41421, -3.1588e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08843e-23, 0, 0, 0, 0, 3.15572e-20, 0, 0, 0
0.0171687, 0, 6.96988e-20, 0, 1.41421, -6.96988e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.81459e-23, 0, 0, 0, 0, 6.96307e-20, 0, 0, 0
0.0250817, 0, 1.51739e-19, 0, 1.41421, -1.51739e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48358e-22, 0, 0, 0, 0, 1.51591e-19, 0, 0, 0
0.0329948, 0, 3.26129e-19, 0, 1.41421, -3.26129e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18863e-22, 0, 0, 0, 0, 3.2581e-19, 0, 0, 0
0.0409078, 0, 6.92335e-19, 0, 1.41421, -6.92335e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.7691e-22, 0, 0, 0, 0, 6.91658e-19, 0, 0, 0
