   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_152.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0311202, 304, 0, 0, 17.4929, 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0232344, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0153486, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00746282, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000422977, 0, 6.05268e-23, 0, 1.41421, -6.05268e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47488e-28, 0, 6.05265e-23, 0, 0, 0
0.00830878, 0, 1.57199e-22, 0, 1.41421, -1.57199e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.26493e-28, 0, 1.57198e-22, 0, 0, 0
0.0161946, 0, 4.38812e-22, 0, 1.41421, -4.38812e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68999e-27, 0, 4.38809e-22, 0, 0, 0
0.0240804, 0, 1.08099e-21, 0, 1.41421, -1.08099e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77523e-27, 0, 1.08098e-21, 0, 0, 0
0.0319662, 0, 2.61323e-21, 0, 1.41421, -2.61323e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6725e-26, 0, 2.61321e-21, 0, 0, 0
0.039852, 0, 6.20706e-21, 0, 1.41421, -6.20706e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05243e-26, 0, 6.20702e-21, 0, 0, 0
0.0477378, 0, 1.45011e-20, 0, 1.41421, -1.45011e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.64974e-26, 0, 1.4501e-20, 0, 0, 0
0.0556236, 0, 3.33508e-20, 0, 1.41421, -3.33508e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26057e-25, 0, 3.33506e-20, 0, 0, 0
0.0635094, 0, 7.55681e-20, 0, 1.41421, -7.55681e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21453e-25, 0, 7.55676e-20, 0, 0, 0
0.0713952, 0, 1.68806e-19, 0, 1.41421, -1.68806e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18535e-24, 0, 1.68805e-19, 0, 0, 0
0.079281, 0, 3.7197e-19, 0, 1.41421, -3.7197e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65708e-24, 0, 3.71967e-19, 0, 0, 0
0.0871668, 0, 8.08961e-19, 0, 1.41421, -8.08961e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87705e-24, 0, 8.08955e-19, 0, 0, 0
0.0950526, 0, 1.7372e-18, 0, 1.41421, -1.7372e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28335e-23, 0, 1.73719e-18, 0, 0, 0
0.102938, 0, 3.68515e-18, 0, 1.41421, -3.68515e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76805e-23, 0, 3.68512e-18, 0, 0, 0
0.110824, 0, 7.72519e-18, 0, 1.41421, -7.72519e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89983e-23, 0, 7.72513e-18, 0, 0, 0
0.11871, 0, 1.60089e-17, 0, 1.41421, -1.60089e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24314e-22, 0, 1.60088e-17, 0, 0, 0
0.126596, 0, 3.28056e-17, 0, 1.41421, -3.28056e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59045e-22, 0, 3.28054e-17, 0, 0, 0
0.134482, 0, 6.64959e-17, 0, 1.41421, -6.64959e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34021e-22, 0, 6.64954e-17, 0, 0, 0
0.142367, 0, 1.33357e-16, 0, 1.41421, -1.33357e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08945e-21, 0, 1.33356e-16, 0, 0, 0
0.150253, 0, 2.64677e-16, 0, 1.41421, -2.64677e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20012e-21, 0, 2.64674e-16, 0, 0, 0
0.158139, 0, 5.19986e-16, 0, 1.41421, -5.19986e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39947e-21, 0, 5.19982e-16, 0, 0, 0
0.166025, 0, 1.01142e-15, 0, 1.41421, -1.01142e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7132e-21, 0, 1.01141e-15, 0, 0, 0
0.173911, 0, 1.94813e-15, 0, 1.41421, -1.94813e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70955e-20, 0, 1.94812e-15, 0, 0, 0
0.181796, 0, 3.71642e-15, 0, 1.41421, -3.71642e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32361e-20, 0, 3.71638e-15, 0, 0, 0
0.189682, 0, 7.0229e-15, 0, 1.41421, -7.0229e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.40396e-20, 0, 7.02283e-15, 0, 0, 0
0.197568, 0, 1.3148e-14, 0, 1.41421, -1.3148e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22316e-19, 0, 1.31478e-14, 0, 0, 0
0.205454, 0, 2.43896e-14, 0, 1.41421, -2.43896e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31631e-19, 0, 2.43894e-14, 0, 0, 0
0.21334, 0, 4.48341e-14, 0, 1.41421, -4.48341e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34968e-19, 0, 4.48336e-14, 0, 0, 0
0.221225, 0, 8.16799e-14, 0, 1.41421, -8.16799e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.10099e-19, 0, 8.1679e-14, 0, 0, 0
0.229111, 0, 1.47491e-13, 0, 1.41421, -1.47491e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4966e-18, 0, 1.4749e-13, 0, 0, 0
