   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_184.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.173465, 0, 1.6029e-16, 0, 1.41421, -1.6029e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78404e-21, 0, 0, 1.60284e-16, 0, 0, 0
0.18135, 0, 3.27711e-16, 0, 1.41421, -3.27711e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20666e-20, 0, 0, 3.27699e-16, 0, 0, 0
0.189236, 2, 6.55619e-16, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45588e-20, 0, 0, 6.55594e-16, 0, 0, 0
0.197121, 0, 1.29786e-15, 0, 1.41421, -1.29786e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94771e-20, 0, 0, 1.29781e-15, 0, 0, 0
0.205006, 0, 2.54271e-15, 0, 1.41421, -2.54271e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.86856e-20, 0, 0, 2.54261e-15, 0, 0, 0
0.212892, 0, 4.9308e-15, 0, 1.41421, -4.9308e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94906e-19, 0, 0, 4.93061e-15, 0, 0, 0
0.220777, 0, 9.46568e-15, 0, 1.41421, -9.46568e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81231e-19, 0, 0, 9.4653e-15, 0, 0, 0
0.228663, 0, 1.7991e-14, 0, 1.41421, -1.7991e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.38617e-19, 0, 0, 1.79902e-14, 0, 0, 0
0.236548, 0, 3.38592e-14, 0, 1.41421, -3.38592e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4177e-18, 0, 0, 3.38578e-14, 0, 0, 0
0.244434, 0, 6.31049e-14, 0, 1.41421, -6.31049e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69615e-18, 0, 0, 6.31022e-14, 0, 0, 0
0.252319, 0, 1.16482e-13, 0, 1.41421, -1.16482e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08118e-18, 0, 0, 1.16477e-13, 0, 0, 0
0.260204, 2, 2.12964e-13, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49102e-18, 0, 0, 2.12954e-13, 0, 0, 0
0.26809, 0, 3.85688e-13, 0, 1.41421, -3.85688e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75735e-17, 0, 0, 3.8567e-13, 0, 0, 0
0.275975, 0, 6.91971e-13, 0, 1.41421, -6.91971e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22609e-17, 0, 0, 6.91938e-13, 0, 0, 0
0.283861, 0, 1.22996e-12, 0, 1.41421, -1.22996e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87287e-17, 0, 0, 1.2299e-12, 0, 0, 0
0.291746, 0, 2.16611e-12, 0, 1.41421, -2.16611e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06041e-16, 0, 0, 2.166e-12, 0, 0, 0
0.299632, 0, 3.7799e-12, 0, 1.41421, -3.7799e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89952e-16, 0, 0, 3.77971e-12, 0, 0, 0
0.307517, 0, 6.53611e-12, 0, 1.41421, -6.53611e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3766e-16, 0, 0, 6.53577e-12, 0, 0, 0
0.315402, 0, 1.12002e-11, 0, 1.41421, -1.12002e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.95824e-16, 0, 0, 1.11996e-11, 0, 0, 0
0.323288, 0, 1.90205e-11, 0, 1.41421, -1.90205e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.044e-15, 0, 0, 1.90195e-11, 0, 0, 0
