   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_174.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0319078, 348, 0, 0, 18.7083, 348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0240215, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0161352, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00824892, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000362613, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00752369, 0, 1.3299e-22, 0, 1.41421, -1.3299e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28635e-28, 0, 1.32989e-22, 0, 0, 0
0.01541, 0, 3.42046e-22, 0, 1.41421, -3.42046e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42204e-27, 0, 3.42044e-22, 0, 0, 0
0.0232963, 0, 8.61038e-22, 0, 1.41421, -8.61038e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1834e-27, 0, 8.61032e-22, 0, 0, 0
0.0311826, 0, 2.1248e-21, 0, 1.41421, -2.1248e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54764e-26, 0, 2.12478e-21, 0, 0, 0
0.0390689, 0, 5.14692e-21, 0, 1.41421, -5.14692e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80272e-26, 0, 5.14689e-21, 0, 0, 0
0.0469552, 0, 1.22519e-20, 0, 1.41421, -1.22519e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1832e-26, 0, 1.22518e-20, 0, 0, 0
0.0548415, 0, 2.8689e-20, 0, 1.41421, -2.8689e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18174e-25, 0, 2.86887e-20, 0, 0, 0
0.0627278, 0, 6.61369e-20, 0, 1.41421, -6.61369e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.10375e-25, 0, 6.61364e-20, 0, 0, 0
0.0706141, 0, 1.50216e-19, 0, 1.41421, -1.50216e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17647e-24, 0, 1.50214e-19, 0, 0, 0
0.0785004, 0, 3.36366e-19, 0, 1.41421, -3.36366e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67406e-24, 0, 3.36364e-19, 0, 0, 0
0.0863867, 0, 7.42997e-19, 0, 1.41421, -7.42997e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99668e-24, 0, 7.42991e-19, 0, 0, 0
0.094273, 0, 1.6198e-18, 0, 1.41421, -1.6198e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32748e-23, 0, 1.61979e-18, 0, 0, 0
0.102159, 0, 3.48724e-18, 0, 1.41421, -3.48724e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90294e-23, 0, 3.48721e-18, 0, 0, 0
0.110046, 0, 7.58666e-18, 0, 1.41421, -7.58666e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.44903e-23, 0, 7.58659e-18, 0, 0, 0
0.117932, 0, 1.59027e-17, 0, 1.41421, -1.59027e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37325e-22, 0, 1.59026e-17, 0, 0, 0
0.125818, 0, 3.29602e-17, 0, 1.41421, -3.29602e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89206e-22, 0, 3.29599e-17, 0, 0, 0
0.133705, 0, 6.75658e-17, 0, 1.41421, -6.75658e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02547e-22, 0, 6.75652e-17, 0, 0, 0
0.141591, 0, 1.37021e-16, 0, 1.41421, -1.37021e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24226e-21, 0, 1.3702e-16, 0, 0, 0
0.149477, 0, 2.74963e-16, 0, 1.41421, -2.74963e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53499e-21, 0, 2.7496e-16, 0, 0, 0
0.157363, 0, 5.46103e-16, 0, 1.41421, -5.46103e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12128e-21, 0, 5.46098e-16, 0, 0, 0
0.16525, 0, 1.07367e-15, 0, 1.41421, -1.07367e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02449e-20, 0, 1.07366e-15, 0, 0, 0
0.173136, 0, 2.08999e-15, 0, 1.41421, -2.08999e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02974e-20, 0, 2.08997e-15, 0, 0, 0
0.181022, 0, 4.02861e-15, 0, 1.41421, -4.02861e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9834e-20, 0, 4.02857e-15, 0, 0, 0
0.188909, 0, 7.6908e-15, 0, 1.41421, -7.6908e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74491e-20, 0, 7.69072e-15, 0, 0, 0
0.196795, 0, 1.45429e-14, 0, 1.41421, -1.45429e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49207e-19, 0, 1.45428e-14, 0, 0, 0
0.204681, 0, 2.72426e-14, 0, 1.41421, -2.72426e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84864e-19, 0, 2.72423e-14, 0, 0, 0
0.212568, 0, 5.05607e-14, 0, 1.41421, -5.05607e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39057e-19, 0, 5.05601e-14, 0, 0, 0
0.220454, 0, 9.29798e-14, 0, 1.41421, -9.29798e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0112e-18, 0, 9.29788e-14, 0, 0, 0
0.22834, 0, 1.69442e-13, 0, 1.41421, -1.69442e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88064e-18, 0, 1.6944e-13, 0, 0, 0
0.236227, 0, 3.06021e-13, 0, 1.41421, -3.06021e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46817e-18, 0, 3.06017e-13, 0, 0, 0
0.244113, 0, 5.47786e-13, 0, 1.41421, -5.47786e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.34283e-18, 0, 5.4778e-13, 0, 0, 0
0.251999, 0, 9.71941e-13, 0, 1.41421, -9.71941e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1506e-17, 0, 9.71929e-13, 0, 0, 0
0.259885, 0, 1.70949e-12, 0, 1.41421, -1.70949e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07056e-17, 0, 1.70947e-12, 0, 0, 0
0.267772, 0, 2.98073e-12, 0, 1.41421, -2.98073e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69704e-17, 0, 2.9807e-12, 0, 0, 0
0.275658, 0, 5.15274e-12, 0, 1.41421, -5.15274e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55101e-17, 0, 5.15268e-12, 0, 0, 0
0.283544, 0, 8.83155e-12, 0, 1.41421, -8.83155e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15223e-16, 0, 8.83143e-12, 0, 0, 0
0.291431, 0, 1.50087e-11, 0, 1.41421, -1.50087e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0121e-16, 0, 1.50085e-11, 0, 0, 0
0.299317, 0, 2.52921e-11, 0, 1.41421, -2.52921e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48954e-16, 0, 2.52918e-11, 0, 0, 0
0.307203, 0, 4.22651e-11, 0, 1.41421, -4.22651e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.01196e-16, 0, 4.22645e-11, 0, 0, 0
0.31509, 0, 7.00417e-11, 0, 1.41421, -7.00417e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0293e-15, 0, 7.00407e-11, 0, 0, 0
0.322976, 0, 1.15114e-10, 1.44334e-43, 1.41421, -1.15114e-10, 0, 1.44334e-43, 1.44334e-43, 1.44334e-43, 1.44334e-43, 1.44334e-43, 1.44334e-43, 1.44334e-43, 1.44334e-43, 1.44334e-43, 1.44334e-43, 1.75189e-15, 1.44334e-43, 1.15113e-10, 1.44334e-43, 1.44334e-43, 1.44334e-43
0.330862, 0, 1.87638e-10, 2.55597e-42, 1.41421, -1.87638e-10, 0, 2.55597e-42, 2.55597e-42, 2.55597e-42, 2.55597e-42, 2.55597e-42, 2.55597e-42, 2.55597e-42, 2.55597e-42, 2.55597e-42, 2.55597e-42, 2.96544e-15, 2.55597e-42, 1.87635e-10, 2.55597e-42, 2.55597e-42, 2.55597e-42
