   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_174.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.338748, 0, 3.03356e-10, 3.79037e-41, 1.41421, -3.03356e-10, 0, 3.79037e-41, 3.79037e-41, 3.79037e-41, 3.79037e-41, 3.79037e-41, 3.79037e-41, 3.79037e-41, 3.79037e-41, 3.79037e-41, 3.79037e-41, 4.99447e-15, 3.79037e-41, 3.03351e-10, 3.79037e-41, 3.79037e-41, 3.79037e-41
0.346635, 0, 4.86455e-10, 4.9551e-40, 1.41421, -4.86455e-10, 0, 4.9551e-40, 4.9551e-40, 4.9551e-40, 4.9551e-40, 4.9551e-40, 4.9551e-40, 4.9551e-40, 4.9551e-40, 4.9551e-40, 4.9551e-40, 8.37373e-15, 4.9551e-40, 4.86447e-10, 4.9551e-40, 4.9551e-40, 4.9551e-40
0.354521, 0, 7.73771e-10, 5.80011e-39, 1.41421, -7.73771e-10, 0, 5.80011e-39, 5.80011e-39, 5.80011e-39, 5.80011e-39, 5.80011e-39, 5.80011e-39, 5.80011e-39, 5.80011e-39, 5.80011e-39, 5.80011e-39, 1.39832e-14, 5.80011e-39, 7.73757e-10, 5.80011e-39, 5.80011e-39, 5.80011e-39
0.362407, 0, 1.2209e-09, 6.12503e-38, 1.41421, -1.2209e-09, 0, 6.12503e-38, 6.12503e-38, 6.12503e-38, 6.12503e-38, 6.12503e-38, 6.12503e-38, 6.12503e-38, 6.12503e-38, 6.12503e-38, 6.12503e-38, 2.32694e-14, 6.12503e-38, 1.22088e-09, 6.12503e-38, 6.12503e-38, 6.12503e-38
0.370294, 0, 1.91102e-09, 5.86565e-37, 1.41421, -1.91102e-09, 0, 5.86565e-37, 5.86565e-37, 5.86565e-37, 5.86565e-37, 5.86565e-37, 5.86565e-37, 5.86565e-37, 5.86565e-37, 5.86565e-37, 5.86565e-37, 3.86099e-14, 5.86565e-37, 1.91099e-09, 5.86565e-37, 5.86565e-37, 5.86565e-37
0.37818, 0, 2.96751e-09, 5.12545e-36, 1.41421, -2.96751e-09, 0, 5.12545e-36, 5.12545e-36, 5.12545e-36, 5.12545e-36, 5.12545e-36, 5.12545e-36, 5.12545e-36, 5.12545e-36, 5.12545e-36, 5.12545e-36, 6.39116e-14, 5.12545e-36, 2.96745e-09, 5.12545e-36, 5.12545e-36, 5.12545e-36
0.386066, 0, 4.57172e-09, 4.10531e-35, 1.41421, -4.57172e-09, 0, 4.10531e-35, 4.10531e-35, 4.10531e-35, 4.10531e-35, 4.10531e-35, 4.10531e-35, 4.10531e-35, 4.10531e-35, 4.10531e-35, 4.10531e-35, 1.05597e-13, 4.10531e-35, 4.57162e-09, 4.10531e-35, 4.10531e-35, 4.10531e-35
0.393953, 0, 6.98835e-09, 8.57526e-34, 1.41421, -6.98835e-09, 0, 8.57526e-34, 8.57526e-34, 8.57526e-34, 8.57526e-34, 8.57526e-34, 8.57526e-34, 8.57526e-34, 8.57526e-34, 8.57526e-34, 8.57526e-34, 1.74501e-13, 8.57526e-34, 6.98818e-09, 8.57526e-34, 8.57526e-34, 8.57526e-34
0.401839, 0, 1.05986e-08, 5.38924e-33, 1.41421, -1.05986e-08, 0, 5.38924e-33, 5.38924e-33, 5.38924e-33, 5.38924e-33, 5.38924e-33, 5.38924e-33, 5.38924e-33, 5.38924e-33, 5.38924e-33, 5.38924e-33, 2.87591e-13, 5.38924e-33, 1.05983e-08, 5.38924e-33, 5.38924e-33, 5.38924e-33
0.409725, 0, 1.59496e-08, 3.34644e-32, 1.41421, -1.59496e-08, 0, 3.34644e-32, 3.34644e-32, 3.34644e-32, 3.34644e-32, 3.34644e-32, 3.34644e-32, 3.34644e-32, 3.34644e-32, 3.34644e-32, 3.34644e-32, 4.73605e-13, 3.34644e-32, 1.59491e-08, 3.34644e-32, 3.34644e-32, 3.34644e-32
0.417612, 0, 2.38181e-08, 1.88141e-31, 1.41421, -2.38181e-08, 0, 1.88141e-31, 1.88141e-31, 1.88141e-31, 1.88141e-31, 1.88141e-31, 1.88141e-31, 1.88141e-31, 1.88141e-31, 1.88141e-31, 1.88141e-31, 7.79456e-13, 1.88141e-31, 2.38173e-08, 1.88141e-31, 1.88141e-31, 1.88141e-31
0.425498, 0, 3.52977e-08, 1.01881e-30, 1.41421, -3.52977e-08, 0, 1.01881e-30, 1.01881e-30, 1.01881e-30, 1.01881e-30, 1.01881e-30, 1.01881e-30, 1.01881e-30, 1.01881e-30, 1.01881e-30, 1.01881e-30, 1.28207e-12, 1.01881e-30, 3.52964e-08, 1.01881e-30, 1.01881e-30, 1.01881e-30
0.433384, 0, 5.19152e-08, 5.22789e-30, 1.41421, -5.19152e-08, 0, 5.22789e-30, 5.22789e-30, 5.22789e-30, 5.22789e-30, 5.22789e-30, 5.22789e-30, 5.22789e-30, 5.22789e-30, 5.22789e-30, 5.22789e-30, 2.10731e-12, 5.22789e-30, 5.19131e-08, 5.22789e-30, 5.22789e-30, 5.22789e-30
0.44127, 0, 7.57845e-08, 2.53087e-29, 1.41421, -7.57845e-08, 0, 2.53087e-29, 2.53087e-29, 2.53087e-29, 2.53087e-29, 2.53087e-29, 2.53087e-29, 2.53087e-29, 2.53087e-29, 2.53087e-29, 2.53087e-29, 3.46057e-12, 2.53087e-29, 7.5781e-08, 2.53087e-29, 2.53087e-29, 2.53087e-29
0.449157, 0, 1.09807e-07, 1.1734e-28, 1.41421, -1.09807e-07, 0, 1.1734e-28, 1.1734e-28, 1.1734e-28, 1.1734e-28, 1.1734e-28, 1.1734e-28, 1.1734e-28, 1.1734e-28, 1.1734e-28, 1.1734e-28, 5.67565e-12, 1.1734e-28, 1.09802e-07, 1.1734e-28, 1.1734e-28, 1.1734e-28
0.457043, 0, 1.57937e-07, 5.19504e-28, 1.41421, -1.57937e-07, 0, 5.19504e-28, 5.19504e-28, 5.19504e-28, 5.19504e-28, 5.19504e-28, 5.19504e-28, 5.19504e-28, 5.19504e-28, 5.19504e-28, 5.19504e-28, 9.29285e-12, 5.19504e-28, 1.57928e-07, 5.19504e-28, 5.19504e-28, 5.19504e-28
0.464929, 0, 2.2551e-07, 2.19109e-27, 1.41421, -2.2551e-07, 0, 2.19109e-27, 2.19109e-27, 2.19109e-27, 2.19109e-27, 2.19109e-27, 2.19109e-27, 2.19109e-27, 2.19109e-27, 2.19109e-27, 2.19109e-27, 1.51821e-11, 2.19109e-27, 2.25495e-07, 2.19109e-27, 2.19109e-27, 2.19109e-27
0.472816, 0, 3.19678e-07, 8.81175e-27, 1.41421, -3.19678e-07, 0, 8.81175e-27, 8.81175e-27, 8.81175e-27, 8.81175e-27, 8.81175e-27, 8.81175e-27, 8.81175e-27, 8.81175e-27, 8.81175e-27, 8.81175e-27, 2.47359e-11, 8.81175e-27, 3.19654e-07, 8.81175e-27, 8.81175e-27, 8.81175e-27
0.480702, 0, 4.49948e-07, 3.38415e-26, 1.41421, -4.49948e-07, 0, 3.38415e-26, 3.38415e-26, 3.38415e-26, 3.38415e-26, 3.38415e-26, 2.16002e-12, 3.38415e-26, 3.38415e-26, 3.38415e-26, 3.38415e-26, 4.01695e-11, 3.38415e-26, 4.49906e-07, 3.38415e-26, 3.38415e-26, 3.38415e-26
0.488588, 0, 6.2885e-07, 1.24355e-25, 1.41421, -6.2885e-07, 0, 1.24355e-25, 1.24355e-25, 1.24355e-25, 1.24355e-25, 1.24355e-25, 7.49647e-12, 1.24355e-25, 1.24355e-25, 1.24355e-25, 1.24355e-25, 6.49824e-11, 1.24355e-25, 6.28777e-07, 1.24355e-25, 1.24355e-25, 1.24355e-25
0.496475, 0, 8.72779e-07, 4.40696e-25, 1.41421, -8.72779e-07, 0, 4.40696e-25, 4.40696e-25, 4.40696e-25, 4.40696e-25, 4.40696e-25, 2.02544e-11, 4.40696e-25, 4.40696e-25, 4.40696e-25, 4.40696e-25, 1.04663e-10, 4.40696e-25, 8.72654e-07, 4.40696e-25, 4.40696e-25, 4.40696e-25
0.504361, 0, 1.20528e-06, 2.6235e-10, 1.41421, -1.20528e-06, 2.6235e-10, 2.62399e-10, 6.22498e-10, 2.70684e-10, 2.63041e-10, 2.82385e-10, 4.13708e-10, 3.07723e-10, 2.64749e-10, 1.56671e-09, 2.64142e-10, 4.30105e-10, 2.6235e-10, 1.2032e-06, 2.6235e-10, 2.6235e-10, 2.81343e-10
0.512247, 0, 1.6548e-06, 9.05802e-10, 1.41421, -1.6548e-06, 9.05802e-10, 9.05971e-10, 2.14896e-09, 9.34571e-10, 9.08188e-10, 9.74959e-10, 1.37305e-09, 1.06242e-09, 9.14084e-10, 5.40818e-09, 9.11988e-10, 1.17328e-09, 9.05804e-10, 1.64798e-06, 9.05802e-10, 9.05802e-10, 9.71364e-10
0.520133, 0, 2.26107e-06, 2.43411e-09, 1.41421, -2.26107e-06, 2.43411e-09, 2.43456e-09, 5.77682e-09, 2.51146e-09, 2.44052e-09, 2.62006e-09, 3.64107e-09, 2.85524e-09, 2.45638e-09, 1.45405e-08, 2.45074e-09, 2.85815e-09, 2.43411e-09, 2.24309e-06, 2.43411e-09, 2.43411e-09, 2.6104e-09
0.52802, 0, 3.07842e-06, 5.96917e-09, 1.41421, -3.07842e-06, 5.96917e-09, 5.97028e-09, 1.41704e-08, 6.15896e-09, 5.98491e-09, 6.4254e-09, 8.86415e-09, 7.00241e-09, 6.0238e-09, 3.56718e-08, 6.00998e-09, 6.63732e-09, 5.96918e-09, 3.03473e-06, 5.96917e-09, 5.96917e-09, 6.40168e-09
0.535906, 0, 4.18447e-06, 1.39394e-08, 1.41421, -4.18447e-06, 1.39394e-08, 1.3942e-08, 3.30988e-08, 1.43827e-08, 1.39761e-08, 1.50052e-08, 2.05897e-08, 1.63532e-08, 1.4067e-08, 8.33295e-08, 1.40347e-08, 1.49854e-08, 1.39394e-08, 4.08303e-06, 1.39394e-08, 1.39394e-08, 1.49498e-08
0.543792, 0, 5.69519e-06, 3.14667e-08, 1.41421, -5.69519e-06, 3.14667e-08, 3.14725e-08, 7.47315e-08, 3.24679e-08, 3.15497e-08, 3.38735e-08, 4.64891e-08, 3.69174e-08, 3.17549e-08, 1.8816e-07, 3.16819e-08, 3.30935e-08, 3.14667e-08, 5.46685e-06, 3.14667e-08, 3.14667e-08, 3.37484e-08
0.551679, 0, 7.79381e-06, 6.90723e-08, 1.41421, -7.79381e-06, 6.90723e-08, 6.90851e-08, 1.64072e-07, 7.12707e-08, 6.92546e-08, 7.4357e-08, 1.04001e-07, 8.10408e-08, 6.97051e-08, 4.13133e-07, 6.95449e-08, 7.1585e-08, 6.90724e-08, 7.29155e-06, 6.90723e-08, 6.90723e-08, 7.40823e-08
0.559565, 0, 1.0798e-05, 1.47811e-07, 1.41421, -1.0798e-05, 1.47811e-07, 1.47838e-07, 3.51158e-07, 1.52516e-07, 1.48201e-07, 1.59123e-07, 2.45378e-07, 1.73429e-07, 1.49165e-07, 8.84276e-07, 1.48822e-07, 1.51664e-07, 1.47811e-07, 9.7016e-06, 1.47811e-07, 1.47811e-07, 1.58535e-07
0.567451, 0, 1.52213e-05, 3.08713e-07, 1.41421, -1.52213e-05, 3.08713e-07, 3.08771e-07, 7.33522e-07, 3.18544e-07, 3.09528e-07, 3.32345e-07, 5.43607e-07, 3.62233e-07, 3.11543e-07, 1.84725e-06, 3.10827e-07, 3.14581e-07, 3.08714e-07, 1.2902e-05, 3.08713e-07, 3.08713e-07, 3.31116e-07
0.575338, 0, 2.19738e-05, 6.29651e-07, 1.41421, -2.19738e-05, 6.29651e-07, 6.29769e-07, 1.4963e-06, 6.49707e-07, 6.31314e-07, 6.77863e-07, 1.15981e-06, 7.38837e-07, 6.35425e-07, 3.76842e-06, 6.33963e-07, 6.38527e-07, 6.29653e-07, 1.71944e-05, 6.29651e-07, 6.29651e-07, 6.75356e-07
0.583224, 0, 3.26523e-05, 1.25456e-06, 1.41421, -3.26523e-05, 1.25456e-06, 1.25479e-06, 2.98177e-06, 1.29453e-06, 1.25787e-06, 1.35064e-06, 2.40556e-06, 1.47216e-06, 1.26607e-06, 7.51002e-06, 1.26315e-06, 1.26788e-06, 1.25456e-06, 2.30369e-05, 1.25456e-06, 1.25456e-06, 1.34565e-06
0.59111, 0, 5.00548e-05, 2.44245e-06, 1.41421, -5.00548e-05, 2.44245e-06, 2.4429e-06, 5.80596e-06, 2.52028e-06, 2.4489e-06, 2.62956e-06, 4.87421e-06, 2.8662e-06, 2.46485e-06, 1.46241e-05, 2.45918e-06, 2.4623e-06, 2.44245e-06, 3.11459e-05, 2.44245e-06, 2.44245e-06, 2.61983e-06
0.598996, 0, 7.90295e-05, 4.64716e-06, 1.41421, -7.90295e-05, 4.64716e-06, 4.64803e-06, 1.10486e-05, 4.7953e-06, 4.65944e-06, 5.00327e-06, 9.66738e-06, 5.45365e-06, 4.6898e-06, 2.78314e-05, 4.67901e-06, 4.67655e-06, 4.64717e-06, 4.26582e-05, 4.64716e-06, 4.64716e-06, 4.98476e-06
0.606883, 0, 0.000127891, 8.64282e-06, 1.41421, -0.000127891, 8.64282e-06, 8.64443e-06, 2.05519e-05, 8.91841e-06, 8.66567e-06, 9.30532e-06, 1.88294e-05, 1.01432e-05, 8.72216e-06, 5.17743e-05, 8.70207e-06, 8.68601e-06, 8.64284e-06, 5.93908e-05, 8.64282e-06, 8.64282e-06, 9.27088e-06
0.614769, 0, 0.000210592, 1.57143e-05, 1.41421, -0.000210592, 1.57143e-05, 1.57173e-05, 3.73748e-05, 1.62156e-05, 1.57559e-05, 1.69193e-05, 3.6026e-05, 1.84432e-05, 1.58586e-05, 9.41623e-05, 1.58221e-05, 1.57774e-05, 1.57144e-05, 8.42354e-05, 1.57143e-05, 1.57143e-05, 1.68567e-05
0.622655, 0, 0.000350129, 2.79373e-05, 1.41421, -0.000350129, 2.79373e-05, 2.79425e-05, 6.64599e-05, 2.88288e-05, 2.80112e-05, 3.00803e-05, 6.77254e-05, 3.27906e-05, 2.81939e-05, 0.000167455, 2.8129e-05, 2.80287e-05, 2.79374e-05, 0.000121762, 2.79373e-05, 2.79373e-05, 2.99689e-05
0.630542, 0, 0.000583572, 4.85727e-05, 1.41421, -0.000583572, 4.85727e-05, 4.85818e-05, 0.000115577, 5.01233e-05, 4.87013e-05, 5.23001e-05, 0.00012512, 5.70143e-05, 4.90191e-05, 0.000291242, 4.89061e-05, 4.87045e-05, 4.85728e-05, 0.000179049, 4.85727e-05, 4.85727e-05, 5.21063e-05
0.638428, 0, 0.000969443, 8.26028e-05, 1.41421, -0.000969443, 8.26028e-05, 8.26183e-05, 0.000196601, 8.52409e-05, 8.28216e-05, 8.89445e-05, 0.000227193, 9.6965e-05, 8.33623e-05, 0.000495473, 8.31701e-05, 8.27918e-05, 8.2603e-05, 0.00026688, 8.26028e-05, 8.26028e-05, 8.86148e-05
0.646314, 0, 0.00159811, 0.000137426, 1.41421, -0.00159811, 0.000137426, 0.000137452, 0.00032718, 0.000141817, 0.00013779, 0.000147982, 0.000405496, 0.000161332, 0.00013869, 0.00082466, 0.00013837, 0.000137695, 0.000137426, 0.000401325, 0.000137426, 0.000137426, 0.000147433
0.654201, 0, 0.00260607, 0.000223716, 1.41421, -0.00260607, 0.000223716, 0.000223758, 0.000532787, 0.000230868, 0.000224309, 0.00024091, 0.000711381, 0.000262655, 0.000225775, 0.00134308, 0.000225254, 0.000224098, 0.000223717, 0.000605765, 0.000223716, 0.000223716, 0.000240016
0.662087, 0, 0.00419488, 0.000356417, 1.41421, -0.00419488, 0.000356417, 0.000356483, 0.000849121, 0.000367818, 0.000357362, 0.000383826, 0.00122664, 0.00041849, 0.000359699, 0.00214085, 0.000358868, 0.000356956, 0.000356417, 0.000913355, 0.000356417, 0.000356417, 0.000382401
0.669973, 0, 0.00665565, 0.000555827, 1.41421, -0.00665565, 0.000555827, 0.000555931, 0.00132472, 0.00057362, 0.000557302, 0.0005986, 0.00207868, 0.000652696, 0.000560949, 0.00334054, 0.000559653, 0.000556585, 0.000555828, 0.00136991, 0.000555827, 0.000555827, 0.000596377
0.677859, 0, 0.0103994, 0.000848657, 1.41421, -0.0103994, 0.000848657, 0.000848817, 0.00202353, 0.000875845, 0.000850912, 0.000914015, 0.0034614, 0.000996674, 0.000856484, 0.00510371, 0.000854504, 0.000849718, 0.000848659, 0.00203704, 0.000848657, 0.000848657, 0.000910619
0.685746, 0, 0.0159932, 0.00126891, 1.41421, -0.0159932, 0.00126891, 0.00126915, 0.00302708, 0.0013096, 0.00127229, 0.00136672, 0.00566281, 0.00149041, 0.00128063, 0.00763649, 0.00127766, 0.00127039, 0.00126892, 0.00299531, 0.00126891, 0.00126891, 0.00136164
0.693632, 0, 0.0242016, 0.00185838, 1.41421, -0.0242016, 0.00185838, 0.00185873, 0.00443575, 0.00191802, 0.00186333, 0.00200176, 0.00909991, 0.00218309, 0.00187555, 0.0111929, 0.00187121, 0.00186043, 0.00185838, 0.00434722, 0.00185838, 0.00185838, 0.00199431
0.701518, 0, 0.0360308, 0.00266654, 1.41421, -0.0360308, 0.00266654, 0.00266704, 0.00636867, 0.00275221, 0.00267364, 0.00287248, 0.0143606, 0.00313295, 0.0026912, 0.0160746, 0.00268497, 0.00266938, 0.00266654, 0.00621959, 0.00266654, 0.00266654, 0.0028618
0.709405, 0, 0.0527721, 0.00374956, 1.41421, -0.0527721, 0.00374956, 0.00375027, 0.00896156, 0.00387017, 0.00375956, 0.0040395, 0.0222507, 0.00440619, 0.00378428, 0.022626, 0.00377552, 0.00375348, 0.00374957, 0.00876518, 0.00374956, 0.00374956, 0.00402447
0.717291, 0, 0.0760407, 0.00516835, 1.41421, -0.0760407, 0.00516835, 0.00516932, 0.0123621, 0.00533482, 0.00518215, 0.00556853, 0.0338416, 0.00607465, 0.00521627, 0.0312222, 0.00520418, 0.00517372, 0.00516836, 0.0121634, 0.00516835, 0.00516835, 0.00554781
