   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_291.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.131236, 0, 5.18684e-18, 0, 1.41421, -5.18684e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18684e-18, 0, 0, 0
0.139122, 0, 1.0859e-17, 0, 1.41421, -1.0859e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0859e-17, 0, 0, 0
0.147009, 0, 2.24716e-17, 0, 1.41421, -2.24716e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24716e-17, 0, 0, 0
0.154895, 0, 4.59798e-17, 0, 1.41421, -4.59798e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59798e-17, 0, 0, 0
0.162782, 0, 9.30479e-17, 0, 1.41421, -9.30479e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30479e-17, 0, 0, 0
0.170669, 0, 1.86277e-16, 0, 1.41421, -1.86277e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86277e-16, 0, 0, 0
0.178555, 0, 3.68992e-16, 0, 1.41421, -3.68992e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68992e-16, 0, 0, 0
0.186442, 0, 7.23385e-16, 0, 1.41421, -7.23385e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23385e-16, 0, 0, 0
0.194328, 0, 1.40376e-15, 0, 1.41421, -1.40376e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40376e-15, 0, 0, 0
0.202215, 0, 2.69688e-15, 0, 1.41421, -2.69688e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69688e-15, 0, 0, 0
