   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_312.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.031487, 624, 0, 0, 25.02, 624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.023604, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157211, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00783813, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4.48198e-05, 0, 1.7094e-24, 0, 1.41421, -1.7094e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68642e-30, 5.74348e-29, 0, 1.70933e-24, 0, 0, 0
0.00792777, 0, 5.06142e-24, 0, 1.41421, -5.06142e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60362e-29, 1.76598e-28, 0, 5.06121e-24, 0, 0, 0
0.0158107, 0, 1.44981e-23, 0, 1.41421, -1.44981e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5513e-29, 5.22939e-28, 0, 1.44975e-23, 0, 0, 0
0.0236937, 0, 4.03269e-23, 0, 1.41421, -4.03269e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12705e-28, 1.49857e-27, 0, 4.03252e-23, 0, 0, 0
0.0315766, 0, 1.09244e-22, 0, 1.41421, -1.09244e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.83597e-28, 4.17134e-27, 0, 1.09239e-22, 0, 0, 0
0.0394596, 0, 2.88896e-22, 0, 1.41421, -2.88896e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5633e-27, 1.13111e-26, 0, 2.88884e-22, 0, 0, 0
0.0473425, 0, 7.47244e-22, 0, 1.41421, -7.47244e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09643e-27, 2.99485e-26, 0, 7.4721e-22, 0, 0, 0
0.0552255, 0, 1.89344e-21, 0, 1.41421, -1.89344e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05171e-26, 7.75745e-26, 0, 1.89335e-21, 0, 0, 0
0.0631084, 0, 4.70647e-21, 0, 1.41421, -4.70647e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64914e-26, 1.96896e-25, 0, 4.70624e-21, 0, 0, 0
0.0709914, 0, 1.14892e-20, 0, 1.41421, -1.14892e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55444e-26, 4.90361e-25, 0, 1.14887e-20, 0, 0, 0
0.0788743, 0, 2.75722e-20, 0, 1.41421, -2.75722e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59449e-25, 1.19965e-24, 0, 2.75708e-20, 0, 0, 0
0.0867573, 0, 6.5104e-20, 0, 1.41421, -6.5104e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81715e-25, 2.88594e-24, 0, 6.51007e-20, 0, 0, 0
0.0946402, 0, 1.51365e-19, 0, 1.41421, -1.51365e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99955e-25, 6.83265e-24, 0, 1.51358e-19, 0, 0, 0
0.102523, 0, 3.46751e-19, 0, 1.41421, -3.46751e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09103e-24, 1.59329e-23, 0, 3.46733e-19, 0, 0, 0
0.110406, 0, 7.83129e-19, 0, 1.41421, -7.83129e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79087e-24, 3.66178e-23, 0, 7.83088e-19, 0, 0, 0
0.118289, 0, 1.74462e-18, 0, 1.41421, -1.74462e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08297e-23, 8.29941e-23, 0, 1.74453e-18, 0, 0, 0
0.126172, 0, 3.83552e-18, 0, 1.41421, -3.83552e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41642e-23, 1.85606e-22, 0, 3.83531e-18, 0, 0, 0
0.134055, 0, 8.32492e-18, 0, 1.41421, -8.32492e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32436e-23, 4.09764e-22, 0, 8.32446e-18, 0, 0, 0
0.141938, 0, 1.78457e-17, 0, 1.41421, -1.78457e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15897e-22, 8.93438e-22, 0, 1.78447e-17, 0, 0, 0
0.149821, 0, 3.77949e-17, 0, 1.41421, -3.77949e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4931e-22, 1.92467e-21, 0, 3.77927e-17, 0, 0, 0
0.157704, 0, 7.91058e-17, 0, 1.41421, -7.91058e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.30159e-22, 4.09793e-21, 0, 7.91012e-17, 0, 0, 0
0.165587, 0, 1.63676e-16, 0, 1.41421, -1.63676e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11485e-21, 8.62695e-21, 0, 1.63666e-16, 0, 0, 0
0.17347, 0, 3.38604e-16, 0, 1.41421, -3.38604e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35256e-21, 1.8226e-20, 0, 3.38583e-16, 0, 0, 0
0.181353, 0, 6.84207e-16, 0, 1.41421, -6.84207e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8334e-21, 3.74812e-20, 0, 6.84165e-16, 0, 0, 0
0.189236, 0, 1.36788e-15, 0, 1.41421, -1.36788e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.82832e-21, 7.62847e-20, 0, 1.36779e-15, 0, 0, 0
0.197119, 0, 2.70612e-15, 0, 1.41421, -2.70612e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97835e-20, 1.53696e-19, 0, 2.70595e-15, 0, 0, 0
0.205002, 0, 5.29855e-15, 0, 1.41421, -5.29855e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94279e-20, 3.06605e-19, 0, 5.2982e-15, 0, 0, 0
0.212884, 0, 1.02693e-14, 0, 1.41421, -1.02693e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.78123e-20, 6.05725e-19, 0, 1.02687e-14, 0, 0, 0
0.220767, 0, 1.97044e-14, 0, 1.41421, -1.97044e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52092e-19, 1.18531e-18, 0, 1.9703e-14, 0, 0, 0
0.22865, 0, 3.74345e-14, 0, 1.41421, -3.74345e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94478e-19, 2.29789e-18, 0, 3.74319e-14, 0, 0, 0
0.236533, 0, 7.04238e-14, 0, 1.41421, -7.04238e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6488e-19, 4.41407e-18, 0, 7.04188e-14, 0, 0, 0
0.244416, 0, 1.31205e-13, 0, 1.41421, -1.31205e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07368e-18, 8.40297e-18, 0, 1.31196e-13, 0, 0, 0
0.252299, 0, 2.4211e-13, 0, 1.41421, -2.4211e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02244e-18, 1.58554e-17, 0, 2.42092e-13, 0, 0, 0
0.260182, 0, 4.42527e-13, 0, 1.41421, -4.42527e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77592e-18, 2.96581e-17, 0, 4.42494e-13, 0, 0, 0
0.268065, 0, 8.01255e-13, 0, 1.41421, -8.01255e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.98854e-18, 5.50039e-17, 0, 8.01193e-13, 0, 0, 0
