   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_142.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0323597, 284, 0, 0, 16.9115, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0244712, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0165826, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0086941, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000805556, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00708299, 0, 1.16539e-22, 0, 1.41421, -1.16539e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38788e-25, 0, 1.36258e-27, 0, 0, 1.16099e-22, 0, 0, 0
0.0149715, 0, 2.98989e-22, 0, 1.41421, -2.98989e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12574e-24, 0, 3.5444e-27, 0, 0, 2.97859e-22, 0, 0, 0
0.0228601, 0, 7.50817e-22, 0, 1.41421, -7.50817e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82694e-24, 0, 9.02529e-27, 0, 0, 7.47982e-22, 0, 0, 0
0.0307486, 0, 1.8484e-21, 0, 1.41421, -1.8484e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.95948e-24, 0, 2.25322e-26, 0, 0, 1.84141e-21, 0, 0, 0
0.0386372, 0, 4.46699e-21, 0, 1.41421, -4.46699e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68189e-23, 0, 5.52274e-26, 0, 0, 4.45012e-21, 0, 0, 0
0.0465257, 0, 1.06092e-20, 0, 1.41421, -1.06092e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99453e-23, 0, 1.33047e-25, 0, 0, 1.05692e-20, 0, 0, 0
0.0544143, 0, 2.47872e-20, 0, 1.41421, -2.47872e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33276e-23, 0, 3.15348e-25, 0, 0, 2.46936e-20, 0, 0, 0
0.0623028, 0, 5.70181e-20, 0, 1.41421, -5.70181e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14681e-22, 0, 7.35997e-25, 0, 0, 5.68027e-20, 0, 0, 0
0.0701914, 0, 1.2923e-19, 0, 1.41421, -1.2923e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.86568e-22, 0, 1.69275e-24, 0, 0, 1.28741e-19, 0, 0, 0
0.0780799, 0, 2.88774e-19, 0, 1.41421, -2.88774e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08727e-21, 0, 3.83907e-24, 0, 0, 2.87683e-19, 0, 0, 0
0.0859684, 0, 6.36576e-19, 0, 1.41421, -6.36576e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3968e-21, 0, 8.59079e-24, 0, 0, 6.34171e-19, 0, 0, 0
0.093857, 0, 1.42598e-18, 0, 1.41421, -1.42598e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.36902e-21, 0, 1.96543e-23, 0, 0, 1.42059e-18, 0, 0, 0
0.101746, 0, 3.05432e-18, 0, 1.41421, -3.05432e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15e-20, 0, 4.27435e-23, 0, 0, 3.04278e-18, 0, 0, 0
0.109634, 0, 6.46478e-18, 0, 1.41421, -6.46478e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43408e-20, 0, 9.18777e-23, 0, 0, 6.44034e-18, 0, 0, 0
0.117523, 0, 1.35262e-17, 0, 1.41421, -1.35262e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09279e-20, 0, 1.95268e-22, 0, 0, 1.3475e-17, 0, 0, 0
0.125411, 0, 2.79842e-17, 0, 1.41421, -2.79842e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05364e-19, 0, 4.1046e-22, 0, 0, 2.78784e-17, 0, 0, 0
0.1333, 0, 5.72646e-17, 0, 1.41421, -5.72646e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15609e-19, 0, 8.53601e-22, 0, 0, 5.70482e-17, 0, 0, 0
0.141188, 0, 1.15932e-16, 0, 1.41421, -1.15932e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36498e-19, 0, 1.75668e-21, 0, 0, 1.15493e-16, 0, 0, 0
0.149077, 0, 2.32252e-16, 0, 1.41421, -2.32252e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7446e-19, 0, 3.57842e-21, 0, 0, 2.31374e-16, 0, 0, 0
0.156965, 0, 4.60519e-16, 0, 1.41421, -4.60519e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73391e-18, 0, 7.21676e-21, 0, 0, 4.58778e-16, 0, 0, 0
0.164854, 0, 9.03959e-16, 0, 1.41421, -9.03959e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40352e-18, 0, 1.44123e-20, 0, 0, 9.00541e-16, 0, 0, 0
0.172742, 0, 1.75686e-15, 0, 1.41421, -1.75686e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6148e-18, 0, 2.85066e-20, 0, 0, 1.75022e-15, 0, 0, 0
0.180631, 0, 3.38129e-15, 0, 1.41421, -3.38129e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2731e-17, 0, 5.58534e-20, 0, 0, 3.36851e-15, 0, 0, 0
0.18852, 0, 6.44538e-15, 0, 1.41421, -6.44538e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42675e-17, 0, 1.08422e-19, 0, 0, 6.42101e-15, 0, 0, 0
0.196408, 0, 1.217e-14, 0, 1.41421, -1.217e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58214e-17, 0, 2.08551e-19, 0, 0, 1.2124e-14, 0, 0, 0
0.204297, 0, 2.2765e-14, 0, 1.41421, -2.2765e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.57123e-17, 0, 3.97553e-19, 0, 0, 2.26789e-14, 0, 0, 0
0.212185, 0, 4.21916e-14, 0, 1.41421, -4.21916e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58854e-16, 0, 7.51176e-19, 0, 0, 4.2032e-14, 0, 0, 0
0.220074, 0, 7.7484e-14, 0, 1.41421, -7.7484e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91732e-16, 0, 1.40706e-18, 0, 0, 7.71908e-14, 0, 0, 0
0.227962, 0, 1.41016e-13, 0, 1.41421, -1.41016e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.30935e-16, 0, 2.61315e-18, 0, 0, 1.40483e-13, 0, 0, 0
0.235851, 0, 2.54354e-13, 0, 1.41421, -2.54354e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.57658e-16, 0, 4.81239e-18, 0, 0, 2.53391e-13, 0, 0, 0
0.243739, 0, 4.5473e-13, 0, 1.41421, -4.5473e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71209e-15, 0, 8.78948e-18, 0, 0, 4.53009e-13, 0, 0, 0
0.251628, 0, 8.05849e-13, 0, 1.41421, -8.05849e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0341e-15, 0, 1.59236e-17, 0, 0, 8.02799e-13, 0, 0, 0
0.259516, 0, 1.41569e-12, 0, 1.41421, -1.41569e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33028e-15, 0, 2.86195e-17, 0, 0, 1.41033e-12, 0, 0, 0
0.267405, 0, 2.46562e-12, 0, 1.41421, -2.46562e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28359e-15, 0, 5.10391e-17, 0, 0, 2.45629e-12, 0, 0, 0
0.275294, 0, 4.25756e-12, 0, 1.41421, -4.25756e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6031e-14, 0, 9.03338e-17, 0, 0, 4.24144e-12, 0, 0, 0
0.283182, 0, 7.28941e-12, 0, 1.41421, -7.28941e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7448e-14, 0, 1.58706e-16, 0, 0, 7.2618e-12, 0, 0, 0
0.291071, 0, 1.23751e-11, 0, 1.41421, -1.23751e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66006e-14, 0, 2.76843e-16, 0, 0, 1.23282e-11, 0, 0, 0
0.298959, 0, 2.08331e-11, 0, 1.41421, -2.08331e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.84567e-14, 0, 4.79623e-16, 0, 0, 2.07542e-11, 0, 0, 0
0.306848, 0, 3.478e-11, 0, 1.41421, -3.478e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30994e-13, 0, 8.25496e-16, 0, 0, 3.46482e-11, 0, 0, 0
0.314736, 0, 5.75834e-11, 0, 1.41421, -5.75834e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16909e-13, 0, 1.41196e-15, 0, 0, 5.73651e-11, 0, 0, 0
0.322625, 0, 9.45535e-11, 1.1911e-43, 1.41421, -9.45535e-11, 0, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 1.1911e-43, 3.56234e-13, 1.1911e-43, 2.40098e-15, 1.1911e-43, 1.1911e-43, 9.41948e-11, 1.1911e-43, 1.1911e-43, 1.1911e-43
0.330513, 0, 1.53989e-10, 2.13137e-42, 1.41421, -1.53989e-10, 0, 2.13137e-42, 2.13137e-42, 2.13137e-42, 2.13137e-42, 2.13137e-42, 2.13137e-42, 2.13137e-42, 2.13137e-42, 2.13137e-42, 5.80295e-13, 2.13137e-42, 4.06058e-15, 2.13137e-42, 2.13137e-42, 1.53405e-10, 2.13137e-42, 2.13137e-42, 2.13137e-42
0.338402, 0, 2.48747e-10, 3.1724e-41, 1.41421, -2.48747e-10, 0, 3.1724e-41, 3.1724e-41, 3.1724e-41, 3.1724e-41, 3.1724e-41, 3.1724e-41, 3.1724e-41, 3.1724e-41, 3.1724e-41, 9.37658e-13, 3.1724e-41, 6.83317e-15, 3.1724e-41, 3.1724e-41, 2.47802e-10, 3.1724e-41, 3.1724e-41, 3.1724e-41
