   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_216.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0319452, 432, 0, 0, 20.8327, 432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0240604, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0161756, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00829082, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000406038, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00747874, 0, 1.75041e-23, 0, 1.41421, -1.75041e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55214e-25, 0, 0, 1.80463e-28, 0, 0, 1.73487e-23, 0, 0, 0
0.0153635, 0, 4.91195e-23, 0, 1.41421, -4.91195e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35556e-25, 0, 0, 5.13046e-28, 0, 0, 4.86834e-23, 0, 0, 0
0.0232483, 0, 1.33888e-22, 0, 1.41421, -1.33888e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18722e-24, 0, 0, 1.41701e-27, 0, 0, 1.32699e-22, 0, 0, 0
0.0311331, 0, 3.5553e-22, 0, 1.41421, -3.5553e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15258e-24, 0, 0, 3.81324e-27, 0, 0, 3.52374e-22, 0, 0, 0
0.0390179, 0, 9.21889e-22, 0, 1.41421, -9.21889e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.17464e-24, 0, 0, 1.00216e-26, 0, 0, 9.13705e-22, 0, 0, 0
0.0469027, 0, 2.33872e-21, 0, 1.41421, -2.33872e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07381e-23, 0, 0, 2.57713e-26, 0, 0, 2.31796e-21, 0, 0, 0
0.0547874, 0, 6.25813e-21, 0, 1.41421, -6.25813e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54925e-23, 0, 0, 7.05815e-26, 0, 0, 6.20257e-21, 0, 0, 0
0.0626722, 0, 1.51613e-20, 0, 1.41421, -1.51613e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34439e-22, 0, 0, 1.73418e-25, 0, 0, 1.50267e-20, 0, 0, 0
0.070557, 0, 3.61089e-20, 0, 1.41421, -3.61089e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20187e-22, 0, 0, 4.18904e-25, 0, 0, 3.57883e-20, 0, 0, 0
0.0784418, 0, 8.46194e-20, 0, 1.41421, -8.46194e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50342e-22, 0, 0, 9.95754e-25, 0, 0, 8.3868e-20, 0, 0, 0
0.0863266, 0, 1.95271e-19, 0, 1.41421, -1.95271e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73152e-21, 0, 0, 2.33105e-24, 0, 0, 1.93538e-19, 0, 0, 0
0.0942114, 0, 4.44032e-19, 0, 1.41421, -4.44032e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93734e-21, 0, 0, 5.37787e-24, 0, 0, 4.40089e-19, 0, 0, 0
0.102096, 0, 9.95527e-19, 0, 1.41421, -9.95527e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.82759e-21, 0, 0, 1.22347e-23, 0, 0, 9.86688e-19, 0, 0, 0
0.109981, 0, 2.20183e-18, 0, 1.41421, -2.20183e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95242e-20, 0, 0, 2.74622e-23, 0, 0, 2.18228e-18, 0, 0, 0
0.117866, 0, 4.80625e-18, 0, 1.41421, -4.80625e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26182e-20, 0, 0, 6.08477e-23, 0, 0, 4.76357e-18, 0, 0, 0
0.12575, 0, 1.03587e-17, 0, 1.41421, -1.03587e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.18529e-20, 0, 0, 1.3314e-22, 0, 0, 1.02667e-17, 0, 0, 0
0.133635, 0, 2.20517e-17, 0, 1.41421, -2.20517e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95538e-19, 0, 0, 2.87805e-22, 0, 0, 2.18558e-17, 0, 0, 0
0.14152, 0, 4.63838e-17, 0, 1.41421, -4.63838e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11296e-19, 0, 0, 6.14855e-22, 0, 0, 4.59719e-17, 0, 0, 0
0.149405, 0, 9.64305e-17, 0, 1.41421, -9.64305e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.55073e-19, 0, 0, 1.29859e-21, 0, 0, 9.55741e-17, 0, 0, 0
0.15729, 0, 1.98203e-16, 0, 1.41421, -1.98203e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75752e-18, 0, 0, 2.71228e-21, 0, 0, 1.96443e-16, 0, 0, 0
0.165174, 0, 4.02875e-16, 0, 1.41421, -4.02875e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57238e-18, 0, 0, 5.60374e-21, 0, 0, 3.99297e-16, 0, 0, 0
0.173059, 0, 8.10022e-16, 0, 1.41421, -8.10022e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18264e-18, 0, 0, 1.14556e-20, 0, 0, 8.02828e-16, 0, 0, 0
0.180944, 0, 1.61134e-15, 0, 1.41421, -1.61134e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42881e-17, 0, 0, 2.3177e-20, 0, 0, 1.59703e-15, 0, 0, 0
0.188829, 0, 3.17198e-15, 0, 1.41421, -3.17198e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81265e-17, 0, 0, 4.6419e-20, 0, 0, 3.1438e-15, 0, 0, 0
0.196714, 0, 6.18027e-15, 0, 1.41421, -6.18027e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48015e-17, 0, 0, 9.20494e-20, 0, 0, 6.12538e-15, 0, 0, 0
0.204598, 0, 1.19205e-14, 0, 1.41421, -1.19205e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05701e-16, 0, 0, 1.80766e-19, 0, 0, 1.18146e-14, 0, 0, 0
0.212483, 0, 2.27645e-14, 0, 1.41421, -2.27645e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01856e-16, 0, 0, 3.51607e-19, 0, 0, 2.25623e-14, 0, 0, 0
0.220368, 0, 4.3049e-14, 0, 1.41421, -4.3049e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8172e-16, 0, 0, 6.77511e-19, 0, 0, 4.26666e-14, 0, 0, 0
0.228253, 0, 8.06242e-14, 0, 1.41421, -8.06242e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.149e-16, 0, 0, 1.29354e-18, 0, 0, 7.9908e-14, 0, 0, 0
0.236137, 0, 1.49561e-13, 0, 1.41421, -1.49561e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32616e-15, 0, 0, 2.44745e-18, 0, 0, 1.48232e-13, 0, 0, 0
0.244022, 0, 2.74831e-13, 0, 1.41421, -2.74831e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43693e-15, 0, 0, 4.58972e-18, 0, 0, 2.72389e-13, 0, 0, 0
0.251907, 0, 5.00329e-13, 0, 1.41421, -5.00329e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43643e-15, 0, 0, 8.53227e-18, 0, 0, 4.95884e-13, 0, 0, 0
0.259792, 0, 9.02454e-13, 0, 1.41421, -9.02454e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.0021e-15, 0, 0, 1.5726e-17, 0, 0, 8.94436e-13, 0, 0, 0
0.267677, 0, 1.61291e-12, 0, 1.41421, -1.61291e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43019e-14, 0, 0, 2.8742e-17, 0, 0, 1.59858e-12, 0, 0, 0
0.275561, 0, 2.85659e-12, 0, 1.41421, -2.85659e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.533e-14, 0, 0, 5.21011e-17, 0, 0, 2.83121e-12, 0, 0, 0
0.283446, 0, 5.01378e-12, 0, 1.41421, -5.01378e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4459e-14, 0, 0, 9.3689e-17, 0, 0, 4.96922e-12, 0, 0, 0
0.291331, 0, 8.72152e-12, 0, 1.41421, -8.72152e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.73394e-14, 0, 0, 1.67163e-16, 0, 0, 8.64402e-12, 0, 0, 0
0.299216, 0, 1.50369e-11, 0, 1.41421, -1.50369e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33348e-13, 0, 0, 2.96009e-16, 0, 0, 1.49032e-11, 0, 0, 0
0.307101, 0, 2.56971e-11, 0, 1.41421, -2.56971e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27897e-13, 0, 0, 5.2036e-16, 0, 0, 2.54687e-11, 0, 0, 0
0.314985, 0, 4.3531e-11, 0, 1.41421, -4.3531e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86093e-13, 0, 0, 9.08412e-16, 0, 0, 4.3144e-11, 0, 0, 0
0.32287, 0, 7.31009e-11, 0, 1.41421, -7.31009e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48435e-13, 0, 0, 1.57538e-15, 0, 0, 7.24509e-11, 0, 0, 0
0.330755, 0, 1.21697e-10, 2.43826e-43, 1.41421, -1.21697e-10, 0, 2.43826e-43, 2.43826e-43, 2.43826e-43, 2.43826e-43, 2.43826e-43, 2.43826e-43, 2.43826e-43, 2.43826e-43, 2.43826e-43, 2.43826e-43, 2.43826e-43, 1.07967e-12, 2.43826e-43, 2.43826e-43, 2.71511e-15, 2.43826e-43, 2.43826e-43, 1.20615e-10, 2.43826e-43, 2.43826e-43, 2.43826e-43
0.33864, 0, 2.00913e-10, 2.57419e-41, 1.41421, -2.00913e-10, 0, 2.57419e-41, 2.57419e-41, 2.57419e-41, 2.57419e-41, 2.57419e-41, 2.57419e-41, 2.57419e-41, 2.57419e-41, 2.57419e-41, 2.57419e-41, 2.57419e-41, 1.78287e-12, 2.57419e-41, 2.57419e-41, 4.6614e-15, 2.57419e-41, 2.57419e-41, 1.99126e-10, 2.57419e-41, 2.57419e-41, 2.57419e-41
0.346524, 0, 3.28758e-10, 3.3818e-40, 1.41421, -3.28758e-10, 0, 3.3818e-40, 3.3818e-40, 3.3818e-40, 3.3818e-40, 3.3818e-40, 3.3818e-40, 3.3818e-40, 3.3818e-40, 3.3818e-40, 3.3818e-40, 3.3818e-40, 2.91813e-12, 3.3818e-40, 3.3818e-40, 7.94518e-15, 3.3818e-40, 3.3818e-40, 3.25832e-10, 3.3818e-40, 3.3818e-40, 3.3818e-40
0.354409, 0, 5.33391e-10, 3.9768e-39, 1.41421, -5.33391e-10, 0, 3.9768e-39, 3.9768e-39, 3.9768e-39, 3.9768e-39, 3.9768e-39, 3.9768e-39, 3.9768e-39, 3.9768e-39, 3.9768e-39, 3.9768e-39, 3.9768e-39, 4.73612e-12, 3.9768e-39, 3.9768e-39, 1.34776e-14, 3.9768e-39, 3.9768e-39, 5.28641e-10, 3.9768e-39, 3.9768e-39, 3.9768e-39
0.362294, 0, 8.58095e-10, 4.22017e-38, 1.41421, -8.58095e-10, 0, 4.22017e-38, 4.22017e-38, 4.22017e-38, 4.22017e-38, 4.22017e-38, 4.22017e-38, 4.22017e-38, 4.22017e-38, 4.22017e-38, 4.22017e-38, 4.22017e-38, 7.62258e-12, 4.22017e-38, 4.22017e-38, 2.27658e-14, 4.22017e-38, 4.22017e-38, 8.50449e-10, 4.22017e-38, 4.22017e-38, 4.22017e-38
0.370179, 0, 1.36889e-09, 4.06112e-37, 1.41421, -1.36889e-09, 0, 4.06112e-37, 4.06112e-37, 4.06112e-37, 4.06112e-37, 4.06112e-37, 4.06112e-37, 4.06112e-37, 4.06112e-37, 4.06112e-37, 4.06112e-37, 4.06112e-37, 1.21667e-11, 4.06112e-37, 4.06112e-37, 3.83145e-14, 4.06112e-37, 4.06112e-37, 1.35668e-09, 4.06112e-37, 4.06112e-37, 4.06112e-37
0.378064, 0, 2.16553e-09, 3.56664e-36, 1.41421, -2.16553e-09, 0, 3.56664e-36, 3.56664e-36, 3.56664e-36, 3.56664e-36, 3.56664e-36, 3.56664e-36, 3.56664e-36, 3.56664e-36, 3.56664e-36, 3.56664e-36, 3.56664e-36, 1.92605e-11, 3.56664e-36, 3.56664e-36, 6.4285e-14, 3.56664e-36, 3.56664e-36, 2.1462e-09, 3.56664e-36, 3.56664e-36, 3.56664e-36
0.385948, 0, 3.39739e-09, 2.87159e-35, 1.41421, -3.39739e-09, 0, 2.87159e-35, 2.87159e-35, 2.87159e-35, 2.87159e-35, 2.87159e-35, 2.87159e-35, 2.87159e-35, 2.87159e-35, 2.87159e-35, 2.87159e-35, 2.87159e-35, 3.02425e-11, 2.87159e-35, 2.87159e-35, 1.0759e-13, 2.87159e-35, 2.87159e-35, 3.36704e-09, 2.87159e-35, 2.87159e-35, 2.87159e-35
0.393833, 0, 5.28612e-09, 2.129e-34, 1.41421, -5.28612e-09, 0, 2.129e-34, 2.129e-34, 2.129e-34, 2.129e-34, 2.129e-34, 2.129e-34, 2.129e-34, 2.129e-34, 2.129e-34, 2.129e-34, 2.129e-34, 4.71045e-11, 2.129e-34, 2.129e-34, 1.79716e-13, 2.129e-34, 2.129e-34, 5.23883e-09, 2.129e-34, 2.129e-34, 2.129e-34
0.401718, 0, 8.15756e-09, 1.47703e-33, 1.41421, -8.15756e-09, 0, 1.47703e-33, 1.47703e-33, 1.47703e-33, 1.47703e-33, 1.47703e-33, 1.47703e-33, 1.47703e-33, 1.47703e-33, 1.47703e-33, 1.47703e-33, 1.47703e-33, 7.27847e-11, 1.47703e-33, 1.47703e-33, 2.99751e-13, 1.47703e-33, 1.47703e-33, 8.08447e-09, 1.47703e-33, 1.47703e-33, 1.47703e-33
0.409603, 0, 1.24865e-08, 9.00281e-33, 1.41421, -1.24865e-08, 0, 9.00281e-33, 9.00281e-33, 9.00281e-33, 9.00281e-33, 9.00281e-33, 9.00281e-33, 9.00281e-33, 9.00281e-33, 9.00281e-33, 9.00281e-33, 9.00281e-33, 1.11582e-10, 9.00281e-33, 9.00281e-33, 4.99419e-13, 9.00281e-33, 9.00281e-33, 1.23744e-08, 9.00281e-33, 9.00281e-33, 9.00281e-33
0.417488, 0, 1.89585e-08, 5.50489e-32, 1.41421, -1.89585e-08, 0, 5.50489e-32, 5.50489e-32, 5.50489e-32, 5.50489e-32, 5.50489e-32, 5.50489e-32, 5.50489e-32, 5.50489e-32, 5.50489e-32, 5.50489e-32, 5.50489e-32, 1.69734e-10, 5.50489e-32, 5.50489e-32, 8.31426e-13, 5.50489e-32, 5.50489e-32, 1.87879e-08, 5.50489e-32, 5.50489e-32, 5.50489e-32
0.425372, 0, 2.85545e-08, 3.02535e-31, 1.41421, -2.85545e-08, 0, 3.02535e-31, 3.02535e-31, 3.02535e-31, 3.02535e-31, 3.02535e-31, 3.02535e-31, 3.02535e-31, 3.02535e-31, 3.02535e-31, 3.02535e-31, 3.02535e-31, 2.56221e-10, 3.02535e-31, 3.02535e-31, 1.38325e-12, 3.02535e-31, 3.02535e-31, 2.82969e-08, 3.02535e-31, 3.02535e-31, 3.02535e-31
0.433257, 0, 4.26664e-08, 1.61654e-30, 1.41421, -4.26664e-08, 0, 1.61654e-30, 1.61654e-30, 1.61654e-30, 1.61654e-30, 1.61654e-30, 1.61654e-30, 1.61654e-30, 1.61654e-30, 1.61654e-30, 1.61654e-30, 1.61654e-30, 3.83871e-10, 1.61654e-30, 1.61654e-30, 2.29985e-12, 1.61654e-30, 1.61654e-30, 4.22803e-08, 1.61654e-30, 1.61654e-30, 1.61654e-30
0.441142, 0, 6.32507e-08, 8.22021e-30, 1.41421, -6.32507e-08, 0, 8.22021e-30, 8.22021e-30, 8.22021e-30, 8.22021e-30, 8.22021e-30, 8.22021e-30, 8.22021e-30, 8.22021e-30, 8.22021e-30, 8.22021e-30, 8.22021e-30, 5.70871e-10, 8.22021e-30, 8.22021e-30, 3.82087e-12, 8.22021e-30, 8.22021e-30, 6.2676e-08, 8.22021e-30, 8.22021e-30, 8.22021e-30
0.449027, 0, 9.30342e-08, 3.95104e-29, 1.41421, -9.30342e-08, 0, 3.95104e-29, 3.95104e-29, 3.95104e-29, 3.95104e-29, 3.95104e-29, 3.95104e-29, 3.95104e-29, 3.95104e-29, 3.95104e-29, 3.95104e-29, 3.95104e-29, 8.42814e-10, 3.95104e-29, 3.95104e-29, 6.34121e-12, 3.95104e-29, 3.95104e-29, 9.2185e-08, 3.95104e-29, 3.95104e-29, 3.95104e-29
0.456911, 0, 1.35785e-07, 1.82573e-28, 1.41421, -1.35785e-07, 0, 1.82573e-28, 1.82573e-28, 1.82573e-28, 1.82573e-28, 1.82573e-28, 1.82573e-28, 1.82573e-28, 1.82573e-28, 1.82573e-28, 1.82573e-28, 1.82573e-28, 1.23547e-09, 1.82573e-28, 1.82573e-28, 1.0509e-11, 1.82573e-28, 1.82573e-28, 1.34539e-07, 1.82573e-28, 1.82573e-28, 1.82573e-28
0.464796, 0, 1.96665e-07, 8.08043e-28, 1.41421, -1.96665e-07, 0, 8.08043e-28, 8.08043e-28, 8.08043e-28, 8.08043e-28, 8.08043e-28, 8.08043e-28, 8.08043e-28, 8.08043e-28, 8.08043e-28, 8.08043e-28, 8.08043e-28, 1.79845e-09, 8.08043e-28, 8.08043e-28, 1.7383e-11, 8.08043e-28, 8.08043e-28, 1.94849e-07, 8.08043e-28, 8.08043e-28, 8.08043e-28
