   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_106.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0331061, 212, 0, 0, 14.6287, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0252125, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.017319, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00942544, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00153189, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00636166, 0, 1.22788e-28, 0, 1.41421, -1.22788e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90126e-31, 0, 0, 7.04501e-34, 0, 0, 1.22198e-28, 0, 0, 0
0.0142552, 0, 1.23908e-27, 0, 1.41421, -1.23908e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.95505e-30, 0, 0, 7.10922e-33, 0, 0, 1.23311e-27, 0, 0, 0
0.0221488, 0, 7.55521e-27, 0, 1.41421, -7.55521e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63107e-29, 0, 0, 4.3437e-32, 0, 0, 7.51885e-27, 0, 0, 0
0.0300423, 0, 3.65796e-26, 0, 1.41421, -3.65796e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75803e-28, 0, 0, 2.11495e-31, 0, 0, 3.64036e-26, 0, 0, 0
0.0379359, 0, 1.54285e-25, 0, 1.41421, -1.54285e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.41499e-28, 0, 0, 8.99199e-31, 0, 0, 1.53542e-25, 0, 0, 0
0.0458294, 0, 5.91902e-25, 0, 1.41421, -5.91902e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84471e-27, 0, 0, 3.48179e-30, 0, 0, 5.89054e-25, 0, 0, 0
0.053723, 0, 2.11516e-24, 0, 1.41421, -2.11516e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01656e-26, 0, 0, 1.25656e-29, 0, 0, 2.10499e-24, 0, 0, 0
0.0616165, 0, 7.2825e-24, 0, 1.41421, -7.2825e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5e-26, 0, 0, 4.38454e-29, 0, 0, 7.24745e-24, 0, 0, 0
0.0695101, 0, 2.37331e-23, 0, 1.41421, -2.37331e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14062e-25, 0, 0, 1.44645e-28, 0, 0, 2.36189e-23, 0, 0, 0
