   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_222.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.167347, 0, 6.55214e-17, 0, 1.41421, -6.55214e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90961e-19, 0, 0, 1.31582e-22, 4.50847e-22, 0, 6.53298e-17, 0, 0, 0
0.175229, 0, 1.39078e-16, 0, 1.41421, -1.39078e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0534e-19, 0, 0, 2.84038e-22, 9.72249e-22, 0, 1.38672e-16, 0, 0, 0
0.183111, 0, 2.91699e-16, 0, 1.41421, -2.91699e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50149e-19, 0, 0, 6.06004e-22, 2.07194e-21, 0, 2.90846e-16, 0, 0, 0
0.190994, 0, 6.04671e-16, 0, 1.41421, -6.04671e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7623e-18, 0, 0, 1.27823e-21, 4.36479e-21, 0, 6.02903e-16, 0, 0, 0
0.198876, 0, 1.23912e-15, 0, 1.41421, -1.23912e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61138e-18, 0, 0, 2.66615e-21, 9.09191e-21, 0, 1.2355e-15, 0, 0, 0
0.206758, 0, 2.51078e-15, 0, 1.41421, -2.51078e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.31759e-18, 0, 0, 5.50044e-21, 1.87313e-20, 0, 2.50344e-15, 0, 0, 0
0.21464, 0, 5.03141e-15, 0, 1.41421, -5.03141e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46638e-17, 0, 0, 1.12264e-20, 3.81775e-20, 0, 5.0167e-15, 0, 0, 0
0.222522, 0, 9.97315e-15, 0, 1.41421, -9.97315e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90662e-17, 0, 0, 2.26723e-20, 7.69973e-20, 0, 9.94399e-15, 0, 0, 0
0.230405, 0, 1.95574e-14, 0, 1.41421, -1.95574e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69987e-17, 0, 0, 4.53155e-20, 1.53698e-19, 0, 1.95002e-14, 0, 0, 0
0.238287, 0, 3.79481e-14, 0, 1.41421, -3.79481e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10597e-16, 0, 0, 8.96535e-20, 3.03723e-19, 0, 3.78371e-14, 0, 0, 0
0.246169, 0, 7.28668e-14, 0, 1.41421, -7.28668e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12364e-16, 0, 0, 1.75611e-19, 5.94278e-19, 0, 7.26536e-14, 0, 0, 0
0.254051, 0, 1.38481e-13, 0, 1.41421, -1.38481e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03588e-16, 0, 0, 3.40621e-19, 1.15157e-18, 0, 1.38076e-13, 0, 0, 0
0.261933, 0, 2.60507e-13, 0, 1.41421, -2.60507e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5922e-16, 0, 0, 6.54338e-19, 2.21037e-18, 0, 2.59745e-13, 0, 0, 0
0.269816, 0, 4.85142e-13, 0, 1.41421, -4.85142e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41389e-15, 0, 0, 1.24514e-18, 4.20324e-18, 0, 4.83723e-13, 0, 0, 0
0.277698, 0, 8.94511e-13, 0, 1.41421, -8.94511e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60695e-15, 0, 0, 2.3475e-18, 7.92015e-18, 0, 8.91894e-13, 0, 0, 0
0.28558, 0, 1.63308e-12, 0, 1.41421, -1.63308e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75943e-15, 0, 0, 4.38572e-18, 1.47904e-17, 0, 1.6283e-12, 0, 0, 0
0.293462, 0, 2.9524e-12, 0, 1.41421, -2.9524e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60455e-15, 0, 0, 8.1212e-18, 2.73806e-17, 0, 2.94376e-12, 0, 0, 0
0.301344, 0, 5.28598e-12, 0, 1.41421, -5.28598e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54058e-14, 0, 0, 1.49087e-17, 5.02554e-17, 0, 5.2705e-12, 0, 0, 0
0.309227, 0, 9.37325e-12, 0, 1.41421, -9.37325e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73188e-14, 0, 0, 2.71402e-17, 9.14721e-17, 0, 9.34581e-12, 0, 0, 0
0.317109, 0, 1.64627e-11, 0, 1.41421, -1.64627e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79834e-14, 0, 0, 4.90074e-17, 1.65141e-16, 0, 1.64145e-11, 0, 0, 0
0.324991, 0, 2.86412e-11, 0, 1.41421, -2.86412e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34845e-14, 0, 0, 8.78069e-17, 2.95793e-16, 0, 2.85573e-11, 0, 0, 0
0.332873, 0, 4.93611e-11, 0, 1.41421, -4.93611e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43892e-13, 0, 0, 1.56161e-16, 5.25774e-16, 0, 4.92165e-11, 0, 0, 0
0.340755, 0, 8.42772e-11, 3.37713e-43, 1.41421, -8.42772e-11, 0, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 2.45704e-13, 3.37713e-43, 3.37713e-43, 2.75786e-16, 9.27718e-16, 3.37713e-43, 8.40303e-11, 3.37713e-43, 3.37713e-43, 3.37713e-43
0.348638, 0, 1.42558e-10, 5.92189e-42, 1.41421, -1.42558e-10, 0, 5.92189e-42, 5.92189e-42, 5.92189e-42, 5.92189e-42, 5.92189e-42, 5.92189e-42, 5.92189e-42, 5.92189e-42, 5.92189e-42, 5.92189e-42, 4.15685e-13, 5.92189e-42, 5.92189e-42, 4.83864e-16, 1.62548e-15, 5.92189e-42, 1.42141e-10, 5.92189e-42, 5.92189e-42, 5.92189e-42
0.35652, 0, 2.38924e-10, 8.55381e-41, 1.41421, -2.38924e-10, 0, 8.55381e-41, 8.55381e-41, 8.55381e-41, 8.55381e-41, 8.55381e-41, 8.55381e-41, 8.55381e-41, 8.55381e-41, 8.55381e-41, 8.55381e-41, 6.96821e-13, 8.55381e-41, 8.55381e-41, 8.43817e-16, 2.82918e-15, 8.55381e-41, 2.38223e-10, 8.55381e-41, 8.55381e-41, 8.55381e-41
0.364402, 0, 3.96764e-10, 1.09446e-39, 1.41421, -3.96764e-10, 0, 1.09446e-39, 1.09446e-39, 1.09446e-39, 1.09446e-39, 1.09446e-39, 1.09446e-39, 1.09446e-39, 1.09446e-39, 1.09446e-39, 1.09446e-39, 1.15748e-12, 1.09446e-39, 1.09446e-39, 1.46349e-15, 4.89366e-15, 1.09446e-39, 3.956e-10, 1.09446e-39, 1.09446e-39, 1.09446e-39
0.372284, 0, 6.52885e-10, 1.25225e-38, 1.41421, -6.52885e-10, 0, 1.25225e-38, 1.25225e-38, 1.25225e-38, 1.25225e-38, 1.25225e-38, 1.25225e-38, 1.25225e-38, 1.25225e-38, 1.25225e-38, 1.25225e-38, 1.90535e-12, 1.25225e-38, 1.25225e-38, 2.52587e-15, 8.41599e-15, 1.25225e-38, 6.50969e-10, 1.25225e-38, 1.25225e-38, 1.25225e-38
0.380167, 0, 1.06463e-09, 1.29488e-37, 1.41421, -1.06463e-09, 0, 1.29488e-37, 1.29488e-37, 1.29488e-37, 1.29488e-37, 1.29488e-37, 1.29488e-37, 1.29488e-37, 1.29488e-37, 1.29488e-37, 1.29488e-37, 3.10839e-12, 1.29488e-37, 1.29488e-37, 4.341e-15, 1.4398e-14, 1.29488e-37, 1.0615e-09, 1.29488e-37, 1.29488e-37, 1.29488e-37
0.388049, 0, 1.72044e-09, 1.2165e-36, 1.41421, -1.72044e-09, 0, 1.2165e-36, 1.2165e-36, 1.2165e-36, 1.2165e-36, 1.2165e-36, 1.2165e-36, 1.2165e-36, 1.2165e-36, 1.2165e-36, 1.2165e-36, 5.02609e-12, 1.2165e-36, 1.2165e-36, 7.43377e-15, 2.45173e-14, 1.2165e-36, 1.71538e-09, 1.2165e-36, 1.2165e-36, 1.2165e-36
0.395931, 0, 2.75569e-09, 3.19629e-35, 1.41421, -2.75569e-09, 0, 3.19629e-35, 3.19629e-35, 3.19629e-35, 3.19629e-35, 3.19629e-35, 3.19629e-35, 3.19629e-35, 3.19629e-35, 3.19629e-35, 3.19629e-35, 8.05654e-12, 3.19629e-35, 3.19629e-35, 1.27164e-14, 4.16509e-14, 3.19629e-35, 2.74758e-09, 3.19629e-35, 3.19629e-35, 3.19629e-35
0.403813, 0, 4.37424e-09, 2.33148e-34, 1.41421, -4.37424e-09, 0, 2.33148e-34, 2.33148e-34, 2.33148e-34, 2.33148e-34, 2.33148e-34, 2.33148e-34, 2.33148e-34, 2.33148e-34, 2.33148e-34, 2.33148e-34, 1.28002e-11, 2.33148e-34, 2.33148e-34, 2.16616e-14, 7.0398e-14, 2.33148e-34, 4.36134e-09, 2.33148e-34, 2.33148e-34, 2.33148e-34
0.411695, 0, 6.88231e-09, 1.6187e-33, 1.41421, -6.88231e-09, 0, 1.6187e-33, 1.6187e-33, 1.6187e-33, 1.6187e-33, 1.6187e-33, 1.6187e-33, 1.6187e-33, 1.6187e-33, 1.6187e-33, 1.6187e-33, 2.01624e-11, 1.6187e-33, 1.6187e-33, 3.68347e-14, 1.18657e-13, 1.6187e-33, 6.862e-09, 1.6187e-33, 1.6187e-33, 1.6187e-33
0.419578, 0, 1.07338e-08, 9.23763e-33, 1.41421, -1.07338e-08, 0, 9.23763e-33, 9.23763e-33, 9.23763e-33, 9.23763e-33, 9.23763e-33, 9.23763e-33, 9.23763e-33, 9.23763e-33, 9.23763e-33, 9.23763e-33, 3.14895e-11, 9.23763e-33, 9.23763e-33, 6.25558e-14, 1.99574e-13, 9.23763e-33, 1.0702e-08, 9.23763e-33, 9.23763e-33, 9.23763e-33
0.42746, 0, 1.65953e-08, 5.39058e-32, 1.41421, -1.65953e-08, 0, 5.39058e-32, 5.39058e-32, 5.39058e-32, 5.39058e-32, 5.39058e-32, 5.39058e-32, 5.39058e-32, 5.39058e-32, 5.39058e-32, 5.39058e-32, 4.87681e-11, 5.39058e-32, 5.39058e-32, 1.06139e-13, 3.35158e-13, 5.39058e-32, 1.65461e-08, 5.39058e-32, 5.39058e-32, 5.39058e-32
0.435342, 0, 2.54369e-08, 2.80786e-31, 1.41421, -2.54369e-08, 0, 2.80786e-31, 2.80786e-31, 2.80786e-31, 2.80786e-31, 2.80786e-31, 2.80786e-31, 2.80786e-31, 2.80786e-31, 2.80786e-31, 2.80786e-31, 7.49045e-11, 2.80786e-31, 2.80786e-31, 1.79956e-13, 5.62285e-13, 2.80786e-31, 2.53612e-08, 2.80786e-31, 2.80786e-31, 2.80786e-31
0.443224, 0, 3.8656e-08, 1.44188e-30, 1.41421, -3.8656e-08, 0, 1.44188e-30, 1.44188e-30, 1.44188e-30, 1.44188e-30, 1.44188e-30, 1.44188e-30, 1.44188e-30, 1.44188e-30, 1.44188e-30, 1.44188e-30, 1.14114e-10, 1.44188e-30, 1.44188e-30, 3.04902e-13, 9.42761e-13, 1.44188e-30, 3.85407e-08, 1.44188e-30, 1.44188e-30, 1.44188e-30
0.451106, 0, 5.82476e-08, 7.10792e-30, 1.41421, -5.82476e-08, 0, 7.10792e-30, 7.10792e-30, 7.10792e-30, 7.10792e-30, 7.10792e-30, 7.10792e-30, 7.10792e-30, 7.10792e-30, 7.10792e-30, 7.10792e-30, 1.72459e-10, 7.10792e-30, 7.10792e-30, 5.16177e-13, 1.58014e-12, 7.10792e-30, 5.8073e-08, 7.10792e-30, 7.10792e-30, 7.10792e-30
0.458989, 0, 8.70327e-08, 3.33627e-29, 1.41421, -8.70327e-08, 0, 3.33627e-29, 3.33627e-29, 3.33627e-29, 3.33627e-29, 3.33627e-29, 3.33627e-29, 3.33627e-29, 3.33627e-29, 3.33627e-29, 3.33627e-29, 2.58594e-10, 3.33627e-29, 3.33627e-29, 8.7289e-13, 2.64775e-12, 3.33627e-29, 8.67706e-08, 3.33627e-29, 3.33627e-29, 3.33627e-29
0.466871, 0, 1.28963e-07, 1.52126e-28, 1.41421, -1.28963e-07, 0, 1.52126e-28, 1.52126e-28, 1.52126e-28, 1.52126e-28, 1.52126e-28, 1.52126e-28, 1.52126e-28, 1.52126e-28, 1.52126e-28, 1.52126e-28, 3.84771e-10, 1.52126e-28, 1.52126e-28, 1.47386e-12, 4.435e-12, 1.52126e-28, 1.28572e-07, 1.52126e-28, 1.52126e-28, 1.52126e-28
0.474753, 0, 1.89524e-07, 6.66131e-28, 1.41421, -1.89524e-07, 0, 6.66131e-28, 6.66131e-28, 6.66131e-28, 6.66131e-28, 6.66131e-28, 6.66131e-28, 6.66131e-28, 6.66131e-28, 6.66131e-28, 6.66131e-28, 5.6821e-10, 6.66131e-28, 6.66131e-28, 2.48345e-12, 7.42369e-12, 6.66131e-28, 1.88945e-07, 6.66131e-28, 6.66131e-28, 6.66131e-28
0.482635, 0, 2.76259e-07, 2.78792e-27, 1.41421, -2.76259e-07, 0, 2.78792e-27, 2.78792e-27, 2.78792e-27, 2.78792e-27, 2.78792e-27, 2.78792e-27, 2.78792e-27, 2.78792e-27, 2.78792e-27, 2.78792e-27, 8.32942e-10, 2.78792e-27, 2.78792e-27, 4.17346e-12, 1.24121e-11, 2.78792e-27, 2.7541e-07, 2.78792e-27, 2.78792e-27, 2.78792e-27
0.490517, 0, 3.99453e-07, 1.11519e-26, 1.41421, -3.99453e-07, 0, 1.11519e-26, 1.11519e-26, 1.11519e-26, 1.11519e-26, 1.11519e-26, 1.11519e-26, 1.11519e-26, 1.11519e-26, 1.11519e-26, 1.11519e-26, 1.21225e-09, 1.11519e-26, 1.11519e-26, 6.99022e-12, 2.07154e-11, 1.11519e-26, 3.98213e-07, 1.11519e-26, 1.11519e-26, 1.11519e-26
