   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_305.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0307346, 610, 0, 0, 24.7386, 610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0228533, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.014972, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0070907, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000790604, 0, 3.74327e-24, 0, 1.41421, -3.74327e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22395e-27, 0, 0, 0, 9.55813e-28, 0, 3.73809e-24, 0, 0, 0
0.0086719, 0, 1.07981e-23, 0, 1.41421, -1.07981e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21846e-26, 0, 0, 0, 2.86073e-27, 0, 1.07831e-23, 0, 0, 0
0.0165532, 0, 3.01446e-23, 0, 1.41421, -3.01446e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40149e-26, 0, 0, 0, 8.25e-27, 0, 3.01024e-23, 0, 0, 0
0.0244345, 0, 9.26846e-23, 0, 1.41421, -9.26846e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04583e-25, 0, 0, 0, 2.66959e-26, 0, 9.25534e-23, 0, 0, 0
0.0323158, 0, 2.42273e-22, 0, 1.41421, -2.42273e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73373e-25, 0, 0, 0, 7.15889e-26, 0, 2.41928e-22, 0, 0, 0
0.0401971, 0, 6.19068e-22, 0, 1.41421, -6.19068e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.98531e-25, 0, 0, 0, 1.87287e-25, 0, 6.18182e-22, 0, 0, 0
0.0480784, 0, 1.54914e-21, 0, 1.41421, -1.54914e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74797e-24, 0, 0, 0, 4.79075e-25, 0, 1.54691e-21, 0, 0, 0
0.0559597, 0, 3.8019e-21, 0, 1.41421, -3.8019e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28985e-24, 0, 0, 0, 1.20036e-24, 0, 3.79641e-21, 0, 0, 0
0.063841, 0, 9.16243e-21, 0, 1.41421, -9.16243e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03383e-23, 0, 0, 0, 2.95035e-24, 0, 9.14914e-21, 0, 0, 0
0.0717223, 0, 2.17056e-20, 0, 1.41421, -2.17056e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44911e-23, 0, 0, 0, 7.12249e-24, 0, 2.1674e-20, 0, 0, 0
0.0796036, 0, 5.05914e-20, 0, 1.41421, -5.05914e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.70835e-23, 0, 0, 0, 1.69062e-23, 0, 5.05175e-20, 0, 0, 0
0.0874849, 0, 1.1611e-19, 0, 1.41421, -1.1611e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31009e-22, 0, 0, 0, 3.9493e-23, 0, 1.1594e-19, 0, 0, 0
0.0953662, 0, 2.62573e-19, 0, 1.41421, -2.62573e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96263e-22, 0, 0, 0, 9.08658e-23, 0, 2.62186e-19, 0, 0, 0
0.103247, 0, 5.8544e-19, 0, 1.41421, -5.8544e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.60553e-22, 0, 0, 0, 2.06063e-22, 0, 5.84573e-19, 0, 0, 0
0.111129, 0, 1.28767e-18, 0, 1.41421, -1.28767e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45287e-21, 0, 0, 0, 4.60885e-22, 0, 1.28576e-18, 0, 0, 0
0.11901, 0, 2.79532e-18, 0, 1.41421, -2.79532e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15393e-21, 0, 0, 0, 1.01725e-21, 0, 2.79115e-18, 0, 0, 0
0.126891, 0, 5.99179e-18, 0, 1.41421, -5.99179e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.76043e-21, 0, 0, 0, 2.21683e-21, 0, 5.98281e-18, 0, 0, 0
0.134773, 0, 1.26868e-17, 0, 1.41421, -1.26868e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43142e-20, 0, 0, 0, 4.7721e-21, 0, 1.26677e-17, 0, 0, 0
