   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_43.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0310231, 86, 0, 0, 9.38083, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0231213, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0152195, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00731766, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000584136, 0, 3.28513e-20, 0, 1.41421, -3.28513e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15549e-23, 0, 0, 2.11584e-25, 0, 0, 3.27895e-20, 0, 0, 0
0.00848593, 0, 7.16933e-20, 0, 1.41421, -7.16933e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34335e-22, 0, 0, 4.67199e-25, 0, 0, 7.15585e-20, 0, 0, 0
0.0163877, 0, 1.5439e-19, 0, 1.41421, -1.5439e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89288e-22, 0, 0, 1.01815e-24, 0, 0, 1.541e-19, 0, 0, 0
0.0242895, 0, 3.28276e-19, 0, 1.41421, -3.28276e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15105e-22, 0, 0, 2.19121e-24, 0, 0, 3.27659e-19, 0, 0, 0
0.0321913, 0, 6.89555e-19, 0, 1.41421, -6.89555e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29205e-21, 0, 0, 4.65965e-24, 0, 0, 6.88258e-19, 0, 0, 0
0.0400931, 0, 1.43158e-18, 0, 1.41421, -1.43158e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68241e-21, 0, 0, 9.79563e-24, 0, 0, 1.42888e-18, 0, 0, 0
0.0479949, 0, 2.93877e-18, 0, 1.41421, -2.93877e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50649e-21, 0, 0, 2.03665e-23, 0, 0, 2.93324e-18, 0, 0, 0
