   PIQUANT 0.0.0-main  ps__0846_0742001877_000BHVO2_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00353986, 0.188491, 0, 0, 1.47936, 0.188491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00432701, 1.36975, 3.43737e-16, 0, 1.83569, 1.36975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.79781e-19, 0, 0, 2.72489e-21, 0, 0, 3.42955e-16, 0, 0, 0
0.0121939, 2.8091, 6.15319e-16, 0, 2.19297, 2.8091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39587e-18, 0, 0, 4.95776e-21, 0, 0, 6.13918e-16, 0, 0, 0
0.0200607, 1.81392, 1.09349e-15, 0, 1.95293, 1.81392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48061e-18, 0, 0, 8.9566e-21, 0, 0, 1.091e-15, 0, 0, 0
0.0279276, 0.818742, 1.92941e-15, 0, 1.67891, 0.818742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37695e-18, 0, 0, 1.6069e-20, 0, 0, 1.92502e-15, 0, 0, 0
0.0357945, 0.176437, 3.38058e-15, 0, 1.47528, 0.176437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.66897e-18, 0, 0, 2.86335e-20, 0, 0, 3.37288e-15, 0, 0, 0
0.0436613, 0.997589, 5.88249e-15, 0, 1.73135, 0.997589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33447e-17, 0, 0, 5.06828e-20, 0, 0, 5.8691e-15, 0, 0, 0
0.0515282, 0.825974, 1.01668e-14, 0, 1.68106, 0.825974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30637e-17, 0, 0, 8.91239e-20, 0, 0, 1.01436e-14, 0, 0, 0
0.0593951, 0, 1.74541e-14, 0, 1.41421, -1.74541e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95953e-17, 0, 0, 1.55712e-19, 0, 0, 1.74144e-14, 0, 0, 0
0.0672619, 0, 2.97678e-14, 0, 1.41421, -2.97678e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.75292e-17, 0, 0, 2.70324e-19, 0, 0, 2.97e-14, 0, 0, 0
0.0751288, 0, 5.04387e-14, 0, 1.41421, -5.04387e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14422e-16, 0, 0, 4.66364e-19, 0, 0, 5.03238e-14, 0, 0, 0
0.0829957, 0.323943, 8.49147e-14, 0, 1.52445, 0.323943, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92632e-16, 0, 0, 7.99609e-19, 0, 0, 8.47213e-14, 0, 0, 0
0.0908625, 1.83562, 1.42049e-13, 0, 1.95847, 1.83562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22242e-16, 0, 0, 1.36264e-18, 0, 0, 1.41725e-13, 0, 0, 0
0.0987294, 0.840439, 2.36131e-13, 0, 1.68536, 0.840439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35671e-16, 0, 0, 2.30818e-18, 0, 0, 2.35593e-13, 0, 0, 0
