   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_93.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.00138094, 0, 1.24246e-21, 0, 1.41421, -1.24246e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57933e-24, 0, 0, 2.48085e-26, 1.3913e-25, 0, 1.23572e-21, 0, 0
0.00926338, 0, 2.83171e-21, 0, 1.41421, -2.83171e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4995e-23, 0, 0, 5.74185e-26, 3.22733e-25, 0, 2.81634e-21, 0, 0
0.0171458, 0, 6.35632e-21, 0, 1.41421, -6.35632e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3659e-23, 0, 0, 1.30888e-25, 7.36898e-25, 0, 6.32179e-21, 0, 0
0.0250283, 0, 1.40641e-20, 0, 1.41421, -1.40641e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.44743e-23, 0, 0, 2.9411e-25, 1.65778e-24, 0, 1.39877e-20, 0, 0
0.0329107, 0, 3.06955e-20, 0, 1.41421, -3.06955e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62543e-22, 0, 0, 6.51934e-25, 3.67751e-24, 0, 3.05286e-20, 0, 0
0.0407932, 0, 6.6126e-20, 0, 1.41421, -6.6126e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50159e-22, 0, 0, 1.42648e-24, 8.05012e-24, 0, 6.57664e-20, 0, 0
0.0486756, 0, 1.40684e-19, 0, 1.41421, -1.40684e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.44969e-22, 0, 0, 3.08279e-24, 1.74e-23, 0, 1.39919e-19, 0, 0
0.056558, 0, 2.95741e-19, 0, 1.41421, -2.95741e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56604e-21, 0, 0, 6.58361e-24, 3.71572e-23, 0, 2.94131e-19, 0, 0
0.0644405, 0, 6.14555e-19, 0, 1.41421, -6.14555e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25425e-21, 0, 0, 1.39003e-23, 7.8433e-23, 0, 6.11208e-19, 0, 0
0.0723229, 0, 1.29439e-18, 0, 1.41421, -1.29439e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.85417e-21, 0, 0, 2.99182e-23, 1.6871e-22, 0, 1.28734e-18, 0, 0
0.0802054, 0, 2.62444e-18, 0, 1.41421, -2.62444e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38971e-20, 0, 0, 6.16332e-23, 3.47408e-22, 0, 2.61014e-18, 0, 0
0.0880878, 0, 5.26713e-18, 0, 1.41421, -5.26713e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78907e-20, 0, 0, 1.25701e-22, 7.08213e-22, 0, 5.2384e-18, 0, 0
0.0959703, 0, 1.04662e-17, 0, 1.41421, -1.04662e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54212e-20, 0, 0, 2.53882e-22, 1.42972e-21, 0, 1.04091e-17, 0, 0
0.103853, 0, 2.05964e-17, 0, 1.41421, -2.05964e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09063e-19, 0, 0, 5.07923e-22, 2.85904e-21, 0, 2.0484e-17, 0, 0
0.111735, 0, 4.0149e-17, 0, 1.41421, -4.0149e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12597e-19, 0, 0, 1.00679e-21, 5.66488e-21, 0, 3.99297e-17, 0, 0
0.119618, 0, 7.75395e-17, 0, 1.41421, -7.75395e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10587e-19, 0, 0, 1.97766e-21, 1.11241e-20, 0, 7.71159e-17, 0, 0
0.1275, 0, 1.48394e-16, 0, 1.41421, -1.48394e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.85774e-19, 0, 0, 3.85048e-21, 2.16539e-20, 0, 1.47583e-16, 0, 0
0.135382, 0, 2.81469e-16, 0, 1.41421, -2.81469e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49042e-18, 0, 0, 7.43207e-21, 4.17929e-20, 0, 2.79929e-16, 0, 0
0.143265, 0, 5.29209e-16, 0, 1.41421, -5.29209e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80223e-18, 0, 0, 1.42234e-20, 7.99914e-20, 0, 5.26313e-16, 0, 0
0.151147, 0, 9.86438e-16, 0, 1.41421, -9.86438e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2233e-18, 0, 0, 2.6994e-20, 1.51858e-19, 0, 9.81036e-16, 0, 0
0.15903, 0, 1.82311e-15, 0, 1.41421, -1.82311e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.65353e-18, 0, 0, 5.08107e-20, 2.85998e-19, 0, 1.81312e-15, 0, 0
0.166912, 0, 3.34125e-15, 0, 1.41421, -3.34125e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76921e-17, 0, 0, 9.487e-20, 5.34424e-19, 0, 3.32293e-15, 0, 0
0.174795, 0, 6.07303e-15, 0, 1.41421, -6.07303e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21569e-17, 0, 0, 1.75727e-19, 9.91e-19, 0, 6.03971e-15, 0, 0
