   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_117.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.181427, 0, 7.53636e-15, 0, 1.41421, -7.53636e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38339e-17, 0, 0, 1.05278e-19, 2.79447e-16, 0, 7.20298e-15, 0, 0, 0
0.189315, 0, 1.356e-14, 0, 1.41421, -1.356e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67841e-17, 0, 0, 1.92966e-19, 5.13291e-16, 0, 1.29497e-14, 0, 0, 0
0.197202, 0, 2.42035e-14, 0, 1.41421, -2.42035e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72606e-16, 0, 0, 3.50994e-19, 9.35908e-16, 0, 2.30947e-14, 0, 0, 0
0.20509, 0, 4.28602e-14, 0, 1.41421, -4.28602e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05381e-16, 0, 0, 6.33632e-19, 1.69419e-15, 0, 4.086e-14, 0, 0, 0
0.212977, 0, 7.53043e-14, 0, 1.41421, -7.53043e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3604e-16, 0, 0, 1.13538e-18, 3.0451e-15, 0, 7.1722e-14, 0, 0, 0
0.220864, 0, 1.31282e-13, 0, 1.41421, -1.31282e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33572e-16, 0, 0, 2.01959e-18, 5.43506e-15, 0, 1.24911e-13, 0, 0, 0
0.228752, 0, 2.27111e-13, 0, 1.41421, -2.27111e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61332e-15, 0, 0, 3.56658e-18, 9.63428e-15, 0, 2.1586e-13, 0, 0, 0
0.236639, 0, 3.89896e-13, 0, 1.41421, -3.89896e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76658e-15, 0, 0, 6.25406e-18, 1.69639e-14, 0, 3.70159e-13, 0, 0, 0
0.244527, 0, 6.64292e-13, 0, 1.41421, -6.64292e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70799e-15, 0, 0, 1.08905e-17, 2.96731e-14, 0, 6.299e-13, 0, 0, 0
0.252414, 0, 1.1233e-12, 0, 1.41421, -1.1233e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.95096e-15, 0, 0, 1.88356e-17, 5.15688e-14, 0, 1.06376e-12, 0, 0, 0
0.260301, 0, 1.88531e-12, 0, 1.41421, -1.88531e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33266e-14, 0, 0, 3.23608e-17, 8.90547e-14, 0, 1.78289e-12, 0, 0, 0
0.268189, 0, 3.14079e-12, 0, 1.41421, -3.14079e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2169e-14, 0, 0, 5.52392e-17, 1.52839e-13, 0, 2.96573e-12, 0, 0, 0
0.276076, 0, 5.19388e-12, 0, 1.41421, -5.19388e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6604e-14, 0, 0, 9.37041e-17, 2.60731e-13, 0, 4.89645e-12, 0, 0, 0
0.283964, 0, 8.52632e-12, 0, 1.41421, -8.52632e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99899e-14, 0, 0, 1.57995e-16, 4.42185e-13, 0, 8.02398e-12, 0, 0, 0
0.291851, 0, 1.38954e-11, 0, 1.41421, -1.38954e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.75922e-14, 0, 0, 2.64859e-16, 7.45681e-13, 0, 1.30519e-11, 0, 0, 0
0.299738, 0, 2.24826e-11, 0, 1.41421, -2.24826e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.576e-13, 0, 0, 4.4156e-16, 1.25064e-12, 0, 2.1074e-11, 0, 0, 0
0.307626, 0, 3.61171e-11, 4.06377e-44, 1.41421, -3.61171e-11, 4.06377e-44, 0, 4.06377e-44, 4.06377e-44, 4.06377e-44, 4.06377e-44, 4.06377e-44, 4.06377e-44, 4.06377e-44, 4.06377e-44, 4.06377e-44, 4.06377e-44, 2.52651e-13, 4.06377e-44, 4.06377e-44, 7.32331e-16, 2.08661e-12, 4.06377e-44, 3.37771e-11, 4.06377e-44, 4.06377e-44, 4.06377e-44
0.315513, 0, 5.76098e-11, 7.24471e-43, 1.41421, -5.76098e-11, 7.24471e-43, 0, 7.24471e-43, 7.24471e-43, 7.24471e-43, 7.24471e-43, 7.24471e-43, 7.24471e-43, 7.24471e-43, 7.24471e-43, 7.24471e-43, 7.24471e-43, 4.02094e-13, 7.24471e-43, 7.24471e-43, 1.2087e-15, 3.46411e-12, 7.24471e-43, 5.37424e-11, 7.24471e-43, 7.24471e-43, 7.24471e-43
0.323401, 0, 9.12488e-11, 1.05742e-41, 1.41421, -9.12488e-11, 1.05742e-41, 0, 1.05742e-41, 1.05742e-41, 1.05742e-41, 1.05742e-41, 1.05742e-41, 1.05742e-41, 1.05742e-41, 1.05742e-41, 1.05742e-41, 1.05742e-41, 6.35322e-13, 1.05742e-41, 1.05742e-41, 1.98603e-15, 5.72413e-12, 1.05742e-41, 8.48873e-11, 1.05742e-41, 1.05742e-41, 1.05742e-41
