   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_96.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0014766, 0, 1.53063e-19, 0, 1.41421, -1.53063e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.53597e-22, 0, 0, 1.67464e-24, 3.02031e-22, 0, 1.51906e-19, 0, 0
0.0093576, 0, 3.02699e-19, 0, 1.41421, -3.02699e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68803e-21, 0, 0, 3.36718e-24, 6.06799e-22, 0, 3.00401e-19, 0, 0
0.0172386, 0, 5.92875e-19, 0, 1.41421, -5.92875e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30611e-21, 0, 0, 6.70539e-24, 1.20742e-21, 0, 5.88354e-19, 0, 0
0.0251196, 0, 1.15045e-18, 0, 1.41421, -1.15045e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41518e-21, 0, 0, 1.32296e-23, 2.38042e-21, 0, 1.14164e-18, 0, 0
0.0330006, 0, 2.21238e-18, 0, 1.41421, -2.21238e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23363e-20, 0, 0, 2.58688e-23, 4.65143e-21, 0, 2.19536e-18, 0, 0
0.0408816, 0, 4.21745e-18, 0, 1.41421, -4.21745e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35158e-20, 0, 0, 5.0146e-23, 9.0114e-21, 0, 4.18488e-18, 0, 0
0.0487626, 0, 7.97167e-18, 0, 1.41421, -7.97167e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44472e-20, 0, 0, 9.63918e-23, 1.7314e-20, 0, 7.90981e-18, 0, 0
0.0566436, 0, 1.49435e-17, 0, 1.41421, -1.49435e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.33167e-20, 0, 0, 1.83778e-22, 3.3e-20, 0, 1.4827e-17, 0, 0
0.0645246, 0, 2.77876e-17, 0, 1.41421, -2.77876e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54922e-19, 0, 0, 3.47608e-22, 6.24094e-20, 0, 2.75699e-17, 0, 0
0.0724056, 0, 5.12651e-17, 0, 1.41421, -5.12651e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85803e-19, 0, 0, 6.52405e-22, 1.17139e-19, 0, 5.08615e-17, 0, 0
0.0802866, 0, 9.3851e-17, 0, 1.41421, -9.3851e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23199e-19, 0, 0, 1.21522e-21, 2.18251e-19, 0, 9.31084e-17, 0, 0
0.0881676, 0, 1.70518e-16, 0, 1.41421, -1.70518e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.50559e-19, 0, 0, 2.24684e-21, 4.03734e-19, 0, 1.69161e-16, 0, 0
0.0960486, 0, 3.07522e-16, 0, 1.41421, -3.07522e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71421e-18, 0, 0, 4.12418e-21, 7.41646e-19, 0, 3.05062e-16, 0, 0
0.10393, 0, 5.50567e-16, 0, 1.41421, -5.50567e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06888e-18, 0, 0, 7.51641e-21, 1.3531e-18, 0, 5.46138e-16, 0, 0
