   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_192.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.100496, 0, 6.40372e-15, 0, 1.41421, -6.40372e-15, 0, 0, 0, 0, 0, 0, 0, 9.5138e-18, 0, 0, 5.22184e-20, 6.52955e-19, 0, 6.3935e-15, 0, 0
0.107924, 0, 1.19758e-14, 0, 1.41421, -1.19758e-14, 0, 0, 0, 0, 0, 0, 0, 1.7792e-17, 0, 0, 9.96369e-20, 1.24938e-18, 0, 1.19566e-14, 0, 0
0.115352, 0, 2.21792e-14, 0, 1.41421, -2.21792e-14, 0, 0, 0, 0, 0, 0, 0, 3.29507e-17, 0, 0, 1.88309e-19, 2.369e-18, 0, 2.21437e-14, 0, 0
0.12278, 0, 4.06856e-14, 0, 1.41421, -4.06856e-14, 0, 0, 0, 0, 0, 0, 0, 6.04447e-17, 0, 0, 3.52579e-19, 4.45239e-18, 0, 4.06203e-14, 0, 0
0.130208, 0, 7.39361e-14, 0, 1.41421, -7.39361e-14, 0, 0, 0, 0, 0, 0, 0, 1.09843e-16, 0, 0, 6.54117e-19, 8.29589e-18, 0, 7.38173e-14, 0, 0
0.137636, 0, 1.33126e-13, 0, 1.41421, -1.33126e-13, 0, 0, 0, 0, 0, 0, 0, 1.97778e-16, 0, 0, 1.20265e-18, 1.53271e-17, 0, 1.32912e-13, 0, 0
0.145063, 0, 2.38451e-13, 0, 1.41421, -2.38451e-13, 0, 0, 0, 0, 0, 0, 0, 3.54252e-16, 0, 0, 2.20481e-18, 2.8285e-17, 0, 2.38066e-13, 0, 0
0.152491, 0, 4.21507e-13, 0, 1.41421, -4.21507e-13, 0, 0, 0, 0, 0, 0, 0, 6.26205e-16, 0, 0, 3.98105e-18, 5.13825e-17, 0, 4.20826e-13, 0, 0
0.159919, 0, 7.38585e-13, 0, 1.41421, -7.38585e-13, 0, 0, 0, 0, 0, 0, 0, 1.09726e-15, 0, 0, 7.12746e-18, 9.26062e-17, 0, 7.37388e-13, 0, 0
0.167347, 0, 1.28304e-12, 0, 1.41421, -1.28304e-12, 0, 0, 0, 0, 0, 0, 0, 1.90611e-15, 0, 0, 1.26544e-17, 1.65614e-16, 0, 1.28095e-12, 0, 0
0.174775, 0, 2.20988e-12, 0, 1.41421, -2.20988e-12, 0, 0, 0, 0, 0, 0, 0, 3.28304e-15, 0, 0, 2.22831e-17, 2.93932e-16, 0, 2.20628e-12, 0, 0
0.182203, 0, 3.77432e-12, 0, 1.41421, -3.77432e-12, 0, 0, 0, 0, 0, 0, 0, 5.60721e-15, 0, 0, 3.89222e-17, 5.17784e-16, 0, 3.76816e-12, 0, 0
0.189631, 0, 6.39287e-12, 0, 1.41421, -6.39287e-12, 0, 0, 0, 0, 0, 0, 0, 9.49738e-15, 0, 0, 6.74475e-17, 9.05441e-16, 0, 6.3824e-12, 0, 0
0.197058, 0, 1.07395e-11, 0, 1.41421, -1.07395e-11, 0, 0, 0, 0, 0, 0, 0, 1.59549e-14, 0, 0, 1.15969e-16, 1.57195e-15, 0, 1.07218e-11, 0, 0
0.204486, 0, 1.78955e-11, 0, 1.41421, -1.78955e-11, 0, 0, 0, 0, 0, 0, 0, 2.65862e-14, 0, 0, 1.97873e-16, 2.70989e-15, 0, 1.7866e-11, 0, 0
0.211914, 0, 2.95811e-11, 0, 1.41421, -2.95811e-11, 0, 0, 0, 0, 0, 0, 0, 4.39474e-14, 0, 0, 3.35087e-16, 4.63917e-15, 0, 2.95322e-11, 0, 0
0.219342, 0, 4.85109e-11, 0, 1.41421, -4.85109e-11, 0, 0, 0, 0, 0, 0, 0, 7.2072e-14, 0, 0, 5.63284e-16, 7.88787e-15, 0, 4.84304e-11, 0, 0
0.22677, 0, 7.89317e-11, 0, 1.41421, -7.89317e-11, 0, 0, 0, 0, 0, 0, 0, 1.17271e-13, 0, 0, 9.40073e-16, 1.33217e-14, 0, 7.88002e-11, 0, 0
0.234198, 0, 1.27512e-10, 0, 1.41421, -1.27512e-10, 0, 0, 0, 0, 0, 0, 0, 1.89459e-13, 0, 0, 1.56054e-15, 2.23985e-14, 0, 1.27299e-10, 0, 0
0.241626, 0, 2.04276e-10, 0, 1.41421, -2.04276e-10, 0, 0, 0, 0, 0, 0, 0, 3.03532e-13, 0, 0, 2.56844e-15, 3.7333e-14, 0, 2.03932e-10, 0, 0
0.249053, 0, 3.24772e-10, 0, 1.41421, -3.24772e-10, 0, 0, 0, 0, 0, 0, 0, 4.82614e-13, 0, 0, 4.19943e-15, 6.18327e-14, 0, 3.24223e-10, 0, 0
