   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_200.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0332392, 0, 3.10642e-15, 0, 1.41421, -3.10642e-15, 0, 0, 0, 0, 0, 0, 0, 5.2245e-18, 0, 0, 1.91595e-20, 4.4058e-19, 0, 3.10074e-15, 0, 0
0.040965, 0, 5.64495e-15, 0, 1.41421, -5.64495e-15, 0, 0, 0, 0, 0, 0, 0, 9.49383e-18, 0, 0, 3.54918e-20, 8.20486e-19, 0, 5.6346e-15, 0, 0
0.0486908, 0, 1.01724e-14, 0, 1.41421, -1.01724e-14, 0, 0, 0, 0, 0, 0, 0, 1.71082e-17, 0, 0, 6.52087e-20, 1.51614e-18, 0, 1.01537e-14, 0, 0
0.0564165, 0, 1.81808e-14, 0, 1.41421, -1.81808e-14, 0, 0, 0, 0, 0, 0, 0, 3.05768e-17, 0, 0, 1.18846e-19, 2.78042e-18, 0, 1.81474e-14, 0, 0
0.0641423, 0, 3.22324e-14, 0, 1.41421, -3.22324e-14, 0, 0, 0, 0, 0, 0, 0, 5.42088e-17, 0, 0, 2.14899e-19, 5.06122e-18, 0, 3.2173e-14, 0, 0
0.071868, 0, 5.66913e-14, 0, 1.41421, -5.66913e-14, 0, 0, 0, 0, 0, 0, 0, 9.53434e-17, 0, 0, 3.85578e-19, 9.14629e-18, 0, 5.65864e-14, 0, 0
0.0795938, 0, 9.89314e-14, 0, 1.41421, -9.89314e-14, 0, 0, 0, 0, 0, 0, 0, 1.66382e-16, 0, 0, 6.86556e-19, 1.64113e-17, 0, 9.87479e-14, 0, 0
0.0873196, 0, 1.71316e-13, 0, 1.41421, -1.71316e-13, 0, 0, 0, 0, 0, 0, 0, 2.88116e-16, 0, 0, 1.21333e-18, 2.92421e-17, 0, 1.70997e-13, 0, 0
0.0950453, 0, 2.9441e-13, 0, 1.41421, -2.9441e-13, 0, 0, 0, 0, 0, 0, 0, 4.95131e-16, 0, 0, 2.12851e-18, 5.17491e-17, 0, 2.93861e-13, 0, 0
0.102771, 0, 5.02163e-13, 0, 1.41421, -5.02163e-13, 0, 0, 0, 0, 0, 0, 0, 8.44519e-16, 0, 0, 3.70692e-18, 9.09656e-17, 0, 5.01224e-13, 0, 0
0.110497, 0, 8.52533e-13, 0, 1.41421, -8.52533e-13, 0, 0, 0, 0, 0, 0, 0, 1.43375e-15, 0, 0, 6.43927e-18, 1.59809e-16, 0, 8.50933e-13, 0, 0
0.118223, 0, 1.4324e-12, 0, 1.41421, -1.4324e-12, 0, 0, 0, 0, 0, 0, 0, 2.40894e-15, 0, 0, 1.10519e-17, 2.77133e-16, 0, 1.4297e-12, 0, 0
0.125948, 0, 2.38937e-12, 0, 1.41421, -2.38937e-12, 0, 0, 0, 0, 0, 0, 0, 4.0183e-15, 0, 0, 1.88382e-17, 4.77536e-16, 0, 2.38485e-12, 0, 0
0.133674, 0, 3.95729e-12, 0, 1.41421, -3.95729e-12, 0, 0, 0, 0, 0, 0, 0, 6.65513e-15, 0, 0, 3.18924e-17, 8.17705e-16, 0, 3.94979e-12, 0, 0
0.1414, 0, 6.50793e-12, 0, 1.41421, -6.50793e-12, 0, 0, 0, 0, 0, 0, 0, 1.09446e-14, 0, 0, 5.36321e-17, 1.39154e-15, 0, 6.49554e-12, 0, 0
0.149126, 0, 1.06279e-11, 0, 1.41421, -1.06279e-11, 0, 0, 0, 0, 0, 0, 0, 1.78734e-14, 0, 0, 8.95977e-17, 2.35366e-15, 0, 1.06076e-11, 0, 0
0.156851, 0, 1.72361e-11, 0, 1.41421, -1.72361e-11, 0, 0, 0, 0, 0, 0, 0, 2.8987e-14, 0, 0, 1.48713e-16, 3.95725e-15, 0, 1.7203e-11, 0, 0
0.164577, 0, 2.77616e-11, 0, 1.41421, -2.77616e-11, 0, 0, 0, 0, 0, 0, 0, 4.66891e-14, 0, 0, 2.4526e-16, 6.61406e-15, 0, 2.77081e-11, 0, 0
