   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_75.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00879117, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000868044, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00705508, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0149782, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0229013, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0308244, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0387476, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0466707, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0545938, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0625169, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0704401, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0783632, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0862863, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0942094, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.102133, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.110056, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.117979, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.125902, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.133825, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.141748, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.149671, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.157594, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.165518, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.173441, 0, 2.19767e-29, 0, 1.41421, -2.19767e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78927e-32, 0, 0, 4.32628e-34, 3.19144e-35, 0, 2.19083e-29, 0, 0, 0
0.181364, 0, 2.65983e-28, 0, 1.41421, -2.65983e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.21691e-31, 0, 0, 5.23601e-33, 3.58239e-33, 0, 2.65152e-28, 0, 0, 0
0.189287, 0, 2.02101e-27, 0, 1.41421, -2.02101e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2434e-30, 0, 0, 3.97844e-32, 4.38179e-32, 0, 2.01469e-27, 0, 0, 0
0.19721, 0, 1.22577e-26, 0, 1.41421, -1.22577e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78668e-29, 0, 0, 2.41296e-31, 3.38661e-31, 0, 1.22193e-26, 0, 0, 0
0.205133, 0, 8.78568e-26, 0, 1.41421, -8.78568e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71407e-28, 0, 0, 1.73177e-30, 3.10611e-30, 0, 8.75805e-26, 0, 0, 0
0.213056, 0, 3.95435e-25, 0, 1.41421, -3.95435e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22157e-27, 0, 0, 7.80456e-30, 1.52249e-29, 0, 3.94191e-25, 0, 0, 0
0.220979, 0, 1.67208e-24, 0, 1.41421, -1.67208e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16537e-27, 0, 0, 3.30544e-29, 6.90257e-29, 0, 1.66681e-24, 0, 0, 0
0.228903, 0, 6.70665e-24, 0, 1.41421, -6.70665e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0718e-26, 0, 0, 1.32826e-28, 2.93737e-28, 0, 6.6855e-24, 0, 0, 0
0.236826, 0, 2.56927e-23, 0, 1.41421, -2.56927e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93689e-26, 0, 0, 5.09905e-28, 1.18493e-27, 0, 2.56116e-23, 0, 0, 0
0.244749, 0, 9.44939e-23, 0, 1.41421, -9.44939e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91907e-25, 0, 0, 1.87965e-27, 4.56333e-27, 0, 9.41956e-23, 0, 0, 0
0.252672, 0, 3.34979e-22, 0, 1.41421, -3.34979e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0348e-24, 0, 0, 6.67994e-27, 1.68658e-26, 0, 3.33921e-22, 0, 0, 0
0.260595, 0, 1.1482e-21, 0, 1.41421, -1.1482e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54695e-24, 0, 0, 2.29586e-26, 6.00663e-26, 0, 1.14457e-21, 0, 0, 0
0.268518, 0, 3.81518e-21, 0, 1.41421, -3.81518e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17856e-23, 0, 0, 7.65086e-26, 2.068e-25, 0, 3.80311e-21, 0, 0, 0
0.276441, 0, 1.23148e-20, 0, 1.41421, -1.23148e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80421e-23, 0, 0, 2.47735e-25, 6.90086e-25, 0, 1.22758e-20, 0, 0, 0
0.284364, 0, 3.86826e-20, 0, 1.41421, -3.86826e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19496e-22, 0, 0, 7.80802e-25, 2.23675e-24, 0, 3.85601e-20, 0, 0, 0
