   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_98.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.000532242, 0, 2.31985e-23, 0, 1.41421, -2.31985e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08741e-25, 0, 0, 1.44432e-28, 0, 1.25665e-25, 0, 2.2864e-23, 0, 0
0.00841639, 0, 6.0252e-23, 0, 1.41421, -6.0252e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42072e-25, 0, 0, 3.80776e-28, 0, 3.35018e-25, 0, 5.93745e-23, 0, 0
0.0163005, 0, 1.67917e-22, 0, 1.41421, -1.67917e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51038e-24, 0, 0, 1.08798e-27, 0, 9.69717e-25, 0, 1.65436e-22, 0, 0
0.0241847, 0, 4.12895e-22, 0, 1.41421, -4.12895e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71346e-24, 0, 0, 2.7145e-27, 0, 2.43517e-24, 0, 4.06744e-22, 0, 0
0.0320688, 0, 9.96813e-22, 0, 1.41421, -9.96813e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96396e-24, 0, 0, 6.64996e-27, 0, 5.99774e-24, 0, 9.81845e-22, 0, 0
0.039953, 0, 2.36778e-21, 0, 1.41421, -2.36778e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.129e-23, 0, 0, 1.60404e-26, 0, 1.45314e-23, 0, 2.33195e-21, 0, 0
0.0478371, 0, 5.53252e-21, 0, 1.41421, -5.53252e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97399e-23, 0, 0, 3.80599e-26, 0, 3.46046e-23, 0, 5.44814e-21, 0, 0
0.0557213, 0, 1.27277e-20, 0, 1.41421, -1.27277e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14415e-22, 0, 0, 8.89153e-26, 0, 8.10819e-23, 0, 1.25321e-20, 0, 0
0.0636054, 0, 2.88508e-20, 0, 1.41421, -2.88508e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59322e-22, 0, 0, 2.04687e-25, 0, 1.87098e-22, 0, 2.84042e-20, 0, 0
0.0714896, 0, 6.44822e-20, 0, 1.41421, -6.44822e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79523e-22, 0, 0, 4.64632e-25, 0, 4.25512e-22, 0, 6.34767e-20, 0, 0
0.0793737, 0, 1.42184e-19, 0, 1.41421, -1.42184e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27771e-21, 0, 0, 1.04063e-24, 0, 9.5443e-22, 0, 1.39951e-19, 0, 0
0.0872578, 0, 3.09468e-19, 0, 1.41421, -3.09468e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78066e-21, 0, 0, 2.30081e-24, 0, 2.11266e-21, 0, 3.04573e-19, 0, 0
0.095142, 0, 6.65174e-19, 0, 1.41421, -6.65174e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97608e-21, 0, 0, 5.02426e-24, 0, 4.61737e-21, 0, 6.54575e-19, 0, 0
0.103026, 0, 1.41249e-18, 0, 1.41421, -1.41249e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26887e-20, 0, 0, 1.08405e-23, 0, 9.96895e-21, 0, 1.38982e-18, 0, 0
0.11091, 0, 2.96434e-18, 0, 1.41421, -2.96434e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66261e-20, 0, 0, 2.31199e-23, 0, 2.12706e-20, 0, 2.91642e-18, 0, 0
0.118794, 0, 6.15046e-18, 0, 1.41421, -6.15046e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52375e-20, 0, 0, 4.87556e-23, 0, 4.48697e-20, 0, 6.0503e-18, 0, 0
0.126679, 0, 1.26198e-17, 0, 1.41421, -1.26198e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13325e-19, 0, 0, 1.01696e-22, 0, 9.36103e-20, 0, 1.24127e-17, 0, 0
0.134563, 0, 2.56142e-17, 0, 1.41421, -2.56142e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29985e-19, 0, 0, 2.09871e-22, 0, 1.93212e-19, 0, 2.51908e-17, 0, 0
0.142447, 0, 5.14404e-17, 0, 1.41421, -5.14404e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61812e-19, 0, 0, 4.28631e-22, 0, 3.94655e-19, 0, 5.05835e-17, 0, 0
0.150331, 0, 1.0224e-16, 0, 1.41421, -1.0224e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.17749e-19, 0, 0, 8.66573e-22, 0, 7.97981e-19, 0, 1.00523e-16, 0, 0
0.158215, 0, 2.01152e-16, 0, 1.41421, -2.01152e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80537e-18, 0, 0, 1.73467e-21, 0, 1.59763e-18, 0, 1.97747e-16, 0, 0
0.166099, 0, 3.91829e-16, 0, 1.41421, -3.91829e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51622e-18, 0, 0, 3.43885e-21, 0, 3.16793e-18, 0, 3.85142e-16, 0, 0
0.173983, 0, 7.55823e-16, 0, 1.41421, -7.55823e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78163e-18, 0, 0, 6.75269e-21, 0, 6.22288e-18, 0, 7.42811e-16, 0, 0
0.181868, 0, 1.44399e-15, 0, 1.41421, -1.44399e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29542e-17, 0, 0, 1.31368e-20, 0, 1.21121e-17, 0, 1.41892e-15, 0, 0
0.189752, 0, 2.73275e-15, 0, 1.41421, -2.73275e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45117e-17, 0, 0, 2.53237e-20, 0, 2.33639e-17, 0, 2.68485e-15, 0, 0
0.197636, 0, 5.12372e-15, 0, 1.41421, -5.12372e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59498e-17, 0, 0, 4.83791e-20, 0, 4.46743e-17, 0, 5.03305e-15, 0, 0
0.20552, 0, 9.51873e-15, 0, 1.41421, -9.51873e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5349e-17, 0, 0, 9.16106e-20, 0, 8.46905e-17, 0, 9.3486e-15, 0, 0
0.213404, 0, 1.7524e-14, 0, 1.41421, -1.7524e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57097e-16, 0, 0, 1.71979e-19, 0, 1.59204e-16, 0, 1.72075e-14, 0, 0
0.221288, 0, 3.19738e-14, 0, 1.41421, -3.19738e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86578e-16, 0, 0, 3.20112e-19, 0, 2.96813e-16, 0, 3.13901e-14, 0, 0
0.229172, 0, 5.78241e-14, 0, 1.41421, -5.78241e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18162e-16, 0, 0, 5.90872e-19, 0, 5.48901e-16, 0, 5.67565e-14, 0, 0
0.237057, 0, 1.03661e-13, 0, 1.41421, -1.03661e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28701e-16, 0, 0, 1.0817e-18, 0, 1.00705e-15, 0, 1.01724e-13, 0, 0
0.244941, 0, 1.84227e-13, 0, 1.41421, -1.84227e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65011e-15, 0, 0, 1.96432e-18, 0, 1.83322e-15, 0, 1.80742e-13, 0, 0
0.252825, 0, 3.24605e-13, 0, 1.41421, -3.24605e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90674e-15, 0, 0, 3.5389e-18, 0, 3.31168e-15, 0, 3.18383e-13, 0, 0
0.260709, 0, 5.67093e-13, 0, 1.41421, -5.67093e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.07683e-15, 0, 0, 6.32634e-18, 0, 5.93814e-15, 0, 5.56072e-13, 0, 0
0.268593, 0, 9.82378e-13, 0, 1.41421, -9.82378e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.79223e-15, 0, 0, 1.12238e-17, 0, 1.05698e-14, 0, 9.63005e-13, 0, 0
0.276477, 0, 1.68755e-12, 0, 1.41421, -1.68755e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50992e-14, 0, 0, 1.97658e-17, 0, 1.86796e-14, 0, 1.65375e-12, 0, 0
0.284361, 0, 2.87481e-12, 0, 1.41421, -2.87481e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57145e-14, 0, 0, 3.45595e-17, 0, 3.27811e-14, 0, 2.81628e-12, 0, 0
0.292246, 0, 4.857e-12, 0, 1.41421, -4.857e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34315e-14, 0, 0, 6.00081e-17, 0, 5.71374e-14, 0, 4.75637e-12, 0, 0
0.30013, 0, 8.13866e-12, 0, 1.41421, -8.13866e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27531e-14, 0, 0, 1.03506e-16, 0, 9.89335e-14, 0, 7.96687e-12, 0, 0
0.308014, 0, 1.35265e-11, 0, 1.41421, -1.35265e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20877e-13, 0, 0, 1.77403e-16, 0, 1.70211e-13, 0, 1.32352e-11, 0, 0
0.315898, 0, 2.22992e-11, 0, 1.41421, -2.22992e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99207e-13, 0, 0, 3.02237e-16, 0, 2.91046e-13, 0, 2.18087e-11, 0, 0
0.323782, 0, 3.64659e-11, 7.28675e-44, 1.41421, -3.64659e-11, 7.28675e-44, 0, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 3.25653e-13, 7.28675e-44, 7.28675e-44, 5.12024e-16, 7.28675e-44, 4.94748e-13, 7.28675e-44, 3.5645e-11, 7.28675e-44, 7.28675e-44
0.331666, 0, 5.91563e-11, 1.27658e-42, 1.41421, -5.91563e-11, 1.27658e-42, 0, 1.27658e-42, 1.27658e-42, 1.27658e-42, 1.27658e-42, 1.27658e-42, 1.27658e-42, 1.27658e-42, 1.27658e-42, 1.27658e-42, 1.27658e-42, 5.28107e-13, 1.27658e-42, 1.27658e-42, 8.62925e-16, 1.27658e-42, 8.36349e-13, 1.27658e-42, 5.7791e-11, 1.27658e-42, 1.27658e-42
0.33955, 0, 9.52252e-11, 9.83698e-41, 1.41421, -9.52252e-11, 9.83698e-41, 0, 9.83698e-41, 9.83698e-41, 9.83698e-41, 9.83698e-41, 9.83698e-41, 9.83698e-41, 9.83698e-41, 9.83698e-41, 9.83698e-41, 9.83698e-41, 8.49818e-13, 9.83698e-41, 9.83698e-41, 1.45024e-15, 9.83698e-41, 1.40889e-12, 9.83698e-41, 9.29651e-11, 9.83698e-41, 9.83698e-41
0.347435, 0, 1.52038e-10, 1.14132e-39, 1.41421, -1.52038e-10, 1.14132e-39, 0, 1.14132e-39, 1.14132e-39, 1.14132e-39, 1.14132e-39, 1.14132e-39, 1.14132e-39, 1.14132e-39, 1.14132e-39, 1.14132e-39, 1.14132e-39, 1.35637e-12, 1.14132e-39, 1.14132e-39, 2.42223e-15, 1.14132e-39, 2.35776e-12, 1.14132e-39, 1.48321e-10, 1.14132e-39, 1.14132e-39
