   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_185.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.233817, 0, 1.9979e-10, 0, 1.41421, -1.9979e-10, 0, 0, 0, 0, 0, 0, 0, 0, 3.66347e-13, 0, 0, 1.95672e-15, 5.00563e-14, 0, 1.99371e-10, 0, 0
0.241598, 0, 3.16901e-10, 0, 1.41421, -3.16901e-10, 0, 0, 0, 0, 0, 0, 0, 0, 5.81145e-13, 0, 0, 3.19197e-15, 8.25827e-14, 0, 3.16234e-10, 0, 0
0.249379, 0, 4.99193e-10, 0, 1.41421, -4.99193e-10, 0, 0, 0, 0, 0, 0, 0, 0, 9.15555e-13, 0, 0, 5.17785e-15, 1.35509e-13, 0, 4.98136e-10, 0, 0
0.25716, 0, 7.80955e-10, 0, 1.41421, -7.80955e-10, 0, 0, 0, 0, 0, 0, 0, 0, 1.43256e-12, 0, 0, 8.3542e-15, 2.21187e-13, 0, 7.79293e-10, 0, 0
0.264941, 0, 1.21344e-09, 0, 1.41421, -1.21344e-09, 0, 0, 0, 0, 0, 0, 0, 0, 2.22635e-12, 0, 0, 1.34104e-14, 3.59197e-13, 0, 1.21084e-09, 0, 0
0.272721, 0, 1.87268e-09, 0, 1.41421, -1.87268e-09, 0, 0, 0, 0, 0, 0, 0, 0, 3.43676e-12, 0, 0, 2.14234e-14, 5.80449e-13, 0, 1.86864e-09, 0, 0
0.280502, 0, 2.87066e-09, 0, 1.41421, -2.87066e-09, 0, 0, 0, 0, 0, 0, 0, 0, 5.26994e-12, 0, 0, 3.4071e-14, 9.33539e-13, 0, 2.86442e-09, 0, 0
0.288283, 0, 4.37108e-09, 1.01454e-42, 1.41421, -4.37108e-09, 0, 1.01454e-42, 1.01454e-42, 1.01454e-42, 1.01454e-42, 1.01454e-42, 1.01454e-42, 1.01454e-42, 8.02757e-12, 1.01454e-42, 1.01454e-42, 5.39613e-14, 1.49459e-12, 1.01454e-42, 4.3615e-09, 1.01454e-42, 1.01454e-42
0.296064, 0, 6.61157e-09, 1.68688e-41, 1.41421, -6.61157e-09, 0, 1.68688e-41, 1.68688e-41, 1.68688e-41, 1.68688e-41, 1.68688e-41, 1.68688e-41, 1.68688e-41, 1.21482e-11, 1.68688e-41, 1.68688e-41, 8.51431e-14, 2.38244e-12, 1.68688e-41, 6.59695e-09, 1.68688e-41, 1.68688e-41
0.303845, 0, 9.93455e-09, 2.37138e-40, 1.41421, -9.93455e-09, 0, 2.37138e-40, 2.37138e-40, 2.37138e-40, 2.37138e-40, 2.37138e-40, 2.37138e-40, 2.37138e-40, 1.82646e-11, 2.37138e-40, 2.37138e-40, 1.33894e-13, 3.78209e-12, 2.37138e-40, 9.91237e-09, 2.37138e-40, 2.37138e-40
0.311626, 0, 1.48299e-08, 2.95537e-39, 1.41421, -1.48299e-08, 0, 2.95537e-39, 2.95537e-39, 2.95537e-39, 2.95537e-39, 2.95537e-39, 2.95537e-39, 2.95537e-39, 2.72842e-11, 2.95537e-39, 2.95537e-39, 2.09944e-13, 5.98065e-12, 2.95537e-39, 1.47964e-08, 2.95537e-39, 2.95537e-39
0.319407, 0, 2.19935e-08, 3.31135e-38, 1.41421, -2.19935e-08, 0, 3.31135e-38, 3.31135e-38, 3.31135e-38, 3.31135e-38, 3.31135e-38, 3.31135e-38, 3.31135e-38, 4.04987e-11, 3.31135e-38, 3.31135e-38, 3.28375e-13, 9.42273e-12, 3.31135e-38, 2.19432e-08, 3.31135e-38, 3.31135e-38
0.327188, 0, 3.24067e-08, 3.35731e-37, 1.41421, -3.24067e-08, 0, 3.35731e-37, 3.35731e-37, 3.35731e-37, 3.35731e-37, 3.35731e-37, 3.35731e-37, 3.35731e-37, 5.97352e-11, 3.35731e-37, 3.35731e-37, 5.12565e-13, 1.47952e-11, 3.35731e-37, 3.23317e-08, 3.35731e-37, 3.35731e-37
0.334969, 0, 4.74439e-08, 3.09641e-36, 1.41421, -4.74439e-08, 0, 3.09641e-36, 3.09641e-36, 3.09641e-36, 3.09641e-36, 3.09641e-36, 3.09641e-36, 3.09641e-36, 8.75611e-11, 3.09641e-36, 3.09641e-36, 7.98784e-13, 2.31572e-11, 3.09641e-36, 4.73324e-08, 3.09641e-36, 3.09641e-36
