   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_3.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.00381138, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.011706, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0196006, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0274952, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0353898, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0432843, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0511789, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0590735, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0669681, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0748627, 0, 3.49764e-30, 0, 1.41421, -3.49764e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40702e-33, 0, 0, 4.77805e-35, 9.17986e-36, 0, 3.49317e-30, 0, 0
0.0827573, 0, 3.83257e-29, 0, 1.41421, -3.83257e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82887e-32, 0, 0, 5.23541e-34, 1.39351e-33, 0, 3.82755e-29, 0, 0
0.0906519, 0, 2.63597e-28, 0, 1.41421, -2.63597e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32113e-31, 0, 0, 3.60074e-33, 1.51907e-32, 0, 2.63246e-28, 0, 0
0.0985465, 0, 1.44907e-27, 0, 1.41421, -1.44907e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82569e-30, 0, 0, 1.9794e-32, 1.04957e-31, 0, 1.44712e-27, 0, 0
0.106441, 0, 6.93767e-27, 0, 1.41421, -6.93767e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.74075e-30, 0, 0, 9.488e-32, 5.79646e-31, 0, 6.92825e-27, 0, 0
0.114336, 0, 3.01449e-26, 0, 1.41421, -3.01449e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79791e-29, 0, 0, 4.13245e-31, 2.78565e-30, 0, 3.01037e-26, 0, 0
0.12223, 0, 1.2166e-25, 0, 1.41421, -1.2166e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53276e-28, 0, 0, 1.67324e-30, 1.21404e-29, 0, 1.21493e-25, 0, 0
0.130125, 0, 4.62668e-25, 0, 1.41421, -4.62668e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82901e-28, 0, 0, 6.38807e-30, 4.91205e-29, 0, 4.6203e-25, 0, 0
0.138019, 0, 1.67405e-24, 0, 1.41421, -1.67405e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10907e-27, 0, 0, 2.32145e-29, 1.87219e-28, 0, 1.67173e-24, 0, 0
0.145914, 0, 5.80245e-24, 0, 1.41421, -5.80245e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.31025e-27, 0, 0, 8.08448e-29, 6.78771e-28, 0, 5.79438e-24, 0, 0
0.153809, 0, 1.93642e-23, 0, 1.41421, -1.93642e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4396e-26, 0, 0, 2.71164e-28, 2.35713e-27, 0, 1.93372e-23, 0, 0
0.161703, 0, 6.24625e-23, 0, 1.41421, -6.24625e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8693e-26, 0, 0, 8.79378e-28, 7.88048e-27, 0, 6.23751e-23, 0, 0
0.169598, 0, 1.95347e-22, 0, 1.41421, -1.95347e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46105e-25, 0, 0, 2.76576e-27, 2.54644e-26, 0, 1.95073e-22, 0, 0
0.177492, 0, 5.93798e-22, 0, 1.41421, -5.93798e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48086e-25, 0, 0, 8.45714e-27, 7.97765e-26, 0, 5.92962e-22, 0, 0
0.185387, 0, 1.75794e-21, 0, 1.41421, -1.75794e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2147e-24, 0, 0, 2.51938e-26, 2.42922e-25, 0, 1.75546e-21, 0, 0
0.193282, 0, 5.07744e-21, 0, 1.41421, -5.07744e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39668e-24, 0, 0, 7.32435e-26, 7.2045e-25, 0, 5.07025e-21, 0, 0
0.201176, 0, 1.43281e-20, 0, 1.41421, -1.43281e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80508e-23, 0, 0, 2.08104e-25, 2.08468e-24, 0, 1.43078e-20, 0, 0
0.209071, 0, 3.95525e-20, 0, 1.41421, -3.95525e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98287e-23, 0, 0, 5.78588e-25, 5.89402e-24, 0, 3.94962e-20, 0, 0
0.216965, 0, 1.0692e-19, 0, 1.41421, -1.0692e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34698e-22, 0, 0, 1.57579e-24, 1.63027e-23, 0, 1.06767e-19, 0, 0
0.22486, 0, 2.83298e-19, 0, 1.41421, -2.83298e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.569e-22, 0, 0, 4.20801e-24, 4.41625e-23, 0, 2.82893e-19, 0, 0
