   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_32.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00451724, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00339473, 0, 4.8891e-26, 0, 1.41421, -4.8891e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52752e-28, 0, 0, 7.39931e-31, 7.25526e-30, 0, 4.86302e-26, 0, 0
0.0113067, 0, 1.54813e-25, 0, 1.41421, -1.54813e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.00331e-28, 0, 0, 2.36101e-30, 2.42863e-29, 0, 1.53986e-25, 0, 0
0.0192187, 0, 4.6928e-25, 0, 1.41421, -4.6928e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.426e-27, 0, 0, 7.21583e-30, 7.71032e-29, 0, 4.6677e-25, 0, 0
0.0271306, 0, 1.37092e-24, 0, 1.41421, -1.37092e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08705e-27, 0, 0, 2.12607e-29, 2.3437e-28, 0, 1.36357e-24, 0, 0
0.0350426, 0, 3.87858e-24, 0, 1.41421, -3.87858e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00505e-26, 0, 0, 6.06816e-29, 6.86649e-28, 0, 3.85778e-24, 0, 0
0.0429546, 0, 1.06666e-23, 0, 1.41421, -1.06666e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51413e-26, 0, 0, 1.68387e-28, 1.94843e-27, 0, 1.06094e-23, 0, 0
0.0508665, 0, 2.85979e-23, 0, 1.41421, -2.85979e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47836e-25, 0, 0, 4.55603e-28, 5.3748e-27, 0, 2.84442e-23, 0, 0
0.0587785, 0, 7.49197e-23, 0, 1.41421, -7.49197e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87294e-25, 0, 0, 1.20473e-27, 1.44551e-26, 0, 7.45167e-23, 0, 0
0.0666905, 0, 1.92149e-22, 0, 1.41421, -1.92149e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.933e-25, 0, 0, 3.11922e-27, 3.79906e-26, 0, 1.91114e-22, 0, 0
