   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_194.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.19375, 0, 2.55025e-20, 0, 1.41421, -2.55025e-20, 0, 0, 0, 0, 0, 0, 0, 0, 7.9149e-23, 0, 0, 5.42098e-26, 4.52952e-24, 0, 2.54187e-20, 0, 0
0.201976, 0, 7.72007e-20, 0, 1.41421, -7.72007e-20, 0, 0, 0, 0, 0, 0, 0, 0, 2.39597e-22, 0, 0, 1.6521e-25, 1.40947e-23, 0, 7.69468e-20, 0, 0
0.210201, 0, 2.27958e-19, 0, 1.41421, -2.27958e-19, 0, 0, 0, 0, 0, 0, 0, 0, 7.07479e-22, 0, 0, 4.91267e-25, 4.27126e-23, 0, 2.27207e-19, 0, 0
0.218426, 0, 6.57518e-19, 0, 1.41421, -6.57518e-19, 0, 0, 0, 0, 0, 0, 0, 0, 2.04063e-21, 0, 0, 1.42744e-24, 1.26268e-22, 0, 6.55349e-19, 0, 0
0.226652, 0, 1.85487e-18, 0, 1.41421, -1.85487e-18, 0, 0, 0, 0, 0, 0, 0, 0, 5.75665e-21, 0, 0, 4.05782e-24, 3.64672e-22, 0, 1.84875e-18, 0, 0
0.234877, 0, 5.12305e-18, 0, 1.41421, -5.12305e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.58995e-20, 0, 0, 1.12975e-23, 1.03018e-21, 0, 5.10611e-18, 0, 0
0.243103, 0, 1.38658e-17, 0, 1.41421, -1.38658e-17, 0, 0, 0, 0, 0, 0, 0, 0, 4.30325e-20, 0, 0, 3.0834e-23, 2.84962e-21, 0, 1.38199e-17, 0, 0
0.251328, 0, 3.68071e-17, 0, 1.41421, -3.68071e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.1423e-19, 0, 0, 8.25731e-23, 7.72649e-21, 0, 3.66851e-17, 0, 0
0.259554, 0, 9.58867e-17, 0, 1.41421, -9.58867e-17, 0, 0, 0, 0, 0, 0, 0, 0, 2.97581e-19, 0, 0, 2.17099e-22, 2.05486e-20, 0, 9.55684e-17, 0, 0
0.267779, 0, 2.45294e-16, 0, 1.41421, -2.45294e-16, 0, 0, 0, 0, 0, 0, 0, 0, 7.61259e-19, 0, 0, 5.60741e-22, 5.36405e-20, 0, 2.44479e-16, 0, 0
0.276005, 0, 6.16523e-16, 0, 1.41421, -6.16523e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.91334e-18, 0, 0, 1.42361e-21, 1.37526e-19, 0, 6.14471e-16, 0, 0
0.28423, 0, 1.52318e-15, 0, 1.41421, -1.52318e-15, 0, 0, 0, 0, 0, 0, 0, 0, 4.72704e-18, 0, 0, 3.55438e-21, 3.46496e-19, 0, 1.5181e-15, 0, 0
0.292455, 0, 3.70057e-15, 0, 1.41421, -3.70057e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.14843e-17, 0, 0, 8.7311e-21, 8.58305e-19, 0, 3.68822e-15, 0, 0
0.300681, 0, 8.84427e-15, 0, 1.41421, -8.84427e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.74469e-17, 0, 0, 2.11094e-20, 2.09124e-18, 0, 8.81471e-15, 0, 0
0.308906, 0, 2.08005e-14, 0, 1.41421, -2.08005e-14, 0, 0, 0, 0, 0, 0, 0, 0, 6.45505e-17, 0, 0, 5.02505e-20, 5.01362e-18, 0, 2.07309e-14, 0, 0
0.317132, 0, 4.81535e-14, 0, 1.41421, -4.81535e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.49433e-16, 0, 0, 1.17815e-19, 1.18314e-17, 0, 4.79921e-14, 0, 0
0.325357, 0, 1.09758e-13, 0, 1.41421, -1.09758e-13, 0, 0, 0, 0, 0, 0, 0, 0, 3.40602e-16, 0, 0, 2.72131e-19, 2.74913e-17, 0, 1.09389e-13, 0, 0
0.333583, 0, 2.46374e-13, 0, 1.41421, -2.46374e-13, 0, 0, 0, 0, 0, 0, 0, 0, 7.64539e-16, 0, 0, 6.19473e-19, 6.29152e-17, 0, 2.45546e-13, 0, 0
0.341808, 0, 5.44746e-13, 0, 1.41421, -5.44746e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.6904e-15, 0, 0, 1.3901e-18, 1.4185e-16, 0, 5.42912e-13, 0, 0
0.350033, 0, 1.18663e-12, 0, 1.41421, -1.18663e-12, 0, 0, 0, 0, 0, 0, 0, 0, 3.68217e-15, 0, 0, 3.07591e-18, 3.15157e-16, 0, 1.18263e-12, 0, 0
0.358259, 0, 2.54698e-12, 0, 1.41421, -2.54698e-12, 0, 0, 0, 0, 0, 0, 0, 0, 7.90328e-15, 0, 0, 6.71325e-18, 6.90159e-16, 0, 2.53838e-12, 0, 0
0.366484, 0, 5.38759e-12, 0, 1.41421, -5.38759e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.67175e-14, 0, 0, 1.44565e-17, 1.49003e-15, 0, 5.36937e-12, 0, 0
0.37471, 0, 1.12325e-11, 0, 1.41421, -1.12325e-11, 0, 0, 0, 0, 0, 0, 0, 0, 3.48539e-14, 0, 0, 3.07269e-17, 3.17223e-15, 0, 1.11945e-11, 0, 0
0.382935, 0, 2.30849e-11, 3.72745e-43, 1.41421, -2.30849e-11, 3.72745e-43, 0, 3.72745e-43, 3.72745e-43, 3.72745e-43, 3.72745e-43, 3.72745e-43, 3.72745e-43, 7.16317e-14, 3.72745e-43, 3.72745e-43, 6.44879e-17, 6.66149e-15, 3.72745e-43, 2.30065e-11, 3.72745e-43, 3.72745e-43
0.391161, 0, 4.67728e-11, 7.98039e-42, 1.41421, -4.67728e-11, 7.98039e-42, 0, 7.98039e-42, 7.98039e-42, 7.98039e-42, 7.98039e-42, 7.98039e-42, 7.98039e-42, 1.45139e-13, 7.98039e-42, 7.98039e-42, 1.33706e-16, 1.38012e-14, 7.98039e-42, 4.66137e-11, 7.98039e-42, 7.98039e-42
0.399386, 0, 9.34369e-11, 1.36125e-40, 1.41421, -9.34369e-11, 1.36125e-40, 0, 1.36125e-40, 1.36125e-40, 1.36125e-40, 1.36125e-40, 1.36125e-40, 1.36125e-40, 2.89957e-13, 1.36125e-40, 1.36125e-40, 2.74018e-16, 2.82175e-14, 1.36125e-40, 9.31185e-11, 1.36125e-40, 1.36125e-40
0.407612, 0, 1.84055e-10, 2.0226e-39, 1.41421, -1.84055e-10, 2.0226e-39, 0, 2.0226e-39, 2.0226e-39, 2.0226e-39, 2.0226e-39, 2.0226e-39, 2.0226e-39, 5.71226e-13, 2.0226e-39, 2.0226e-39, 5.55469e-16, 5.69534e-14, 2.0226e-39, 1.83426e-10, 2.0226e-39, 2.0226e-39
0.415837, 0, 3.57533e-10, 2.66393e-38, 1.41421, -3.57533e-10, 2.66393e-38, 0, 2.66393e-38, 2.66393e-38, 2.66393e-38, 2.66393e-38, 2.66393e-38, 2.66393e-38, 1.10981e-12, 2.66393e-38, 2.66393e-38, 1.11463e-15, 1.13521e-13, 2.66393e-38, 3.56309e-10, 2.66393e-38, 2.66393e-38
0.424062, 0, 6.8496e-10, 3.1372e-37, 1.41421, -6.8496e-10, 3.1372e-37, 0, 3.1372e-37, 3.1372e-37, 3.1372e-37, 3.1372e-37, 3.1372e-37, 3.1372e-37, 2.12669e-12, 3.1372e-37, 3.1372e-37, 2.21615e-15, 2.23556e-13, 3.1372e-37, 6.82607e-10, 3.1372e-37, 3.1372e-37
0.432288, 0, 1.29428e-09, 3.32488e-36, 1.41421, -1.29428e-09, 3.32488e-36, 0, 3.32488e-36, 3.32488e-36, 3.32488e-36, 3.32488e-36, 3.32488e-36, 3.32488e-36, 4.02e-12, 3.32488e-36, 3.32488e-36, 4.37036e-15, 4.35202e-13, 3.32488e-36, 1.28982e-09, 3.32488e-36, 3.32488e-36
0.440513, 0, 2.41236e-09, 3.19083e-35, 1.41421, -2.41236e-09, 3.19083e-35, 0, 3.19083e-35, 3.19083e-35, 3.19083e-35, 3.19083e-35, 3.19083e-35, 3.19083e-35, 7.49656e-12, 3.19083e-35, 3.19083e-35, 8.55853e-15, 8.38084e-13, 3.19083e-35, 2.40402e-09, 3.19083e-35, 3.19083e-35
0.448739, 0, 4.43546e-09, 2.7889e-34, 1.41421, -4.43546e-09, 2.7889e-34, 0, 2.7889e-34, 2.7889e-34, 2.7889e-34, 2.7889e-34, 2.7889e-34, 2.7889e-34, 1.37932e-11, 2.7889e-34, 2.7889e-34, 1.66646e-14, 1.59787e-12, 2.7889e-34, 4.42005e-09, 2.7889e-34, 2.7889e-34
0.456964, 0, 8.04561e-09, 2.23233e-33, 1.41421, -8.04561e-09, 2.23233e-33, 0, 2.23233e-33, 2.23233e-33, 2.23233e-33, 2.23233e-33, 2.23233e-33, 2.23233e-33, 2.50438e-11, 2.23233e-33, 2.23233e-33, 3.23063e-14, 3.01935e-12, 2.23233e-33, 8.01752e-09, 2.23233e-33, 2.23233e-33
0.46519, 0, 1.43991e-08, 1.69273e-32, 1.41421, -1.43991e-08, 1.69273e-32, 0, 1.69273e-32, 1.69273e-32, 1.69273e-32, 1.69273e-32, 1.69273e-32, 1.69273e-32, 4.48778e-11, 1.69273e-32, 1.69273e-32, 6.24352e-14, 5.66179e-12, 1.69273e-32, 1.43485e-08, 1.69273e-32, 1.69273e-32
0.473415, 0, 2.54278e-08, 1.24654e-31, 1.41421, -2.54278e-08, 1.24654e-31, 0, 1.24654e-31, 1.24654e-31, 1.24654e-31, 1.24654e-31, 1.24654e-31, 1.24654e-31, 7.93844e-11, 1.24654e-31, 1.24654e-31, 1.20428e-13, 1.05517e-11, 1.24654e-31, 2.53377e-08, 1.24654e-31, 1.24654e-31
0.481641, 0, 4.43118e-08, 8.64135e-31, 1.41421, -4.43118e-08, 8.64135e-31, 0, 8.64135e-31, 8.64135e-31, 8.64135e-31, 8.64135e-31, 8.64135e-31, 8.64135e-31, 1.38642e-10, 8.64135e-31, 8.64135e-31, 2.32048e-13, 1.9578e-11, 8.64135e-31, 4.41533e-08, 8.64135e-31, 8.64135e-31
0.489866, 0, 7.62125e-08, 1.06437e-29, 1.41421, -7.62125e-08, 1.06437e-29, 0, 1.06437e-29, 1.06437e-29, 1.06437e-29, 1.06437e-29, 1.06437e-29, 1.06437e-29, 2.39128e-10, 1.06437e-29, 1.06437e-29, 4.4753e-13, 3.62926e-11, 1.06437e-29, 7.59366e-08, 1.06437e-29, 1.06437e-29
0.498091, 0, 1.29373e-07, 6.03667e-29, 1.41421, -1.29373e-07, 6.03667e-29, 0, 6.03667e-29, 6.03667e-29, 6.03667e-29, 6.03667e-29, 6.03667e-29, 6.03667e-29, 4.07371e-10, 6.03667e-29, 6.03667e-29, 8.61527e-13, 6.71329e-11, 6.03667e-29, 1.28897e-07, 6.03667e-29, 6.03667e-29
0.506317, 0, 2.16789e-07, 3.21277e-28, 1.41421, -2.16789e-07, 3.21277e-28, 0, 3.21277e-28, 3.21277e-28, 3.21277e-28, 3.21277e-28, 3.21277e-28, 3.21277e-28, 6.85681e-10, 3.21277e-28, 3.21277e-28, 1.65752e-12, 1.24345e-10, 3.21277e-28, 2.15977e-07, 3.21277e-28, 3.21277e-28
0.514542, 0, 3.58647e-07, 1.61018e-27, 1.41421, -3.58647e-07, 1.61018e-27, 0, 1.61018e-27, 1.61018e-27, 1.61018e-27, 1.61018e-27, 1.61018e-27, 1.61018e-27, 1.14065e-09, 1.61018e-27, 1.61018e-27, 3.18479e-12, 2.30992e-10, 1.61018e-27, 3.57272e-07, 1.61018e-27, 1.61018e-27
0.522768, 0, 5.85858e-07, 7.6257e-27, 1.41421, -5.85858e-07, 7.6257e-27, 0, 7.6257e-27, 7.6257e-27, 7.6257e-27, 7.6257e-27, 7.6257e-27, 7.6257e-27, 1.87597e-09, 7.6257e-27, 7.6257e-27, 6.10487e-12, 4.30845e-10, 7.6257e-27, 5.83545e-07, 7.6257e-27, 7.6257e-27
