   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_116.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.000361193, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0075245, 0, 2.87623e-20, 0, 1.41421, -2.87623e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40077e-22, 0, 0, 3.23389e-26, 0, 7.53935e-22, 0, 2.77683e-20, 0, 0, 0
0.0154102, 0, 6.00934e-20, 0, 1.41421, -6.00934e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01367e-22, 0, 0, 6.85987e-26, 0, 1.60168e-21, 0, 5.79903e-20, 0, 0, 0
0.0232959, 0, 1.24167e-19, 0, 1.41421, -1.24167e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03547e-21, 0, 0, 1.43919e-25, 0, 3.36465e-21, 0, 1.19767e-19, 0, 0, 0
0.0311816, 0, 2.53826e-19, 0, 1.41421, -2.53826e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11576e-21, 0, 0, 2.9875e-25, 0, 6.99239e-21, 0, 2.44718e-19, 0, 0, 0
0.0390673, 0, 5.13535e-19, 0, 1.41421, -5.13535e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27854e-21, 0, 0, 6.13827e-25, 0, 1.43817e-20, 0, 4.94874e-19, 0, 0, 0
0.0469529, 0, 1.0286e-18, 0, 1.41421, -1.0286e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56568e-21, 0, 0, 1.24874e-24, 0, 2.92854e-20, 0, 9.90744e-19, 0, 0, 0
0.0548386, 0, 2.04027e-18, 0, 1.41421, -2.04027e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69821e-20, 0, 0, 2.51605e-24, 0, 5.90608e-20, 0, 1.96423e-18, 0, 0, 0
0.0627243, 0, 4.00882e-18, 0, 1.41421, -4.00882e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33505e-20, 0, 0, 5.02236e-24, 0, 1.18002e-19, 0, 3.85746e-18, 0, 0, 0
0.07061, 0, 7.80419e-18, 0, 1.41421, -7.80419e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48917e-20, 0, 0, 9.93441e-24, 0, 2.33633e-19, 0, 7.50566e-18, 0, 0, 0
0.0784957, 0, 1.50564e-17, 0, 1.41421, -1.50564e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25127e-19, 0, 0, 1.9477e-23, 0, 4.58515e-19, 0, 1.44727e-17, 0, 0, 0
0.0863814, 0, 2.87925e-17, 0, 1.41421, -2.87925e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3915e-19, 0, 0, 3.78564e-23, 0, 8.92175e-19, 0, 2.76612e-17, 0, 0, 0
0.0942671, 0, 5.45867e-17, 0, 1.41421, -5.45867e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53138e-19, 0, 0, 7.29588e-23, 0, 1.72155e-18, 0, 5.24119e-17, 0, 0, 0
0.102153, 0, 1.02616e-16, 0, 1.41421, -1.02616e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.51336e-19, 0, 0, 1.39451e-22, 0, 3.29508e-18, 0, 9.84692e-17, 0, 0, 0
0.110038, 0, 1.91305e-16, 0, 1.41421, -1.91305e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58616e-18, 0, 0, 2.64383e-22, 0, 6.25685e-18, 0, 1.83462e-16, 0, 0, 0
0.117924, 0, 3.53743e-16, 0, 1.41421, -3.53743e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93108e-18, 0, 0, 4.97255e-22, 0, 1.17887e-17, 0, 3.39022e-16, 0, 0, 0
0.12581, 0, 6.48861e-16, 0, 1.41421, -6.48861e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.37281e-18, 0, 0, 9.27938e-22, 0, 2.20431e-17, 0, 6.21444e-16, 0, 0, 0
0.133696, 0, 1.18078e-15, 0, 1.41421, -1.18078e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.7705e-18, 0, 0, 1.71834e-21, 0, 4.0911e-17, 0, 1.1301e-15, 0, 0, 0
0.141581, 0, 2.13204e-15, 0, 1.41421, -2.13204e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76288e-17, 0, 0, 3.15792e-21, 0, 7.53762e-17, 0, 2.03903e-15, 0, 0, 0
0.149467, 0, 3.82001e-15, 0, 1.41421, -3.82001e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15616e-17, 0, 0, 5.76026e-21, 0, 1.37883e-16, 0, 3.65056e-15, 0, 0, 0
0.157353, 0, 6.79242e-15, 0, 1.41421, -6.79242e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.60747e-17, 0, 0, 1.04299e-20, 0, 2.50456e-16, 0, 6.48588e-15, 0, 0, 0
0.165238, 0, 1.1987e-14, 0, 1.41421, -1.1987e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.88746e-17, 0, 0, 1.87487e-20, 0, 4.51801e-16, 0, 1.14363e-14, 0, 0, 0
0.173124, 0, 2.09972e-14, 0, 1.41421, -2.09972e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7304e-16, 0, 0, 3.34623e-20, 0, 8.09487e-16, 0, 2.00147e-14, 0, 0, 0
0.18101, 0, 3.65095e-14, 0, 1.41421, -3.65095e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00594e-16, 0, 0, 5.93033e-20, 0, 1.44068e-15, 0, 3.47682e-14, 0, 0, 0
0.188895, 0, 6.30197e-14, 0, 1.41421, -6.30197e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18344e-16, 0, 0, 1.04372e-19, 0, 2.54721e-15, 0, 5.9954e-14, 0, 0, 0
0.196781, 0, 1.07994e-13, 0, 1.41421, -1.07994e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.87327e-16, 0, 0, 1.82435e-19, 0, 4.47453e-15, 0, 1.02632e-13, 0, 0, 0
0.204667, 0, 1.8374e-13, 0, 1.41421, -1.8374e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50801e-15, 0, 0, 3.16739e-19, 0, 7.81015e-15, 0, 1.74421e-13, 0, 0, 0
0.212552, 0, 3.10393e-13, 0, 1.41421, -3.10393e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54449e-15, 0, 0, 5.4627e-19, 0, 1.35478e-14, 0, 2.943e-13, 0, 0, 0
0.220438, 0, 5.20656e-13, 0, 1.41421, -5.20656e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26281e-15, 0, 0, 9.36006e-19, 0, 2.33566e-14, 0, 4.93036e-13, 0, 0, 0
0.228324, 0, 8.67243e-13, 0, 1.41421, -8.67243e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.09102e-15, 0, 0, 1.59355e-18, 0, 4.00248e-14, 0, 8.20125e-13, 0, 0, 0
0.236209, 0, 1.43451e-12, 0, 1.41421, -1.43451e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17127e-14, 0, 0, 2.69604e-18, 0, 6.81829e-14, 0, 1.35461e-12, 0, 0, 0
0.244095, 0, 2.35647e-12, 0, 1.41421, -2.35647e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92116e-14, 0, 0, 4.53342e-18, 0, 1.15478e-13, 0, 2.22177e-12, 0, 0, 0
0.251981, 0, 3.84446e-12, 0, 1.41421, -3.84446e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12925e-14, 0, 0, 7.57789e-18, 0, 1.94475e-13, 0, 3.61869e-12, 0, 0, 0
0.259867, 0, 6.2294e-12, 0, 1.41421, -6.2294e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.06183e-14, 0, 0, 1.2594e-17, 0, 3.25706e-13, 0, 5.85306e-12, 0, 0, 0
0.267752, 0, 1.00257e-11, 0, 1.41421, -1.00257e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.13165e-14, 0, 0, 2.08145e-17, 0, 5.42563e-13, 0, 9.40176e-12, 0, 0, 0
0.275638, 0, 1.60272e-11, 0, 1.41421, -1.60272e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29739e-13, 0, 0, 3.42178e-17, 0, 8.99109e-13, 0, 1.49983e-11, 0, 0, 0
0.283524, 0, 2.5451e-11, 0, 1.41421, -2.5451e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05588e-13, 0, 0, 5.59673e-17, 0, 1.48249e-12, 0, 2.37628e-11, 0, 0, 0
0.291409, 0, 4.01492e-11, 0, 1.41421, -4.01492e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2358e-13, 0, 0, 9.11047e-17, 0, 2.43262e-12, 0, 3.73929e-11, 0, 0, 0
