   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_116.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.299295, 0, 6.29212e-11, 4.90454e-44, 1.41421, -6.29212e-11, 4.90454e-44, 0, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 5.05862e-13, 4.90454e-44, 4.90454e-44, 1.4764e-16, 4.90454e-44, 3.97335e-12, 4.90454e-44, 5.84418e-11, 4.90454e-44, 4.90454e-44, 4.90454e-44
0.307181, 0, 9.79707e-11, 8.66002e-43, 1.41421, -9.79707e-11, 8.66002e-43, 0, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 7.85542e-13, 8.66002e-43, 8.66002e-43, 2.38276e-16, 8.66002e-43, 6.46165e-12, 8.66002e-43, 9.07233e-11, 8.66002e-43, 8.66002e-43, 8.66002e-43
0.315066, 0, 1.51567e-10, 1.26789e-41, 1.41421, -1.51567e-10, 1.26789e-41, 0, 1.26789e-41, 1.26789e-41, 1.26789e-41, 1.26789e-41, 1.26789e-41, 1.26789e-41, 1.26789e-41, 1.26789e-41, 1.26789e-41, 1.21175e-12, 1.26789e-41, 1.26789e-41, 3.83116e-16, 1.26789e-41, 1.04652e-11, 1.26789e-41, 1.39889e-10, 1.26789e-41, 1.26789e-41, 1.26789e-41
0.322952, 0, 2.32998e-10, 1.6403e-40, 1.41421, -2.32998e-10, 1.6403e-40, 0, 1.6403e-40, 1.6403e-40, 1.6403e-40, 1.6403e-40, 1.6403e-40, 1.6403e-40, 1.6403e-40, 1.6403e-40, 1.6403e-40, 1.85684e-12, 1.6403e-40, 1.6403e-40, 6.13939e-16, 1.6403e-40, 1.68843e-11, 1.6403e-40, 2.14256e-10, 1.6403e-40, 1.6403e-40, 1.6403e-40
0.330838, 0, 3.55942e-10, 1.90066e-39, 1.41421, -3.55942e-10, 1.90066e-39, 0, 1.90066e-39, 1.90066e-39, 1.90066e-39, 1.90066e-39, 1.90066e-39, 1.90066e-39, 1.90066e-39, 1.90066e-39, 1.90066e-39, 2.82672e-12, 1.90066e-39, 1.90066e-39, 9.80958e-16, 1.90066e-39, 2.71445e-11, 1.90066e-39, 3.2597e-10, 1.90066e-39, 1.90066e-39, 1.90066e-39
0.338723, 0, 5.40416e-10, 1.98633e-38, 1.41421, -5.40416e-10, 1.98633e-38, 0, 1.98633e-38, 1.98633e-38, 1.98633e-38, 1.98633e-38, 1.98633e-38, 1.98633e-38, 1.98633e-38, 1.98633e-38, 1.98633e-38, 4.27517e-12, 1.98633e-38, 1.98633e-38, 1.56348e-15, 1.98633e-38, 4.34981e-11, 1.98633e-38, 4.92641e-10, 1.98633e-38, 1.98633e-38, 1.98633e-38
0.346609, 0, 8.15538e-10, 1.88222e-37, 1.41421, -8.15538e-10, 1.88222e-37, 0, 1.88222e-37, 1.88222e-37, 1.88222e-37, 1.88222e-37, 1.88222e-37, 1.88222e-37, 1.88222e-37, 1.88222e-37, 1.88222e-37, 6.42406e-12, 1.88222e-37, 1.88222e-37, 2.48679e-15, 1.88222e-37, 6.94998e-11, 1.88222e-37, 7.39612e-10, 1.88222e-37, 1.88222e-37, 1.88222e-37
0.354495, 0, 1.22344e-09, 1.62592e-36, 1.41421, -1.22344e-09, 1.62592e-36, 0, 1.62592e-36, 1.62592e-36, 1.62592e-36, 1.62592e-36, 1.62592e-36, 1.62592e-36, 1.62592e-36, 1.62592e-36, 1.62592e-36, 9.59131e-12, 1.62592e-36, 1.62592e-36, 3.94888e-15, 1.62592e-36, 1.10753e-10, 1.62592e-36, 1.10309e-09, 1.62592e-36, 1.62592e-36, 1.62592e-36
0.362381, 0, 1.82476e-09, 1.28693e-35, 1.41421, -1.82476e-09, 1.28693e-35, 0, 1.28693e-35, 1.28693e-35, 1.28693e-35, 1.28693e-35, 1.28693e-35, 1.28693e-35, 1.28693e-35, 1.28693e-35, 1.28693e-35, 1.42293e-11, 1.28693e-35, 1.28693e-35, 6.2628e-15, 1.28693e-35, 1.7608e-10, 1.28693e-35, 1.63444e-09, 1.28693e-35, 1.28693e-35, 1.28693e-35
0.370266, 0, 2.70633e-09, 9.37845e-35, 1.41421, -2.70633e-09, 9.37845e-35, 0, 9.37845e-35, 9.37845e-35, 9.37845e-35, 9.37845e-35, 9.37845e-35, 9.37845e-35, 9.37845e-35, 9.37845e-35, 9.37845e-35, 2.09775e-11, 9.37845e-35, 9.37845e-35, 9.92369e-15, 9.37845e-35, 2.79365e-10, 9.37845e-35, 2.40597e-09, 9.37845e-35, 9.37845e-35, 9.37845e-35
0.378152, 0, 3.99194e-09, 6.41443e-34, 1.41421, -3.99194e-09, 6.41443e-34, 0, 6.41443e-34, 6.41443e-34, 6.41443e-34, 6.41443e-34, 6.41443e-34, 6.41443e-34, 6.41443e-34, 6.41443e-34, 6.41443e-34, 3.07343e-11, 6.41443e-34, 6.41443e-34, 1.5715e-14, 6.41443e-34, 4.42429e-10, 6.41443e-34, 3.51876e-09, 6.41443e-34, 6.41443e-34, 6.41443e-34
0.386038, 0, 5.85743e-09, 4.34726e-33, 1.41421, -5.85743e-09, 4.34726e-33, 0, 4.34726e-33, 4.34726e-33, 4.34726e-33, 4.34726e-33, 4.34726e-33, 4.34726e-33, 4.34726e-33, 4.34726e-33, 4.34726e-33, 4.47531e-11, 4.34726e-33, 4.34726e-33, 2.48765e-14, 4.34726e-33, 6.99545e-10, 4.34726e-33, 5.11311e-09, 4.34726e-33, 4.34726e-33, 4.34726e-33
0.393923, 0, 8.55157e-09, 2.78634e-32, 1.41421, -8.55157e-09, 2.78634e-32, 0, 2.78634e-32, 2.78634e-32, 2.78634e-32, 2.78634e-32, 2.78634e-32, 2.78634e-32, 2.78634e-32, 2.78634e-32, 2.78634e-32, 6.47723e-11, 2.78634e-32, 2.78634e-32, 3.93686e-14, 2.78634e-32, 1.10446e-09, 2.78634e-32, 7.3823e-09, 2.78634e-32, 2.78634e-32, 2.78634e-32
0.401809, 0, 1.24254e-08, 1.6698e-31, 1.41421, -1.24254e-08, 1.6698e-31, 0, 1.6698e-31, 1.6698e-31, 1.6698e-31, 1.6698e-31, 1.6698e-31, 1.6698e-31, 1.6698e-31, 1.6698e-31, 1.6698e-31, 9.31879e-11, 1.6698e-31, 1.6698e-31, 6.22888e-14, 1.6698e-31, 1.74134e-09, 1.6698e-31, 1.05908e-08, 1.6698e-31, 1.6698e-31, 1.6698e-31
0.409695, 0, 1.79729e-08, 9.35153e-31, 1.41421, -1.79729e-08, 9.35153e-31, 0, 9.35153e-31, 9.35153e-31, 9.35153e-31, 9.35153e-31, 9.35153e-31, 9.35153e-31, 9.35153e-31, 9.35153e-31, 9.35153e-31, 1.33283e-10, 9.35153e-31, 9.35153e-31, 9.85245e-14, 9.35153e-31, 2.74171e-09, 9.35153e-31, 1.50978e-08, 9.35153e-31, 9.35153e-31, 9.35153e-31
0.41758, 0, 2.58882e-08, 4.90584e-30, 1.41421, -2.58882e-08, 4.90584e-30, 0, 4.90584e-30, 4.90584e-30, 4.90584e-30, 4.90584e-30, 4.90584e-30, 4.90584e-30, 4.90584e-30, 4.90584e-30, 4.90584e-30, 1.89532e-10, 4.90584e-30, 4.90584e-30, 1.5577e-13, 4.90584e-30, 4.31059e-09, 4.90584e-30, 2.13879e-08, 4.90584e-30, 4.90584e-30, 4.90584e-30
0.425466, 0, 3.71491e-08, 4.99394e-29, 1.41421, -3.71491e-08, 4.99394e-29, 0, 4.99394e-29, 4.99394e-29, 4.99394e-29, 4.99394e-29, 4.99394e-29, 4.99394e-29, 4.99394e-29, 4.99394e-29, 4.99394e-29, 2.67998e-10, 4.99394e-29, 4.99394e-29, 2.46313e-13, 4.99394e-29, 6.7704e-09, 4.99394e-29, 3.01104e-08, 4.99394e-29, 4.99394e-29, 4.99394e-29
0.433352, 0, 5.3113e-08, 2.19893e-28, 1.41421, -5.3113e-08, 2.19893e-28, 0, 2.19893e-28, 2.19893e-28, 2.19893e-28, 2.19893e-28, 2.19893e-28, 2.19893e-28, 2.19893e-28, 2.19893e-28, 2.19893e-28, 3.76835e-10, 2.19893e-28, 2.19893e-28, 3.88719e-13, 2.19893e-28, 1.06078e-08, 2.19893e-28, 4.2128e-08, 2.19893e-28, 2.19893e-28, 2.19893e-28
0.441237, 0, 7.56947e-08, 9.18325e-28, 1.41421, -7.56947e-08, 9.18325e-28, 0, 9.18325e-28, 9.18325e-28, 9.18325e-28, 9.18325e-28, 9.18325e-28, 9.18325e-28, 9.18325e-28, 9.18325e-28, 9.18325e-28, 5.26986e-10, 9.18325e-28, 9.18325e-28, 6.12606e-13, 9.18325e-28, 1.65857e-08, 9.18325e-28, 5.85813e-08, 9.18325e-28, 9.18325e-28, 9.18325e-28
0.449123, 0, 1.0757e-07, 3.64763e-27, 1.41421, -1.0757e-07, 3.64763e-27, 0, 3.64763e-27, 3.64763e-27, 3.64763e-27, 3.64763e-27, 3.64763e-27, 3.64763e-27, 3.64763e-27, 3.64763e-27, 3.64763e-27, 7.33035e-10, 3.64763e-27, 3.64763e-27, 9.63691e-13, 3.64763e-27, 2.58699e-08, 3.64763e-27, 8.09666e-08, 3.64763e-27, 3.64763e-27, 3.64763e-27
0.457009, 0, 1.52487e-07, 1.38168e-26, 1.41421, -1.52487e-07, 1.38168e-26, 0, 1.38168e-26, 1.38168e-26, 1.38168e-26, 1.38168e-26, 1.38168e-26, 5.69981e-14, 1.38168e-26, 1.38168e-26, 1.38168e-26, 1.01433e-09, 1.38168e-26, 1.38168e-26, 1.51256e-12, 1.38168e-26, 4.02375e-08, 1.38168e-26, 1.11233e-07, 1.38168e-26, 1.38168e-26, 1.38168e-26
0.464894, 0, 2.15685e-07, 5.00353e-26, 1.41421, -2.15685e-07, 5.00353e-26, 0, 5.00353e-26, 5.00353e-26, 5.00353e-26, 5.00353e-26, 5.00353e-26, 1.88309e-13, 5.00353e-26, 5.00353e-26, 5.00353e-26, 1.39638e-09, 5.00353e-26, 5.00353e-26, 2.36756e-12, 5.00353e-26, 6.23817e-08, 5.00353e-26, 1.51904e-07, 5.00353e-26, 5.00353e-26, 5.00353e-26
0.47278, 0, 3.04495e-07, 1.74684e-25, 1.41421, -3.04495e-07, 1.74684e-25, 0, 1.74684e-25, 1.74684e-25, 1.74684e-25, 1.74684e-25, 1.74684e-25, 4.83037e-13, 1.74684e-25, 1.74684e-25, 1.74684e-25, 1.91272e-09, 1.74684e-25, 1.74684e-25, 3.6941e-12, 1.74684e-25, 9.63547e-08, 1.74684e-25, 2.06224e-07, 1.74684e-25, 1.74684e-25, 1.74684e-25
0.480666, 0, 4.30383e-07, 4.30506e-10, 1.41421, -4.30383e-07, 4.34641e-10, 4.30506e-10, 4.30519e-10, 4.30509e-10, 4.37577e-10, 4.30675e-10, 4.31223e-10, 4.34235e-10, 4.36254e-10, 4.33686e-10, 1.16329e-09, 3.03769e-09, 4.30822e-10, 4.30531e-10, 4.36249e-10, 4.30523e-10, 1.4864e-07, 4.30508e-10, 2.78793e-07, 4.30506e-10, 4.30506e-10, 4.40483e-10
0.488552, 0, 6.07978e-07, 1.41045e-09, 1.41421, -6.07978e-07, 1.42406e-09, 1.41045e-09, 1.4105e-09, 1.41046e-09, 1.43372e-09, 1.41101e-09, 1.41281e-09, 1.42152e-09, 1.42937e-09, 1.42092e-09, 3.82152e-09, 4.94717e-09, 1.41149e-09, 1.41053e-09, 1.41935e-09, 1.41083e-09, 2.28326e-07, 1.41046e-09, 3.74992e-07, 1.41045e-09, 1.41045e-09, 1.44328e-09
0.496437, 0, 8.59106e-07, 3.59717e-09, 1.41421, -8.59106e-07, 3.63195e-09, 3.59717e-09, 3.59728e-09, 3.59719e-09, 3.65665e-09, 3.59859e-09, 3.6032e-09, 3.62447e-09, 3.64553e-09, 3.62392e-09, 9.76119e-09, 8.37219e-09, 3.59983e-09, 3.59738e-09, 3.61088e-09, 3.5984e-09, 3.49248e-07, 3.59718e-09, 5.0221e-07, 3.59717e-09, 3.59717e-09, 3.68109e-09
0.504323, 0, 1.21532e-06, 8.37469e-09, 1.41421, -1.21532e-06, 8.45579e-09, 8.37469e-09, 8.37496e-09, 8.37474e-09, 8.51339e-09, 8.378e-09, 8.38876e-09, 8.43712e-09, 8.48744e-09, 8.43707e-09, 2.27476e-08, 1.47916e-08, 8.38089e-09, 8.37517e-09, 8.39573e-09, 8.37794e-09, 5.31977e-07, 8.37472e-09, 6.70227e-07, 8.37469e-09, 8.37469e-09, 8.57038e-09
0.512209, 0, 1.72307e-06, 1.85978e-08, 1.41421, -1.72307e-06, 1.87781e-08, 1.85978e-08, 1.85984e-08, 1.85979e-08, 1.89061e-08, 1.86052e-08, 1.86291e-08, 1.87346e-08, 1.88484e-08, 1.87365e-08, 5.05487e-08, 2.71818e-08, 1.86116e-08, 1.85989e-08, 1.86299e-08, 1.86056e-08, 8.0709e-07, 1.85979e-08, 8.92496e-07, 1.85978e-08, 1.85978e-08, 1.90328e-08
0.520094, 0, 2.45281e-06, 4.00232e-08, 1.41421, -2.45281e-06, 4.04115e-08, 4.00232e-08, 4.00245e-08, 4.00235e-08, 4.06873e-08, 4.00391e-08, 4.00906e-08, 4.03197e-08, 4.0563e-08, 4.03219e-08, 1.08837e-07, 5.14543e-08, 4.00529e-08, 4.00255e-08, 4.0072e-08, 4.00408e-08, 1.22119e-06, 4.00234e-08, 1.18809e-06, 4.00232e-08, 4.00232e-08, 4.09601e-08
0.52798, 0, 3.50858e-06, 8.40138e-08, 1.41421, -3.50858e-06, 8.48293e-08, 8.40138e-08, 8.40164e-08, 8.40142e-08, 8.54085e-08, 8.4047e-08, 8.41552e-08, 8.46864e-08, 8.51476e-08, 8.4641e-08, 2.28549e-07, 9.9168e-08, 8.40761e-08, 8.40186e-08, 8.40874e-08, 8.40522e-08, 1.84075e-06, 8.40141e-08, 1.58518e-06, 8.40138e-08, 8.40138e-08, 8.59816e-08
0.535866, 0, 5.05394e-06, 1.72496e-07, 1.41421, -5.05394e-06, 1.74172e-07, 1.72496e-07, 1.72502e-07, 1.72497e-07, 1.75361e-07, 1.72565e-07, 1.72787e-07, 1.74423e-07, 1.74826e-07, 1.73785e-07, 4.69407e-07, 1.92498e-07, 1.72624e-07, 1.72506e-07, 1.72607e-07, 1.72578e-07, 2.76766e-06, 1.72497e-07, 2.12704e-06, 1.72496e-07, 1.72496e-07, 1.76539e-07
0.543751, 0, 7.34394e-06, 3.46858e-07, 1.41421, -7.34394e-06, 3.50228e-07, 3.46858e-07, 3.46869e-07, 3.4686e-07, 3.52622e-07, 3.46996e-07, 3.47443e-07, 3.51438e-07, 3.51544e-07, 3.4945e-07, 9.44168e-07, 3.73141e-07, 3.47116e-07, 3.46878e-07, 3.47023e-07, 3.47027e-07, 4.15417e-06, 3.46859e-07, 2.88257e-06, 3.46858e-07, 3.46858e-07, 3.5499e-07
0.551637, 0, 1.07838e-05, 6.83497e-07, 1.41421, -1.07838e-05, 6.90142e-07, 6.83497e-07, 6.83519e-07, 6.83501e-07, 6.9486e-07, 6.83768e-07, 6.84649e-07, 6.93593e-07, 6.92735e-07, 6.88607e-07, 1.86105e-06, 7.17883e-07, 6.84005e-07, 6.83537e-07, 6.83742e-07, 6.8384e-07, 6.23005e-06, 6.835e-07, 3.96425e-06, 6.83497e-07, 6.83497e-07, 6.99529e-07
0.559523, 0, 1.60222e-05, 1.3203e-06, 1.41421, -1.60222e-05, 1.33314e-06, 1.3203e-06, 1.32035e-06, 1.32031e-06, 1.34226e-06, 1.32083e-06, 1.32253e-06, 1.34162e-06, 1.33816e-06, 1.33018e-06, 3.596e-06, 1.3651e-06, 1.32129e-06, 1.32038e-06, 1.32066e-06, 1.32098e-06, 9.34384e-06, 1.32031e-06, 5.5584e-06, 1.3203e-06, 1.3203e-06, 1.35129e-06
0.567408, 0, 2.41015e-05, 2.50065e-06, 1.41421, -2.41015e-05, 2.52498e-06, 2.50065e-06, 2.50072e-06, 2.50066e-06, 2.54226e-06, 2.50164e-06, 2.50486e-06, 2.5444e-06, 2.53447e-06, 2.51936e-06, 6.81282e-06, 2.55875e-06, 2.5025e-06, 2.50079e-06, 2.50117e-06, 2.50197e-06, 1.40264e-05, 2.50065e-06, 7.97538e-06, 2.50065e-06, 2.50065e-06, 2.55935e-06
0.575294, 0, 3.66956e-05, 4.64442e-06, 1.41421, -3.66956e-05, 4.68963e-06, 4.64442e-06, 4.64457e-06, 4.64445e-06, 4.72174e-06, 4.64626e-06, 4.65226e-06, 4.73215e-06, 4.70728e-06, 4.67919e-06, 1.26573e-05, 4.71948e-06, 4.64787e-06, 4.64469e-06, 4.64519e-06, 4.64695e-06, 2.10882e-05, 4.64444e-06, 1.17301e-05, 4.64442e-06, 4.64442e-06, 4.75351e-06
0.58318, 0, 5.64783e-05, 8.45985e-06, 1.41421, -5.64783e-05, 8.54225e-06, 8.45985e-06, 8.46012e-06, 8.4599e-06, 8.60077e-06, 8.46321e-06, 8.47414e-06, 8.63305e-06, 8.57441e-06, 8.52323e-06, 2.30628e-05, 8.55642e-06, 8.46615e-06, 8.46034e-06, 8.46097e-06, 8.46459e-06, 3.17658e-05, 8.45988e-06, 1.7669e-05, 8.45985e-06, 8.45985e-06, 8.65867e-06
