   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_100.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000100782, 0, 3.92242e-21, 0, 1.41421, -3.92242e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82933e-23, 0, 0, 1.18691e-26, 6.04768e-23, 0, 3.84364e-21, 0, 0, 0
0.0079865, 0, 8.63785e-21, 0, 1.41421, -8.63785e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02739e-23, 0, 0, 2.65481e-26, 1.35556e-22, 0, 8.462e-21, 0, 0, 0
0.0158722, 0, 1.87619e-20, 0, 1.41421, -1.87619e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.74526e-23, 0, 0, 5.85676e-26, 2.99549e-22, 0, 1.83748e-20, 0, 0, 0
0.0237579, 0, 4.02215e-20, 0, 1.41421, -4.02215e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87428e-22, 0, 0, 1.27525e-25, 6.53103e-22, 0, 3.93809e-20, 0, 0, 0
0.0316437, 0, 8.51555e-20, 0, 1.41421, -8.51555e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96707e-22, 0, 0, 2.74234e-25, 1.40592e-21, 0, 8.33526e-20, 0, 0, 0
0.0395294, 0, 1.78144e-19, 0, 1.41421, -1.78144e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.2967e-22, 0, 0, 5.82739e-25, 2.98999e-21, 0, 1.74323e-19, 0, 0, 0
0.0474151, 0, 3.68413e-19, 0, 1.41421, -3.68413e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71533e-21, 0, 0, 1.22425e-24, 6.28562e-21, 0, 3.60411e-19, 0, 0, 0
0.0553008, 0, 7.53517e-19, 0, 1.41421, -7.53517e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50737e-21, 0, 0, 2.5439e-24, 1.3068e-20, 0, 7.36939e-19, 0, 0, 0
0.0631865, 0, 1.52479e-18, 0, 1.41421, -1.52479e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.09533e-21, 0, 0, 5.23047e-24, 2.6881e-20, 0, 1.49081e-18, 0, 0, 0
0.0710723, 0, 3.05378e-18, 0, 1.41421, -3.05378e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4206e-20, 0, 0, 1.06451e-23, 5.47309e-20, 0, 2.98484e-18, 0, 0, 0
0.078958, 0, 6.05495e-18, 0, 1.41421, -6.05495e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81585e-20, 0, 0, 2.1452e-23, 1.10338e-19, 0, 5.91643e-18, 0, 0, 0
0.0868437, 0, 1.18891e-17, 0, 1.41421, -1.18891e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5273e-20, 0, 0, 4.28177e-23, 2.20326e-19, 0, 1.16135e-17, 0, 0, 0
0.0947294, 0, 2.31243e-17, 0, 1.41421, -2.31243e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07471e-19, 0, 0, 8.46711e-23, 4.35904e-19, 0, 2.25809e-17, 0, 0, 0
0.102615, 0, 4.45623e-17, 0, 1.41421, -4.45623e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07035e-19, 0, 0, 1.65923e-22, 8.54701e-19, 0, 4.35004e-17, 0, 0, 0
0.110501, 0, 8.51015e-17, 0, 1.41421, -8.51015e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95241e-19, 0, 0, 3.22282e-22, 1.6613e-18, 0, 8.30446e-17, 0, 0, 0
0.118387, 0, 1.61087e-16, 0, 1.41421, -1.61087e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47874e-19, 0, 0, 6.20598e-22, 3.20177e-18, 0, 1.57137e-16, 0, 0, 0
0.126272, 0, 3.02282e-16, 0, 1.41421, -3.02282e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40287e-18, 0, 0, 1.18497e-21, 6.11976e-18, 0, 2.94759e-16, 0, 0, 0
0.134158, 0, 5.62424e-16, 0, 1.41421, -5.62424e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60913e-18, 0, 0, 2.24389e-21, 1.1603e-17, 0, 5.4821e-16, 0, 0, 0
0.142044, 0, 1.0377e-15, 0, 1.41421, -1.0377e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81199e-18, 0, 0, 4.21461e-21, 2.18255e-17, 0, 1.01106e-15, 0, 0, 0
0.149929, 0, 1.89887e-15, 0, 1.41421, -1.89887e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.80157e-18, 0, 0, 7.85302e-21, 4.07382e-17, 0, 1.84932e-15, 0, 0, 0
0.157815, 0, 3.44656e-15, 0, 1.41421, -3.44656e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59682e-17, 0, 0, 1.45176e-20, 7.54654e-17, 0, 3.35511e-15, 0, 0, 0
0.165701, 0, 6.20568e-15, 0, 1.41421, -6.20568e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87377e-17, 0, 0, 2.66307e-20, 1.3876e-16, 0, 6.03816e-15, 0, 0, 0
0.173587, 0, 1.10854e-14, 0, 1.41421, -1.10854e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13093e-17, 0, 0, 4.84785e-20, 2.53287e-16, 0, 1.07808e-14, 0, 0, 0
0.181472, 0, 1.96476e-14, 0, 1.41421, -1.96476e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.08917e-17, 0, 0, 8.75905e-20, 4.59039e-16, 0, 1.90976e-14, 0, 0, 0
0.189358, 0, 3.45541e-14, 0, 1.41421, -3.45541e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59762e-16, 0, 0, 1.57091e-19, 8.26098e-16, 0, 3.35681e-14, 0, 0, 0
0.197244, 0, 6.03055e-14, 0, 1.41421, -6.03055e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7866e-16, 0, 0, 2.7969e-19, 1.47641e-15, 0, 5.85501e-14, 0, 0, 0
0.205129, 0, 1.0445e-13, 0, 1.41421, -1.0445e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82346e-16, 0, 0, 4.94401e-19, 2.62075e-15, 0, 1.01347e-13, 0, 0, 0
0.213015, 0, 1.79551e-13, 0, 1.41421, -1.79551e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.28614e-16, 0, 0, 8.67778e-19, 4.62099e-15, 0, 1.74101e-13, 0, 0, 0
0.220901, 0, 3.06351e-13, 0, 1.41421, -3.06351e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4128e-15, 0, 0, 1.51256e-18, 8.09437e-15, 0, 2.96843e-13, 0, 0, 0
0.228787, 0, 5.18834e-13, 0, 1.41421, -5.18834e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39095e-15, 0, 0, 2.61846e-18, 1.40881e-14, 0, 5.02353e-13, 0, 0, 0
