   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_81.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000763222, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00864618, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0165291, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0244121, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.032295, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.040178, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.048061, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0559439, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0638269, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0717098, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0795928, 0, 4.5078e-30, 0, 1.41421, -4.5078e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84674e-32, 0, 0, 4.95388e-35, 0, 4.95997e-36, 0, 4.47928e-30, 0, 0, 0
0.0874757, 0, 4.91633e-29, 0, 1.41421, -4.91633e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10466e-31, 0, 0, 5.40271e-34, 0, 1.14437e-33, 0, 4.88511e-29, 0, 0, 0
0.0953587, 0, 3.36547e-28, 0, 1.41421, -3.36547e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12527e-30, 0, 0, 3.69837e-33, 0, 1.20314e-32, 0, 3.34406e-28, 0, 0, 0
0.103242, 0, 1.84142e-27, 0, 1.41421, -1.84142e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16283e-29, 0, 0, 2.02655e-32, 0, 8.09628e-32, 0, 1.82969e-27, 0, 0, 0
