   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_79.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.223425, 0, 2.08641e-21, 0, 1.41421, -2.08641e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93823e-23, 0, 0, 2.56329e-26, 1.40802e-25, 0, 2.06686e-21, 0, 0, 0
0.231294, 0, 6.09496e-21, 0, 1.41421, -6.09496e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66208e-23, 0, 0, 7.54657e-26, 4.20747e-25, 0, 6.03785e-21, 0, 0, 0
0.239164, 0, 1.73824e-20, 0, 1.41421, -1.73824e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61479e-22, 0, 0, 2.16957e-25, 1.22579e-24, 0, 1.72195e-20, 0, 0, 0
0.247033, 0, 4.84724e-20, 0, 1.41421, -4.84724e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.50296e-22, 0, 0, 6.10038e-25, 3.48804e-24, 0, 4.8018e-20, 0, 0, 0
0.254903, 0, 1.3234e-19, 0, 1.41421, -1.3234e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2294e-21, 0, 0, 1.67988e-24, 9.70899e-24, 0, 1.311e-19, 0, 0, 0
0.262772, 0, 3.5415e-19, 0, 1.41421, -3.5415e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28995e-21, 0, 0, 4.53557e-24, 2.64696e-23, 0, 3.50829e-19, 0, 0, 0
0.270642, 0, 9.29802e-19, 0, 1.41421, -9.29802e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.63758e-21, 0, 0, 1.20182e-23, 7.07572e-23, 0, 9.21082e-19, 0, 0, 0
0.278511, 0, 2.39697e-18, 0, 1.41421, -2.39697e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22671e-20, 0, 0, 3.12799e-23, 1.8563e-22, 0, 2.37449e-18, 0, 0, 0
0.286381, 0, 6.07163e-18, 0, 1.41421, -6.07163e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64032e-20, 0, 0, 8.00246e-23, 4.78322e-22, 0, 6.01467e-18, 0, 0, 0
0.29425, 0, 1.51211e-17, 0, 1.41421, -1.51211e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40469e-19, 0, 0, 2.01367e-22, 1.2114e-21, 0, 1.49792e-17, 0, 0, 0
0.30212, 0, 3.70445e-17, 0, 1.41421, -3.70445e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44124e-19, 0, 0, 4.9865e-22, 3.01719e-21, 0, 3.66969e-17, 0, 0, 0
0.309989, 0, 8.93146e-17, 0, 1.41421, -8.93146e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.29677e-19, 0, 0, 1.21577e-21, 7.39419e-21, 0, 8.84763e-17, 0, 0, 0
0.317859, 0, 2.12004e-16, 0, 1.41421, -2.12004e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96936e-18, 0, 0, 2.91966e-21, 1.78377e-20, 0, 2.10014e-16, 0, 0, 0
0.325728, 0, 4.95611e-16, 0, 1.41421, -4.95611e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60376e-18, 0, 0, 6.90875e-21, 4.23761e-20, 0, 4.90958e-16, 0, 0, 0
0.333598, 0, 1.1414e-15, 0, 1.41421, -1.1414e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06022e-17, 0, 0, 1.61134e-20, 9.91706e-20, 0, 1.13068e-15, 0, 0, 0
0.341467, 0, 2.59026e-15, 0, 1.41421, -2.59026e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40598e-17, 0, 0, 3.70532e-20, 2.28696e-19, 0, 2.56594e-15, 0, 0, 0
