   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_180.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0399951, 0, 3.65356e-14, 0, 1.41421, -3.65356e-14, 0, 0, 0, 0, 0, 0, 0, 1.45775e-16, 0, 0, 3.29017e-19, 1.1305e-17, 0, 3.63782e-14, 0, 0
0.0476907, 0, 6.23492e-14, 0, 1.41421, -6.23492e-14, 0, 0, 0, 0, 0, 0, 0, 2.48767e-16, 0, 0, 5.73099e-19, 1.98509e-17, 0, 6.208e-14, 0, 0
0.0553863, 0, 1.05649e-13, 0, 1.41421, -1.05649e-13, 0, 0, 0, 0, 0, 0, 0, 4.21524e-16, 0, 0, 9.91336e-19, 3.46329e-17, 0, 1.05192e-13, 0, 0
0.0630819, 0, 1.77772e-13, 0, 1.41421, -1.77772e-13, 0, 0, 0, 0, 0, 0, 0, 7.09275e-16, 0, 0, 1.70309e-18, 6.00406e-17, 0, 1.77001e-13, 0, 0
0.0707775, 0, 2.98076e-13, 0, 1.41421, -2.98076e-13, 0, 0, 0, 0, 0, 0, 0, 1.18925e-15, 0, 0, 2.92209e-18, 1.04176e-16, 0, 2.9678e-13, 0, 0
0.078473, 0, 4.94558e-13, 0, 1.41421, -4.94558e-13, 0, 0, 0, 0, 0, 0, 0, 1.97315e-15, 0, 0, 4.95103e-18, 1.78286e-16, 0, 4.92402e-13, 0, 0
0.0861686, 0, 8.15072e-13, 0, 1.41421, -8.15072e-13, 0, 0, 0, 0, 0, 0, 0, 3.25187e-15, 0, 0, 8.33439e-18, 3.03283e-16, 0, 8.11508e-13, 0, 0
0.0938642, 0, 1.33443e-12, 0, 1.41421, -1.33443e-12, 0, 0, 0, 0, 0, 0, 0, 5.32387e-15, 0, 0, 1.39402e-17, 5.12854e-16, 0, 1.32858e-12, 0, 0
0.10156, 0, 2.17043e-12, 0, 1.41421, -2.17043e-12, 0, 0, 0, 0, 0, 0, 0, 8.6591e-15, 0, 0, 2.31696e-17, 8.62157e-16, 0, 2.16088e-12, 0, 0
0.109255, 0, 3.50731e-12, 0, 1.41421, -3.50731e-12, 0, 0, 0, 0, 0, 0, 0, 1.39926e-14, 0, 0, 3.82703e-17, 1.44097e-15, 0, 3.49184e-12, 0, 0
0.116951, 0, 5.63133e-12, 0, 1.41421, -5.63133e-12, 0, 0, 0, 0, 0, 0, 0, 2.24662e-14, 0, 0, 6.28259e-17, 2.3947e-15, 0, 5.6064e-12, 0, 0
