   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_114.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.181797, 0, 1.73899e-14, 0, 1.41421, -1.73899e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67758e-18, 0, 0, 2.72264e-19, 0, 6.25859e-16, 0, 1.67571e-14, 0, 0
0.189683, 0, 3.06365e-14, 0, 1.41421, -3.06365e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17543e-17, 0, 0, 4.88972e-19, 0, 1.12738e-15, 0, 2.94969e-14, 0, 0
0.197568, 0, 5.35618e-14, 0, 1.41421, -5.35618e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05318e-17, 0, 0, 8.7178e-19, 0, 2.01678e-15, 0, 5.15236e-14, 0, 0
0.205453, 0, 9.29343e-14, 0, 1.41421, -9.29343e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55911e-17, 0, 0, 1.54315e-18, 0, 3.58332e-15, 0, 8.93139e-14, 0, 0
0.213339, 0, 1.60042e-13, 0, 1.41421, -1.60042e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12306e-17, 0, 0, 2.71231e-18, 0, 6.32421e-15, 0, 1.53654e-13, 0, 0
0.221224, 0, 2.73561e-13, 0, 1.41421, -2.73561e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04552e-16, 0, 0, 4.73418e-18, 0, 1.10883e-14, 0, 2.62364e-13, 0, 0
0.22911, 0, 4.64159e-13, 0, 1.41421, -4.64159e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77198e-16, 0, 0, 8.20695e-18, 0, 1.93172e-14, 0, 4.44656e-13, 0, 0
0.236995, 0, 7.81796e-13, 0, 1.41421, -7.81796e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98106e-16, 0, 0, 1.41321e-17, 0, 3.34409e-14, 0, 7.48043e-13, 0, 0
0.24488, 0, 1.30725e-12, 0, 1.41421, -1.30725e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97838e-16, 0, 0, 2.41757e-17, 0, 5.75331e-14, 0, 1.24919e-12, 0, 0
0.252766, 0, 2.17013e-12, 0, 1.41421, -2.17013e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.25337e-16, 0, 0, 4.10934e-17, 0, 9.83837e-14, 0, 2.07088e-12, 0, 0
0.260651, 0, 3.57683e-12, 0, 1.41421, -3.57683e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35838e-15, 0, 0, 6.94165e-17, 0, 1.67245e-13, 0, 3.40816e-12, 0, 0
0.268537, 0, 5.85348e-12, 0, 1.41421, -5.85348e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21957e-15, 0, 0, 1.16558e-16, 0, 2.82666e-13, 0, 5.56848e-12, 0, 0
0.276422, 0, 9.5117e-12, 0, 1.41421, -9.5117e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60081e-15, 0, 0, 1.94582e-16, 0, 4.75069e-13, 0, 9.03284e-12, 0, 0
0.284308, 0, 1.53556e-11, 0, 1.41421, -1.53556e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80251e-15, 0, 0, 3.23654e-16, 0, 7.95682e-13, 0, 1.45538e-11, 0, 0
0.292193, 0, 2.46041e-11, 0, 1.41421, -2.46041e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27965e-15, 0, 0, 5.34483e-16, 0, 1.32302e-12, 0, 2.32713e-11, 0, 0
0.300078, 0, 3.91517e-11, 3.64338e-44, 1.41421, -3.91517e-11, 3.64338e-44, 0, 3.64338e-44, 3.64338e-44, 3.64338e-44, 3.64338e-44, 3.64338e-44, 3.64338e-44, 3.64338e-44, 3.64338e-44, 3.64338e-44, 3.64338e-44, 1.47361e-14, 3.64338e-44, 3.64338e-44, 8.78281e-16, 3.64338e-44, 2.18891e-12, 3.64338e-44, 3.69471e-11, 3.64338e-44, 3.64338e-44
