   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_47.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.197964, 0, 5.43432e-21, 0, 1.41421, -5.43432e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.60691e-23, 0, 0, 5.8866e-26, 9.70879e-25, 0, 5.37722e-21, 0, 0, 0
0.205852, 0, 1.5292e-20, 0, 1.41421, -1.5292e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57776e-22, 0, 0, 1.67344e-25, 2.79123e-24, 0, 1.51312e-20, 0, 0, 0
0.21374, 0, 4.20959e-20, 0, 1.41421, -4.20959e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34325e-22, 0, 0, 4.65529e-25, 7.84247e-24, 0, 4.16533e-20, 0, 0, 0
0.221627, 0, 1.13484e-19, 0, 1.41421, -1.13484e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17087e-21, 0, 0, 1.26865e-24, 2.1561e-23, 0, 1.1229e-19, 0, 0, 0
0.229515, 0, 2.99882e-19, 0, 1.41421, -2.99882e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09401e-21, 0, 0, 3.39e-24, 5.80637e-23, 0, 2.96726e-19, 0, 0, 0
0.237403, 0, 7.7738e-19, 0, 1.41421, -7.7738e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.02053e-21, 0, 0, 8.88959e-24, 1.53308e-22, 0, 7.69197e-19, 0, 0, 0
0.24529, 0, 1.97829e-18, 0, 1.41421, -1.97829e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04107e-20, 0, 0, 2.28926e-23, 3.97186e-22, 0, 1.95746e-18, 0, 0, 0
0.253178, 0, 4.9453e-18, 0, 1.41421, -4.9453e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.10222e-20, 0, 0, 5.7933e-23, 1.01044e-21, 0, 4.89321e-18, 0, 0, 0
0.261066, 0, 1.23621e-17, 0, 1.41421, -1.23621e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27542e-19, 0, 0, 1.47118e-22, 2.57882e-21, 0, 1.22318e-17, 0, 0, 0
0.268953, 0, 2.97934e-17, 0, 1.41421, -2.97934e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07384e-19, 0, 0, 3.5918e-22, 6.31971e-21, 0, 2.94794e-17, 0, 0, 0
0.276841, 0, 7.06598e-17, 0, 1.41421, -7.06598e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29004e-19, 0, 0, 8.6333e-22, 1.52387e-20, 0, 6.99147e-17, 0, 0, 0
0.284729, 0, 1.64969e-16, 0, 1.41421, -1.64969e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70199e-18, 0, 0, 2.04375e-21, 3.61704e-20, 0, 1.63229e-16, 0, 0, 0
0.292617, 0, 3.79271e-16, 0, 1.41421, -3.79271e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91291e-18, 0, 0, 4.76669e-21, 8.45435e-20, 0, 3.75269e-16, 0, 0, 0
0.300504, 0, 8.58894e-16, 0, 1.41421, -8.58894e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.86102e-18, 0, 0, 1.09566e-20, 1.9466e-19, 0, 8.49827e-16, 0, 0, 0
0.308392, 0, 1.9164e-15, 0, 1.41421, -1.9164e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97708e-17, 0, 0, 2.48276e-20, 4.41652e-19, 0, 1.89616e-15, 0, 0, 0
0.31628, 0, 4.21397e-15, 0, 1.41421, -4.21397e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34732e-17, 0, 0, 5.5476e-20, 9.87682e-19, 0, 4.16946e-15, 0, 0, 0
0.324167, 0, 9.13376e-15, 0, 1.41421, -9.13376e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.4226e-17, 0, 0, 1.2227e-19, 2.17775e-18, 0, 9.03723e-15, 0, 0, 0
0.332055, 0, 1.95183e-14, 0, 1.41421, -1.95183e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01351e-16, 0, 0, 2.65881e-19, 4.73544e-18, 0, 1.9312e-14, 0, 0, 0
0.339943, 0, 4.11292e-14, 0, 1.41421, -4.11292e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24278e-16, 0, 0, 5.70579e-19, 1.01573e-17, 0, 4.06942e-14, 0, 0, 0
0.34783, 0, 8.54756e-14, 0, 1.41421, -8.54756e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.8172e-16, 0, 0, 1.20871e-18, 2.14965e-17, 0, 8.45711e-14, 0, 0, 0
0.355718, 0, 1.75219e-13, 0, 1.41421, -1.75219e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80741e-15, 0, 0, 2.52827e-18, 4.48968e-17, 0, 1.73364e-13, 0, 0, 0
0.363606, 0, 3.54344e-13, 0, 1.41421, -3.54344e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65504e-15, 0, 0, 5.22344e-18, 9.25596e-17, 0, 3.50591e-13, 0, 0, 0
0.371494, 0, 7.07022e-13, 0, 1.41421, -7.07022e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29274e-15, 0, 0, 1.06628e-17, 1.88409e-16, 0, 6.9953e-13, 0, 0, 0
0.379381, 0, 1.39204e-12, 4.90454e-44, 1.41421, -1.39204e-12, 4.90454e-44, 0, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 1.43584e-14, 4.90454e-44, 4.90454e-44, 2.15151e-17, 3.78748e-16, 4.90454e-44, 1.37729e-12, 4.90454e-44, 4.90454e-44, 4.90454e-44
0.387269, 0, 2.70479e-12, 9.08041e-43, 1.41421, -2.70479e-12, 9.08041e-43, 0, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 2.78991e-14, 9.08041e-43, 9.08041e-43, 4.29307e-17, 7.52117e-16, 9.08041e-43, 2.6761e-12, 9.08041e-43, 9.08041e-43, 9.08041e-43
0.395157, 0, 5.18707e-12, 1.35492e-41, 1.41421, -5.18707e-12, 1.35492e-41, 0, 1.35492e-41, 1.35492e-41, 1.35492e-41, 1.35492e-41, 1.35492e-41, 1.35492e-41, 1.35492e-41, 1.35492e-41, 1.35492e-41, 1.35492e-41, 1.35492e-41, 1.35492e-41, 5.35044e-14, 1.35492e-41, 1.35492e-41, 8.47578e-17, 1.47582e-15, 1.35492e-41, 5.132e-12, 1.35492e-41, 1.35492e-41, 1.35492e-41
0.403044, 0, 9.81884e-12, 1.77889e-40, 1.41421, -9.81884e-12, 1.77889e-40, 0, 1.77889e-40, 1.77889e-40, 1.77889e-40, 1.77889e-40, 1.77889e-40, 1.77889e-40, 1.77889e-40, 1.77889e-40, 1.77889e-40, 1.77889e-40, 1.77889e-40, 1.77889e-40, 1.01287e-13, 1.77889e-40, 1.77889e-40, 1.65673e-16, 2.86246e-15, 1.77889e-40, 9.71452e-12, 1.77889e-40, 1.77889e-40, 1.77889e-40
0.410932, 0, 1.83481e-11, 2.09242e-39, 1.41421, -1.83481e-11, 2.09242e-39, 0, 2.09242e-39, 2.09242e-39, 2.09242e-39, 2.09242e-39, 2.09242e-39, 2.09242e-39, 2.09242e-39, 2.09242e-39, 2.09242e-39, 2.09242e-39, 2.09242e-39, 2.09242e-39, 1.89291e-13, 2.09242e-39, 2.09242e-39, 3.20848e-16, 5.49005e-15, 2.09242e-39, 1.8153e-11, 2.09242e-39, 2.09242e-39, 2.09242e-39
0.41882, 0, 3.38496e-11, 2.2223e-38, 1.41421, -3.38496e-11, 2.2223e-38, 0, 2.2223e-38, 2.2223e-38, 2.2223e-38, 2.2223e-38, 2.2223e-38, 2.2223e-38, 2.2223e-38, 2.2223e-38, 2.2223e-38, 2.2223e-38, 2.2223e-38, 2.2223e-38, 3.49275e-13, 2.2223e-38, 2.2223e-38, 6.1614e-16, 1.04171e-14, 2.2223e-38, 3.34893e-11, 2.2223e-38, 2.2223e-38, 2.2223e-38
