   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_132.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0750854, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0829777, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.09087, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0987624, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.106655, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.114547, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.122439, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.130332, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.138224, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.146116, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.154009, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.161901, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.169793, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.177686, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.185578, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.19347, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.201363, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.209255, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.217147, 0, 3.93736e-30, 0, 1.41421, -3.93736e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02924e-35, 0, 8.80446e-36, 0, 3.9373e-30, 0, 0
0.22504, 0, 5.30207e-29, 0, 1.41421, -5.30207e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77225e-34, 0, 1.28766e-33, 0, 5.30187e-29, 0, 0
0.232932, 0, 4.48327e-28, 0, 1.41421, -4.48327e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72634e-33, 0, 1.70351e-32, 0, 4.48305e-28, 0, 0
0.240824, 0, 3.02259e-27, 0, 1.41421, -3.02259e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86062e-32, 0, 1.43854e-31, 0, 3.02241e-27, 0, 0
0.248717, 0, 1.76763e-26, 0, 1.41421, -1.76763e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25864e-31, 0, 9.70947e-31, 0, 1.76751e-26, 0, 0
0.256609, 0, 9.33639e-26, 0, 1.41421, -9.33639e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19393e-30, 0, 5.68704e-30, 0, 9.33571e-26, 0, 0
0.264501, 0, 4.55652e-25, 0, 1.41421, -4.55652e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.83319e-30, 0, 3.00852e-29, 0, 4.55616e-25, 0, 0
0.272394, 0, 2.08434e-24, 0, 1.41421, -2.08434e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67185e-29, 0, 1.47051e-28, 0, 2.08416e-24, 0, 0
0.280286, 0, 9.02398e-24, 0, 1.41421, -9.02398e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15851e-28, 0, 6.73671e-28, 0, 9.02319e-24, 0, 0
0.288178, 0, 3.72347e-23, 0, 1.41421, -3.72347e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78835e-28, 0, 2.92085e-27, 0, 3.72313e-23, 0, 0
0.296071, 0, 1.47193e-22, 0, 1.41421, -1.47193e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89645e-27, 0, 1.20693e-26, 0, 1.47179e-22, 0, 0
0.303963, 0, 5.59725e-22, 0, 1.41421, -5.59725e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.22649e-27, 0, 4.77798e-26, 0, 5.5967e-22, 0, 0
0.311855, 0, 2.05404e-21, 0, 1.41421, -2.05404e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65793e-26, 0, 1.81952e-25, 0, 2.05384e-21, 0, 0
0.319748, 0, 7.29329e-21, 0, 1.41421, -7.29329e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.46074e-26, 0, 6.68694e-25, 0, 7.29253e-21, 0, 0
0.32764, 0, 2.51101e-20, 0, 1.41421, -2.51101e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26595e-25, 0, 2.37789e-24, 0, 2.51074e-20, 0, 0
0.335532, 0, 8.39757e-20, 0, 1.41421, -8.39757e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09539e-24, 0, 8.19939e-24, 0, 8.39664e-20, 0, 0
0.343425, 0, 2.73207e-19, 0, 1.41421, -2.73207e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5749e-24, 0, 2.74649e-23, 0, 2.73176e-19, 0, 0
0.351317, 0, 8.65779e-19, 0, 1.41421, -8.65779e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13669e-23, 0, 8.95011e-23, 0, 8.65679e-19, 0, 0
0.359209, 0, 2.67526e-18, 0, 1.41421, -2.67526e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52516e-23, 0, 2.84111e-22, 0, 2.67494e-18, 0, 0
0.367102, 0, 8.06802e-18, 0, 1.41421, -8.06802e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06729e-22, 0, 8.79475e-22, 0, 8.06703e-18, 0, 0
0.374994, 0, 2.37657e-17, 0, 1.41421, -2.37657e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15718e-22, 0, 2.65729e-21, 0, 2.37627e-17, 0, 0
0.382886, 0, 6.84248e-17, 0, 1.41421, -6.84248e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.13145e-22, 0, 7.84296e-21, 0, 6.84161e-17, 0, 0
0.390779, 0, 1.92669e-16, 0, 1.41421, -1.92669e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58387e-21, 0, 2.2628e-20, 0, 1.92643e-16, 0, 0
0.398671, 0, 5.30839e-16, 0, 1.41421, -5.30839e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15689e-21, 0, 6.38558e-20, 0, 5.30768e-16, 0, 0
0.406563, 0, 1.43173e-15, 0, 1.41421, -1.43173e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94137e-20, 0, 1.76346e-19, 0, 1.43154e-15, 0, 0
