   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_25.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00483394, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00308094, 0, 9.14118e-30, 0, 1.41421, -9.14118e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43139e-32, 0, 0, 1.53356e-34, 1.57261e-35, 0, 9.0767e-30, 0, 0
0.0109958, 0, 8.87556e-29, 0, 1.41421, -8.87556e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.24432e-31, 0, 0, 1.48895e-33, 2.77998e-33, 0, 8.81269e-29, 0, 0
0.0189107, 0, 5.41277e-28, 0, 1.41421, -5.41277e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80804e-30, 0, 0, 9.08023e-33, 2.65673e-32, 0, 5.37433e-28, 0, 0
0.0268256, 0, 2.64299e-27, 0, 1.41421, -2.64299e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85939e-29, 0, 0, 4.43683e-32, 1.61546e-31, 0, 2.62419e-27, 0, 0
0.0347405, 0, 1.12663e-26, 0, 1.41421, -1.12663e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.92602e-29, 0, 0, 1.89692e-31, 7.88521e-31, 0, 1.11861e-26, 0, 0
0.0426554, 0, 4.37057e-26, 0, 1.41421, -4.37057e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07473e-28, 0, 0, 7.39603e-31, 3.36216e-30, 0, 4.33941e-26, 0, 0
0.0505703, 0, 1.57943e-25, 0, 1.41421, -1.57943e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11114e-27, 0, 0, 2.6902e-30, 1.3048e-29, 0, 1.56816e-25, 0, 0
0.0584851, 0, 5.3945e-25, 0, 1.41421, -5.3945e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79504e-27, 0, 0, 9.257e-30, 4.71887e-29, 0, 5.35599e-25, 0, 0
0.0664, 0, 1.75826e-24, 0, 1.41421, -1.75826e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23693e-26, 0, 0, 3.04163e-29, 1.61343e-28, 0, 1.7457e-24, 0, 0
0.0743149, 0, 5.50608e-24, 0, 1.41421, -5.50608e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8735e-26, 0, 0, 9.60645e-29, 5.26544e-28, 0, 5.46672e-24, 0, 0
0.0822298, 0, 1.66494e-23, 0, 1.41421, -1.66494e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17127e-25, 0, 0, 2.93065e-28, 1.65127e-27, 0, 1.65304e-23, 0, 0
0.0901447, 0, 4.87986e-23, 0, 1.41421, -4.87986e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43294e-25, 0, 0, 8.66853e-28, 5.00103e-27, 0, 4.84495e-23, 0, 0
0.0980596, 0, 1.39048e-22, 0, 1.41421, -1.39048e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.78187e-25, 0, 0, 2.49341e-27, 1.46828e-26, 0, 1.38053e-22, 0, 0
0.105974, 0, 3.86112e-22, 0, 1.41421, -3.86112e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71624e-24, 0, 0, 6.99111e-27, 4.19146e-26, 0, 3.83347e-22, 0, 0
0.113889, 0, 1.04691e-21, 0, 1.41421, -1.04691e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36486e-24, 0, 0, 1.91453e-26, 1.1662e-25, 0, 1.03941e-21, 0, 0
0.121804, 0, 2.77633e-21, 0, 1.41421, -2.77633e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95309e-23, 0, 0, 5.12926e-26, 3.16877e-25, 0, 2.75643e-21, 0, 0
0.129719, 0, 7.21103e-21, 0, 1.41421, -7.21103e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.07281e-23, 0, 0, 1.34627e-25, 8.42253e-25, 0, 7.15932e-21, 0, 0
0.137634, 0, 1.83654e-20, 0, 1.41421, -1.83654e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29197e-22, 0, 0, 3.46582e-25, 2.19297e-24, 0, 1.82337e-20, 0, 0
0.145549, 0, 4.79648e-20, 0, 1.41421, -4.79648e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3742e-22, 0, 0, 9.20143e-25, 5.90095e-24, 0, 4.76205e-20, 0, 0
0.153464, 0, 1.17231e-19, 0, 1.41421, -1.17231e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.24687e-22, 0, 0, 2.27455e-24, 1.47145e-23, 0, 1.16389e-19, 0, 0
0.161379, 0, 2.81877e-19, 0, 1.41421, -2.81877e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98292e-21, 0, 0, 5.53299e-24, 3.60789e-23, 0, 2.79853e-19, 0, 0
0.169294, 0, 6.6718e-19, 0, 1.41421, -6.6718e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6934e-21, 0, 0, 1.32532e-23, 8.70468e-23, 0, 6.62386e-19, 0, 0
0.177208, 0, 1.55534e-18, 0, 1.41421, -1.55534e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09413e-20, 0, 0, 3.12762e-23, 2.06783e-22, 0, 1.54416e-18, 0, 0
0.185123, 0, 3.57286e-18, 0, 1.41421, -3.57286e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51338e-20, 0, 0, 7.27542e-23, 4.8393e-22, 0, 3.54717e-18, 0, 0
0.193038, 0, 8.09097e-18, 0, 1.41421, -8.09097e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69169e-20, 0, 0, 1.66894e-22, 1.11627e-21, 0, 8.03276e-18, 0, 0
0.200953, 0, 1.80694e-17, 0, 1.41421, -1.80694e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27111e-19, 0, 0, 3.77688e-22, 2.53905e-21, 0, 1.79394e-17, 0, 0
0.208868, 0, 3.98101e-17, 0, 1.41421, -3.98101e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80047e-19, 0, 0, 8.43511e-22, 5.69719e-21, 0, 3.95235e-17, 0, 0
0.216783, 0, 8.65536e-17, 0, 1.41421, -8.65536e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.08865e-19, 0, 0, 1.85975e-21, 1.26153e-20, 0, 8.59302e-17, 0, 0
0.224698, 0, 1.85755e-16, 0, 1.41421, -1.85755e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3067e-18, 0, 0, 4.04904e-21, 2.75758e-20, 0, 1.84417e-16, 0, 0
0.232613, 0, 3.93618e-16, 0, 1.41421, -3.93618e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7689e-18, 0, 0, 8.70777e-21, 5.9524e-20, 0, 3.90781e-16, 0, 0
0.240527, 0, 8.23732e-16, 0, 1.41421, -8.23732e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79449e-18, 0, 0, 1.85023e-20, 1.26915e-19, 0, 8.17792e-16, 0, 0
0.248442, 0, 1.70283e-15, 0, 1.41421, -1.70283e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19783e-17, 0, 0, 3.88523e-20, 2.67372e-19, 0, 1.69054e-15, 0, 0
0.256357, 0, 3.47789e-15, 0, 1.41421, -3.47789e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44646e-17, 0, 0, 8.06442e-20, 5.56684e-19, 0, 3.45279e-15, 0, 0
0.264272, 0, 7.01938e-15, 0, 1.41421, -7.01938e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9376e-17, 0, 0, 1.65495e-19, 1.14577e-18, 0, 6.96869e-15, 0, 0
0.272187, 0, 1.40021e-14, 0, 1.41421, -1.40021e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.84934e-17, 0, 0, 3.35863e-19, 2.33177e-18, 0, 1.3901e-14, 0, 0
0.280102, 0, 2.76102e-14, 0, 1.41421, -2.76102e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94213e-16, 0, 0, 6.742e-19, 4.6932e-18, 0, 2.74106e-14, 0, 0
