   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_92.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.234641, 0, 8.14053e-23, 0, 1.41421, -8.14053e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27073e-25, 0, 0, 3.4829e-28, 0, 8.08779e-23, 0, 0, 0
0.242535, 0, 3.03722e-22, 0, 1.41421, -3.03722e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9665e-24, 0, 0, 1.30838e-27, 0, 3.01754e-22, 0, 0, 0
0.250428, 0, 9.85446e-22, 0, 1.41421, -9.85446e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38044e-24, 0, 0, 4.26387e-27, 0, 9.79061e-22, 0, 0, 0
0.258322, 0, 3.11117e-21, 0, 1.41421, -3.11117e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01438e-23, 0, 0, 1.35242e-26, 0, 3.09101e-21, 0, 0, 0
0.266216, 0, 9.57389e-21, 0, 1.41421, -9.57389e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19878e-23, 0, 0, 4.18217e-26, 0, 9.51186e-21, 0, 0, 0
0.274109, 0, 2.8758e-20, 0, 1.41421, -2.8758e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86198e-22, 0, 0, 1.26273e-25, 0, 2.85716e-20, 0, 0, 0
0.282003, 0, 8.44235e-20, 0, 1.41421, -8.44235e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46615e-22, 0, 0, 3.72712e-25, 0, 8.38766e-20, 0, 0, 0
0.289896, 0, 2.42473e-19, 0, 1.41421, -2.42473e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56993e-21, 0, 0, 1.07661e-24, 0, 2.40902e-19, 0, 0, 0
0.29779, 0, 6.81935e-19, 0, 1.41421, -6.81935e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41529e-21, 0, 0, 3.04617e-24, 0, 6.77517e-19, 0, 0, 0
0.305684, 0, 1.87951e-18, 0, 1.41421, -1.87951e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21691e-20, 0, 0, 8.44916e-24, 0, 1.86733e-18, 0, 0, 0
0.313577, 0, 5.07995e-18, 0, 1.41421, -5.07995e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28905e-20, 0, 0, 2.29898e-23, 0, 5.04704e-18, 0, 0, 0
0.321471, 0, 1.34724e-17, 0, 1.41421, -1.34724e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.72273e-20, 0, 0, 6.14031e-23, 0, 1.33852e-17, 0, 0, 0
0.329364, 0, 3.50775e-17, 0, 1.41421, -3.50775e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27105e-19, 0, 0, 1.61068e-22, 0, 3.48502e-17, 0, 0, 0
0.337258, 0, 8.97013e-17, 0, 1.41421, -8.97013e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80749e-19, 0, 0, 4.15146e-22, 0, 8.91201e-17, 0, 0, 0
0.345152, 0, 2.25388e-16, 0, 1.41421, -2.25388e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45918e-18, 0, 0, 1.05184e-21, 0, 2.23928e-16, 0, 0, 0
0.353045, 0, 5.56642e-16, 0, 1.41421, -5.56642e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60362e-18, 0, 0, 2.62068e-21, 0, 5.53036e-16, 0, 0, 0
0.360939, 0, 1.35166e-15, 0, 1.41421, -1.35166e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.75004e-18, 0, 0, 6.42317e-21, 0, 1.3429e-15, 0, 0, 0
0.368832, 0, 3.22791e-15, 0, 1.41421, -3.22791e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08949e-17, 0, 0, 1.54912e-20, 0, 3.207e-15, 0, 0, 0
0.376726, 0, 7.58298e-15, 0, 1.41421, -7.58298e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90829e-17, 0, 0, 3.67767e-20, 0, 7.53386e-15, 0, 0, 0
