   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_202.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0837172, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0754688, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0672203, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0589718, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0507234, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0424749, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0342264, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0259779, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0177295, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00948099, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00123251, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00701596, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0152644, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0235129, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0317614, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0400098, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0482583, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0565068, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0647553, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0730037, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0812522, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0895007, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0977492, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.105998, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.114246, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.122495, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.130743, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.138992, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.14724, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.155488, 0, 2.0445e-28, 0, 1.41421, -2.0445e-28, 0, 0, 0, 0, 0, 0, 0, 0, 3.80927e-31, 0, 1.03033e-33, 8.0367e-34, 0, 2.04067e-28, 0, 0
0.163737, 0, 2.63354e-27, 0, 1.41421, -2.63354e-27, 0, 0, 0, 0, 0, 0, 0, 0, 4.90659e-30, 0, 1.32714e-32, 1.05465e-31, 0, 2.62852e-27, 0, 0
0.171985, 0, 2.12588e-26, 0, 1.41421, -2.12588e-26, 0, 0, 0, 0, 0, 0, 0, 0, 3.96066e-29, 0, 1.07128e-31, 1.36196e-30, 0, 2.12177e-26, 0, 0
0.180234, 0, 1.36705e-25, 0, 1.41421, -1.36705e-25, 0, 0, 0, 0, 0, 0, 0, 0, 2.54686e-28, 0, 6.88876e-31, 1.11166e-29, 0, 1.36438e-25, 0, 0
0.188482, 0, 7.62317e-25, 0, 1.41421, -7.62317e-25, 0, 0, 0, 0, 0, 0, 0, 0, 1.42021e-27, 0, 3.84381e-30, 7.21524e-29, 0, 7.60821e-25, 0, 0
0.196731, 0, 3.83956e-24, 0, 1.41421, -3.83956e-24, 0, 0, 0, 0, 0, 0, 0, 0, 7.15306e-27, 0, 1.93842e-29, 4.05311e-28, 0, 3.83198e-24, 0, 0
0.204979, 0, 1.82546e-23, 0, 1.41421, -1.82546e-23, 0, 0, 0, 0, 0, 0, 0, 0, 3.40078e-26, 0, 9.23969e-29, 2.12786e-27, 0, 1.82183e-23, 0, 0
0.213228, 0, 8.0578e-23, 0, 1.41421, -8.0578e-23, 0, 0, 0, 0, 0, 0, 0, 0, 1.50113e-25, 0, 4.08936e-28, 1.0121e-26, 0, 8.04174e-23, 0, 0
0.221476, 0, 3.34967e-22, 0, 1.41421, -3.34967e-22, 0, 0, 0, 0, 0, 0, 0, 0, 6.24024e-25, 0, 1.7047e-27, 4.46984e-26, 0, 3.34297e-22, 0, 0
0.229725, 0, 1.32341e-21, 0, 1.41421, -1.32341e-21, 0, 0, 0, 0, 0, 0, 0, 0, 2.46542e-24, 0, 6.75486e-27, 1.85907e-25, 0, 1.32075e-21, 0, 0
0.237973, 0, 5.00087e-21, 0, 1.41421, -5.00087e-21, 0, 0, 0, 0, 0, 0, 0, 0, 9.3162e-24, 0, 2.56049e-26, 7.34849e-25, 0, 4.9908e-21, 0, 0
0.246222, 0, 1.8159e-20, 0, 1.41421, -1.8159e-20, 0, 0, 0, 0, 0, 0, 0, 0, 3.38285e-23, 0, 9.32854e-26, 2.77832e-24, 0, 1.81223e-20, 0, 0
0.25447, 0, 6.35923e-20, 0, 1.41421, -6.35923e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.18466e-22, 0, 3.27844e-25, 1.00951e-23, 0, 6.34634e-20, 0, 0
0.262719, 0, 2.15396e-19, 0, 1.41421, -2.15396e-19, 0, 0, 0, 0, 0, 0, 0, 0, 4.01257e-22, 0, 1.11468e-24, 3.53823e-23, 0, 2.14958e-19, 0, 0
0.270967, 0, 7.07325e-19, 0, 1.41421, -7.07325e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.31766e-21, 0, 3.67532e-24, 1.19975e-22, 0, 7.05884e-19, 0, 0
0.279216, 0, 2.25637e-18, 0, 1.41421, -2.25637e-18, 0, 0, 0, 0, 0, 0, 0, 0, 4.2033e-21, 0, 1.17754e-23, 3.94526e-22, 0, 2.25176e-18, 0, 0
0.287464, 0, 7.00387e-18, 0, 1.41421, -7.00387e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.30472e-20, 0, 3.67224e-23, 1.26072e-21, 0, 6.98953e-18, 0, 0
0.295713, 0, 2.11846e-17, 0, 1.41421, -2.11846e-17, 0, 0, 0, 0, 0, 0, 0, 0, 3.94635e-20, 0, 1.11631e-22, 3.92144e-21, 0, 2.11411e-17, 0, 0
0.303961, 0, 6.25152e-17, 0, 1.41421, -6.25152e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.16455e-19, 0, 3.3119e-22, 1.18901e-20, 0, 6.23865e-17, 0, 0
0.312209, 0, 1.80172e-16, 0, 1.41421, -1.80172e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.35627e-19, 0, 9.60005e-22, 3.51849e-20, 0, 1.798e-16, 0, 0
0.320458, 0, 5.07582e-16, 0, 1.41421, -5.07582e-16, 0, 0, 0, 0, 0, 0, 0, 0, 9.45523e-19, 0, 2.72125e-21, 1.0172e-19, 0, 5.06532e-16, 0, 0
0.328706, 0, 1.39887e-15, 0, 1.41421, -1.39887e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.60577e-18, 0, 7.54927e-21, 2.8755e-19, 0, 1.39597e-15, 0, 0
0.336955, 0, 3.77376e-15, 0, 1.41421, -3.77376e-15, 0, 0, 0, 0, 0, 0, 0, 0, 7.02956e-18, 0, 2.05105e-20, 7.95431e-19, 0, 3.76591e-15, 0, 0
0.345203, 0, 9.97118e-15, 0, 1.41421, -9.97118e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.85734e-17, 0, 5.46062e-20, 2.15455e-18, 0, 9.95039e-15, 0, 0
0.353452, 0, 2.58165e-14, 0, 1.41421, -2.58165e-14, 0, 0, 0, 0, 0, 0, 0, 0, 4.80875e-17, 0, 1.42535e-19, 5.71761e-18, 0, 2.57625e-14, 0, 0
0.3617, 0, 6.55247e-14, 0, 1.41421, -6.55247e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.22047e-16, 0, 3.64936e-19, 1.48727e-17, 0, 6.53874e-14, 0, 0
