   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_35.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.194045, 0, 2.57299e-19, 0, 1.41421, -2.57299e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77191e-22, 0, 0, 2.79339e-24, 3.29536e-23, 0, 2.56586e-19, 0, 0
0.201953, 0, 6.19934e-19, 0, 1.41421, -6.19934e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63161e-21, 0, 0, 6.79652e-24, 8.08887e-23, 0, 6.18215e-19, 0, 0
0.209861, 0, 1.47104e-18, 0, 1.41421, -1.47104e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87165e-21, 0, 0, 1.62911e-23, 1.95466e-22, 0, 1.46696e-18, 0, 0
0.217768, 0, 3.51421e-18, 0, 1.41421, -3.51421e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.24906e-21, 0, 0, 3.94476e-23, 4.7753e-22, 0, 3.50445e-18, 0, 0
0.225676, 0, 8.07685e-18, 0, 1.41421, -8.07685e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12574e-20, 0, 0, 9.1629e-23, 1.11657e-21, 0, 8.05439e-18, 0, 0
0.233584, 0, 1.83135e-17, 0, 1.41421, -1.83135e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81989e-20, 0, 0, 2.10047e-22, 2.57527e-21, 0, 1.82625e-17, 0, 0
0.241491, 0, 4.09784e-17, 0, 1.41421, -4.09784e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0785e-19, 0, 0, 4.75355e-22, 5.86108e-21, 0, 4.08642e-17, 0, 0
0.249399, 0, 9.05141e-17, 0, 1.41421, -9.05141e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3822e-19, 0, 0, 1.06236e-21, 1.31673e-20, 0, 9.02617e-17, 0, 0
0.257307, 0, 1.9741e-16, 0, 1.41421, -1.9741e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1955e-19, 0, 0, 2.34529e-21, 2.92087e-20, 0, 1.96859e-16, 0, 0
0.265214, 0, 4.25217e-16, 0, 1.41421, -4.25217e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11909e-18, 0, 0, 5.11564e-21, 6.39951e-20, 0, 4.24029e-16, 0, 0
0.273122, 0, 9.04751e-16, 0, 1.41421, -9.04751e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38111e-18, 0, 0, 1.10276e-20, 1.38518e-19, 0, 9.0222e-16, 0, 0
0.28103, 0, 1.90198e-15, 0, 1.41421, -1.90198e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00554e-18, 0, 0, 2.3498e-20, 2.96276e-19, 0, 1.89666e-15, 0, 0
0.288937, 0, 3.95107e-15, 0, 1.41421, -3.95107e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03981e-17, 0, 0, 4.95032e-20, 6.26338e-19, 0, 3.93999e-15, 0, 0
0.296845, 0, 8.11178e-15, 0, 1.41421, -8.11178e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13475e-17, 0, 0, 1.0313e-19, 1.30897e-18, 0, 8.08902e-15, 0, 0
0.304752, 0, 1.64615e-14, 0, 1.41421, -1.64615e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33206e-17, 0, 0, 2.12505e-19, 2.70484e-18, 0, 1.64153e-14, 0, 0
0.31266, 0, 3.30237e-14, 0, 1.41421, -3.30237e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.69045e-17, 0, 0, 4.3317e-19, 5.52734e-18, 0, 3.29308e-14, 0, 0
0.320568, 0, 6.54987e-14, 0, 1.41421, -6.54987e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72362e-16, 0, 0, 8.73656e-19, 1.1172e-17, 0, 6.53142e-14, 0, 0
0.328475, 0, 1.28448e-13, 0, 1.41421, -1.28448e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3801e-16, 0, 0, 1.74382e-18, 2.23383e-17, 0, 1.28086e-13, 0, 0
0.336383, 0, 2.49087e-13, 0, 1.41421, -2.49087e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5546e-16, 0, 0, 3.44534e-18, 4.41921e-17, 0, 2.48384e-13, 0, 0
0.344291, 0, 4.7768e-13, 0, 1.41421, -4.7768e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25698e-15, 0, 0, 6.73979e-18, 8.65164e-17, 0, 4.7633e-13, 0, 0
0.352198, 0, 9.05968e-13, 0, 1.41421, -9.05968e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38399e-15, 0, 0, 1.30575e-17, 1.67642e-16, 0, 9.03404e-13, 0, 0
