   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_1.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.14661, 0, 6.08648e-16, 0, 1.41421, -6.08648e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.59913e-18, 0, 2.36699e-20, 2.00066e-19, 0, 6.01825e-16, 0, 0
0.154507, 0, 1.14443e-15, 0, 1.41421, -1.14443e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24081e-17, 0, 4.52884e-20, 3.84012e-19, 0, 1.13159e-15, 0, 0
0.162404, 0, 2.13258e-15, 0, 1.41421, -2.13258e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31216e-17, 0, 8.5905e-20, 7.30849e-19, 0, 2.10864e-15, 0, 0
0.170301, 0, 3.93889e-15, 0, 1.41421, -3.93889e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27054e-17, 0, 1.61567e-19, 1.37943e-18, 0, 3.89464e-15, 0, 0
0.178198, 0, 7.21183e-15, 0, 1.41421, -7.21183e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.81896e-17, 0, 3.01333e-19, 2.58244e-18, 0, 7.13075e-15, 0, 0
0.186095, 0, 1.30908e-14, 0, 1.41421, -1.30908e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41928e-16, 0, 5.57384e-19, 4.7961e-18, 0, 1.29436e-14, 0, 0
0.193992, 0, 2.35605e-14, 0, 1.41421, -2.35605e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55435e-16, 0, 1.02269e-18, 8.83773e-18, 0, 2.32952e-14, 0, 0
0.201888, 0, 4.20471e-14, 0, 1.41421, -4.20471e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55855e-16, 0, 1.86151e-18, 1.61602e-17, 0, 4.15733e-14, 0, 0
0.209785, 0, 7.4415e-14, 0, 1.41421, -7.4415e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.06764e-16, 0, 3.36179e-18, 2.93271e-17, 0, 7.35755e-14, 0, 0
0.217682, 0, 1.30614e-13, 0, 1.41421, -1.30614e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41603e-15, 0, 6.02441e-18, 5.28274e-17, 0, 1.29139e-13, 0, 0
0.225579, 0, 2.27383e-13, 0, 1.41421, -2.27383e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46512e-15, 0, 1.07139e-17, 9.44662e-17, 0, 2.24813e-13, 0, 0
0.233476, 0, 3.92639e-13, 0, 1.41421, -3.92639e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2567e-15, 0, 1.89117e-17, 1.67717e-16, 0, 3.88196e-13, 0, 0
0.241373, 0, 6.72549e-13, 0, 1.41421, -6.72549e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29131e-15, 0, 3.31376e-17, 2.95693e-16, 0, 6.64929e-13, 0, 0
0.24927, 0, 1.14397e-12, 0, 1.41421, -1.14397e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24024e-14, 0, 5.77812e-17, 5.19132e-16, 0, 1.13099e-12, 0, 0
0.257166, 0, 1.92819e-12, 0, 1.41421, -1.92819e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0905e-14, 0, 9.97994e-17, 9.02674e-16, 0, 1.90628e-12, 0, 0
0.265063, 0, 3.22449e-12, 0, 1.41421, -3.22449e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49604e-14, 0, 1.71204e-16, 1.55931e-15, 0, 3.1878e-12, 0, 0
0.27296, 0, 5.35021e-12, 0, 1.41421, -5.35021e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80109e-14, 0, 2.91762e-16, 2.67638e-15, 0, 5.28923e-12, 0, 0
0.280857, 0, 8.80844e-12, 0, 1.41421, -8.80844e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.55147e-14, 0, 4.94045e-16, 4.56511e-15, 0, 8.70787e-12, 0, 0
0.288754, 0, 1.43901e-11, 0, 1.41421, -1.43901e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56056e-13, 0, 8.31455e-16, 7.73969e-15, 0, 1.42255e-11, 0, 0
0.296651, 0, 2.33284e-11, 0, 1.41421, -2.33284e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53023e-13, 0, 1.39112e-15, 1.30452e-14, 0, 2.30609e-11, 0, 0
0.304548, 0, 3.75301e-11, 1.12104e-44, 1.41421, -3.75301e-11, 0, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 4.0713e-13, 1.12104e-44, 2.31465e-15, 2.18638e-14, 1.12104e-44, 3.70988e-11, 1.12104e-44, 1.12104e-44
0.312444, 0, 5.99192e-11, 2.07392e-43, 1.41421, -5.99192e-11, 0, 2.07392e-43, 2.07392e-43, 2.07392e-43, 2.07392e-43, 2.07392e-43, 2.07392e-43, 2.07392e-43, 2.07392e-43, 2.07392e-43, 2.07392e-43, 2.07392e-43, 6.50162e-13, 2.07392e-43, 3.83133e-15, 3.64464e-14, 2.07392e-43, 5.92288e-11, 2.07392e-43, 2.07392e-43
0.320341, 0, 9.49427e-11, 3.16273e-42, 1.41421, -9.49427e-11, 0, 3.16273e-42, 3.16273e-42, 3.16273e-42, 3.16273e-42, 3.16273e-42, 3.16273e-42, 3.16273e-42, 3.16273e-42, 3.16273e-42, 3.16273e-42, 3.16273e-42, 1.0305e-12, 3.16273e-42, 6.31138e-15, 6.04439e-14, 3.16273e-42, 9.38455e-11, 3.16273e-42, 3.16273e-42
0.328238, 0, 1.49308e-10, 4.28195e-41, 1.41421, -1.49308e-10, 0, 4.28195e-41, 4.28195e-41, 4.28195e-41, 4.28195e-41, 4.28195e-41, 4.28195e-41, 4.28195e-41, 4.28195e-41, 4.28195e-41, 4.28195e-41, 4.28195e-41, 1.62118e-12, 4.28195e-41, 1.03512e-14, 9.97569e-14, 4.28195e-41, 1.47577e-10, 4.28195e-41, 4.28195e-41
