   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_27.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00156007, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00945064, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0173412, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0252318, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0331223, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0410129, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0489035, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.056794, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0646846, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0725752, 0, 3.94094e-30, 0, 1.41421, -3.94094e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09866e-32, 0, 0, 3.05701e-35, 9.47578e-36, 0, 3.89991e-30, 0, 0, 0
0.0804657, 0, 4.31663e-29, 0, 1.41421, -4.31663e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4893e-31, 0, 0, 3.34837e-34, 9.11465e-34, 0, 4.27161e-29, 0, 0, 0
0.0883563, 0, 2.96773e-28, 0, 1.41421, -2.96773e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0864e-30, 0, 0, 2.30201e-33, 1.04394e-32, 0, 2.93674e-28, 0, 0, 0
0.0962469, 0, 1.63081e-27, 0, 1.41421, -1.63081e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.696e-29, 0, 0, 1.26497e-32, 7.44645e-32, 0, 1.61376e-27, 0, 0, 0
0.104137, 0, 7.80474e-27, 0, 1.41421, -7.80474e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.11668e-29, 0, 0, 6.05744e-32, 4.20135e-31, 0, 7.72309e-27, 0, 0, 0
0.112028, 0, 3.38996e-26, 0, 1.41421, -3.38996e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52542e-28, 0, 0, 2.6347e-31, 2.05058e-30, 0, 3.35447e-26, 0, 0, 0
0.119919, 0, 1.36761e-25, 0, 1.41421, -1.36761e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42226e-27, 0, 0, 1.06514e-30, 9.04402e-30, 0, 1.35329e-25, 0, 0, 0
0.127809, 0, 5.19902e-25, 0, 1.41421, -5.19902e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40672e-27, 0, 0, 4.05973e-30, 3.69429e-29, 0, 5.14454e-25, 0, 0, 0
