   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_94.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00128339, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00660818, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0144997, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0223913, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0302829, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0381745, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.046066, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0539576, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0618491, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0697407, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0776323, 0, 3.93412e-30, 0, 1.41421, -3.93412e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16386e-32, 0, 0, 6.76757e-35, 0, 4.08646e-36, 0, 3.91241e-30, 0, 0, 0
0.0855239, 0, 4.30343e-29, 0, 1.41421, -4.30343e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36695e-31, 0, 0, 7.40273e-34, 0, 8.39357e-34, 0, 4.27961e-29, 0, 0, 0
0.0934154, 0, 2.95474e-28, 0, 1.41421, -2.95474e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62513e-30, 0, 0, 5.08266e-33, 0, 8.92255e-33, 0, 2.93835e-28, 0, 0, 0
0.101307, 0, 1.62152e-27, 0, 1.41421, -1.62152e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.91845e-30, 0, 0, 2.79182e-32, 0, 6.05576e-32, 0, 1.61252e-27, 0, 0, 0
0.109199, 0, 7.75016e-27, 0, 1.41421, -7.75016e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2626e-29, 0, 0, 1.33803e-31, 0, 3.30108e-31, 0, 7.70707e-27, 0, 0, 0
0.11709, 0, 3.36191e-26, 0, 1.41421, -3.36191e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84905e-28, 0, 0, 5.82877e-31, 0, 1.57035e-30, 0, 3.34321e-26, 0, 0, 0
0.124982, 0, 1.35458e-25, 0, 1.41421, -1.35458e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.45012e-28, 0, 0, 2.36079e-30, 0, 6.78666e-30, 0, 1.34703e-25, 0, 0, 0
0.132873, 0, 5.14301e-25, 0, 1.41421, -5.14301e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82863e-27, 0, 0, 9.01609e-30, 0, 2.72643e-29, 0, 5.11437e-25, 0, 0, 0
