   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_113.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.188297, 0, 6.34259e-14, 0, 1.41421, -6.34259e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.28126e-16, 0, 0, 7.50751e-19, 1.99658e-15, 0, 6.09005e-14, 0, 0
0.196188, 0, 1.0886e-13, 0, 1.41421, -1.0886e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.05692e-16, 0, 0, 1.31473e-18, 3.51463e-15, 0, 1.04439e-13, 0, 0
0.20408, 0, 1.85485e-13, 0, 1.41421, -1.85485e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54184e-15, 0, 0, 2.2867e-18, 6.14705e-15, 0, 1.77794e-13, 0, 0
0.211972, 0, 3.13772e-13, 0, 1.41421, -3.13772e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6058e-15, 0, 0, 3.95055e-18, 1.06836e-14, 0, 3.00478e-13, 0, 0
0.219863, 0, 5.26994e-13, 0, 1.41421, -5.26994e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37224e-15, 0, 0, 6.78007e-18, 1.84532e-14, 0, 5.04161e-13, 0, 0
0.227755, 0, 8.78832e-13, 0, 1.41421, -8.78832e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28369e-15, 0, 0, 1.15608e-17, 3.16788e-14, 0, 8.39858e-13, 0, 0
0.235646, 0, 1.45525e-12, 0, 1.41421, -1.45525e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20476e-14, 0, 0, 1.95877e-17, 5.40582e-14, 0, 1.38912e-12, 0, 0
0.243538, 0, 2.39288e-12, 0, 1.41421, -2.39288e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97867e-14, 0, 0, 3.29821e-17, 9.1707e-14, 0, 2.28135e-12, 0, 0
0.251429, 0, 3.9073e-12, 0, 1.41421, -3.9073e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22689e-14, 0, 0, 5.52024e-17, 1.54685e-13, 0, 3.72029e-12, 0, 0
0.259321, 0, 6.33619e-12, 0, 1.41421, -6.33619e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.22582e-14, 0, 0, 9.18537e-17, 2.59456e-13, 0, 6.02438e-12, 0, 0
0.267213, 0, 1.02045e-11, 0, 1.41421, -1.02045e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.4042e-14, 0, 0, 1.51978e-16, 4.32823e-13, 0, 9.68744e-12, 0, 0
0.275104, 0, 1.63225e-11, 0, 1.41421, -1.63225e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34224e-13, 0, 0, 2.501e-16, 7.1823e-13, 0, 1.54698e-11, 0, 0
0.282996, 0, 2.59322e-11, 0, 1.41421, -2.59322e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12898e-13, 0, 0, 4.09455e-16, 1.18577e-12, 0, 2.45331e-11, 0, 0
0.290887, 0, 4.0923e-11, 0, 1.41421, -4.0923e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3538e-13, 0, 0, 6.67086e-16, 1.9481e-12, 0, 3.86388e-11, 0, 0
