   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_17.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00538586, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00253456, 0, 2.36564e-27, 0, 1.41421, -2.36564e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39607e-29, 0, 0, 3.72916e-32, 2.73078e-31, 0, 2.35137e-27, 0, 0, 0
0.010455, 0, 9.84929e-27, 0, 1.41421, -9.84929e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.81242e-29, 0, 0, 1.55772e-31, 1.30166e-30, 0, 9.78971e-27, 0, 0, 0
0.0183754, 0, 3.73385e-26, 0, 1.41421, -3.73385e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20345e-28, 0, 0, 5.93835e-31, 5.42209e-30, 0, 3.71121e-26, 0, 0, 0
0.0262958, 0, 1.31936e-25, 0, 1.41421, -1.31936e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7858e-28, 0, 0, 2.11349e-30, 2.05671e-29, 0, 1.31134e-25, 0, 0, 0
0.0342163, 0, 4.40878e-25, 0, 1.41421, -4.40878e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60169e-27, 0, 0, 7.12095e-30, 7.27468e-29, 0, 4.38196e-25, 0, 0, 0
0.0421367, 0, 1.40676e-24, 0, 1.41421, -1.40676e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.30143e-27, 0, 0, 2.29251e-29, 2.43417e-28, 0, 1.39819e-24, 0, 0, 0
0.0500571, 0, 4.31533e-24, 0, 1.41421, -4.31533e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5465e-26, 0, 0, 7.09868e-29, 7.7792e-28, 0, 4.28902e-24, 0, 0, 0
0.0579775, 0, 1.27898e-23, 0, 1.41421, -1.27898e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5473e-26, 0, 0, 2.12446e-28, 2.39048e-27, 0, 1.27117e-23, 0, 0, 0
0.0658979, 0, 3.67638e-23, 0, 1.41421, -3.67638e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16943e-25, 0, 0, 6.16804e-28, 7.09838e-27, 0, 3.65392e-23, 0, 0, 0
0.0738184, 0, 1.02795e-22, 0, 1.41421, -1.02795e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06587e-25, 0, 0, 1.74241e-27, 2.04453e-26, 0, 1.02166e-22, 0, 0, 0
0.0817388, 0, 2.80256e-22, 0, 1.41421, -2.80256e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65377e-24, 0, 0, 4.80059e-27, 5.72908e-26, 0, 2.7854e-22, 0, 0, 0
0.0896592, 0, 7.46484e-22, 0, 1.41421, -7.46484e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40492e-24, 0, 0, 1.29248e-26, 1.56555e-25, 0, 7.4191e-22, 0, 0, 0
0.0975796, 0, 1.9457e-21, 0, 1.41421, -1.9457e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14813e-23, 0, 0, 3.40605e-26, 4.18018e-25, 0, 1.93377e-21, 0, 0, 0
