   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_60.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.000646694, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00724525, 0, 7.32688e-20, 0, 1.41421, -7.32688e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.35577e-22, 0, 0, 1.3131e-24, 1.08679e-23, 0, 7.2421e-20, 0, 0
0.0151372, 0, 1.51035e-19, 0, 1.41421, -1.51035e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72244e-21, 0, 0, 2.75104e-24, 2.27858e-23, 0, 1.49287e-19, 0, 0
0.0230291, 0, 3.07907e-19, 0, 1.41421, -3.07907e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51144e-21, 0, 0, 5.70036e-24, 4.72425e-23, 0, 3.04343e-19, 0, 0
0.0309211, 0, 6.2105e-19, 0, 1.41421, -6.2105e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08256e-21, 0, 0, 1.1687e-23, 9.69085e-23, 0, 6.13859e-19, 0, 0
0.038813, 0, 1.23983e-18, 0, 1.41421, -1.23983e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41392e-20, 0, 0, 2.37175e-23, 1.96762e-22, 0, 1.22547e-18, 0, 0
0.046705, 0, 2.4506e-18, 0, 1.41421, -2.4506e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79469e-20, 0, 0, 4.76607e-23, 3.95588e-22, 0, 2.42221e-18, 0, 0
0.0545969, 0, 4.79726e-18, 0, 1.41421, -4.79726e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47083e-20, 0, 0, 9.48668e-23, 7.87812e-22, 0, 4.74167e-18, 0, 0
0.0624889, 0, 9.30346e-18, 0, 1.41421, -9.30346e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06097e-19, 0, 0, 1.87093e-22, 1.5546e-21, 0, 9.19562e-18, 0, 0
0.0703808, 0, 1.78787e-17, 0, 1.41421, -1.78787e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03888e-19, 0, 0, 3.65687e-22, 3.04064e-21, 0, 1.76714e-17, 0, 0
0.0782727, 0, 3.40538e-17, 0, 1.41421, -3.40538e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88348e-19, 0, 0, 7.0855e-22, 5.89624e-21, 0, 3.36589e-17, 0, 0
0.0861647, 0, 6.43019e-17, 0, 1.41421, -6.43019e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33294e-19, 0, 0, 1.36125e-21, 1.13385e-20, 0, 6.35559e-17, 0, 0
0.0940566, 0, 1.20391e-16, 0, 1.41421, -1.20391e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37292e-18, 0, 0, 2.59356e-21, 2.16276e-20, 0, 1.18993e-16, 0, 0
0.101949, 0, 2.23535e-16, 0, 1.41421, -2.23535e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54915e-18, 0, 0, 4.90147e-21, 4.0928e-20, 0, 2.2094e-16, 0, 0
0.109841, 0, 4.11669e-16, 0, 1.41421, -4.11669e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69458e-18, 0, 0, 9.18965e-21, 7.68559e-20, 0, 4.06888e-16, 0, 0
0.117732, 0, 7.5208e-16, 0, 1.41421, -7.5208e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.57651e-18, 0, 0, 1.70955e-20, 1.43237e-19, 0, 7.43343e-16, 0, 0
0.125624, 0, 1.36316e-15, 0, 1.41421, -1.36316e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55451e-17, 0, 0, 3.15596e-20, 2.64989e-19, 0, 1.34732e-15, 0, 0
0.133516, 0, 2.45161e-15, 0, 1.41421, -2.45161e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79571e-17, 0, 0, 5.78239e-20, 4.86699e-19, 0, 2.42311e-15, 0, 0
0.141408, 0, 4.3754e-15, 0, 1.41421, -4.3754e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9895e-17, 0, 0, 1.05162e-19, 8.87593e-19, 0, 4.32451e-15, 0, 0
0.1493, 0, 7.7498e-15, 0, 1.41421, -7.7498e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.83745e-17, 0, 0, 1.89858e-19, 1.60748e-18, 0, 7.65963e-15, 0, 0
0.157192, 0, 1.36242e-14, 0, 1.41421, -1.36242e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55362e-16, 0, 0, 3.40303e-19, 2.89145e-18, 0, 1.34656e-14, 0, 0
0.165084, 0, 2.37743e-14, 0, 1.41421, -2.37743e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71106e-16, 0, 0, 6.05657e-19, 5.16619e-18, 0, 2.34974e-14, 0, 0
0.172976, 0, 4.11831e-14, 0, 1.41421, -4.11831e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69621e-16, 0, 0, 1.07042e-18, 9.16983e-18, 0, 4.07032e-14, 0, 0
0.180868, 0, 7.08225e-14, 0, 1.41421, -7.08225e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.07604e-16, 0, 0, 1.87882e-18, 1.61709e-17, 0, 6.99969e-14, 0, 0
0.18876, 0, 1.20919e-13, 0, 1.41421, -1.20919e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37885e-15, 0, 0, 3.27543e-18, 2.83355e-17, 0, 1.19508e-13, 0, 0
0.196652, 0, 2.04979e-13, 0, 1.41421, -2.04979e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33741e-15, 0, 0, 5.67212e-18, 4.93399e-17, 0, 2.02587e-13, 0, 0
0.204544, 0, 3.45019e-13, 0, 1.41421, -3.45019e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9343e-15, 0, 0, 9.75795e-18, 8.53838e-17, 0, 3.40989e-13, 0, 0
0.212436, 0, 5.76652e-13, 0, 1.41421, -5.76652e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57569e-15, 0, 0, 1.66785e-17, 1.46872e-16, 0, 5.69912e-13, 0, 0
0.220328, 0, 9.57069e-13, 0, 1.41421, -9.57069e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09138e-14, 0, 0, 2.83265e-17, 2.51142e-16, 0, 9.45876e-13, 0, 0
0.22822, 0, 1.57743e-12, 0, 1.41421, -1.57743e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79883e-14, 0, 0, 4.78101e-17, 4.26934e-16, 0, 1.55896e-12, 0, 0
0.236112, 0, 2.58412e-12, 0, 1.41421, -2.58412e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94694e-14, 0, 0, 8.03803e-17, 7.23501e-16, 0, 2.55385e-12, 0, 0
0.244004, 0, 4.2002e-12, 0, 1.41421, -4.2002e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79012e-14, 0, 0, 1.34033e-16, 1.21585e-15, 0, 4.15095e-12, 0, 0
0.251895, 0, 6.78046e-12, 0, 1.41421, -6.78046e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.73321e-14, 0, 0, 2.22221e-16, 2.03216e-15, 0, 6.70087e-12, 0, 0
0.259787, 0, 1.08716e-11, 0, 1.41421, -1.08716e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24002e-13, 0, 0, 3.66399e-16, 3.37854e-15, 0, 1.07439e-11, 0, 0
