   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_72.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00297875, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00492306, 0, 2.37697e-20, 0, 1.41421, -2.37697e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5883e-23, 0, 0, 4.39147e-25, 2.08883e-24, 0, 2.37013e-20, 0, 0, 0
0.0128249, 0, 5.00142e-20, 0, 1.41421, -5.00142e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38625e-22, 0, 0, 9.37498e-25, 4.46344e-24, 0, 4.98701e-20, 0, 0, 0
0.0207267, 0, 1.04041e-19, 0, 1.41421, -1.04041e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88371e-22, 0, 0, 1.9789e-24, 9.43012e-24, 0, 1.03741e-19, 0, 0, 0
0.0286285, 0, 2.14058e-19, 0, 1.41421, -2.14058e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.93307e-22, 0, 0, 4.13194e-24, 1.97079e-23, 0, 2.13441e-19, 0, 0, 0
0.0365303, 0, 4.35756e-19, 0, 1.41421, -4.35756e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20779e-21, 0, 0, 8.5375e-24, 4.07582e-23, 0, 4.34499e-19, 0, 0, 0
0.0444321, 0, 8.77987e-19, 0, 1.41421, -8.77987e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43352e-21, 0, 0, 1.74626e-23, 8.34464e-23, 0, 8.75453e-19, 0, 0, 0
0.0523339, 0, 1.75145e-18, 0, 1.41421, -1.75145e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85449e-21, 0, 0, 3.5369e-23, 1.69185e-22, 0, 1.74639e-18, 0, 0, 0
0.0602357, 0, 3.46015e-18, 0, 1.41421, -3.46015e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59047e-21, 0, 0, 7.09585e-23, 3.39793e-22, 0, 3.45015e-18, 0, 0, 0
0.0681376, 0, 6.77156e-18, 0, 1.41421, -6.77156e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87687e-20, 0, 0, 1.41047e-22, 6.7622e-22, 0, 6.75198e-18, 0, 0, 0
0.0760394, 0, 1.31304e-17, 0, 1.41421, -1.31304e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63933e-20, 0, 0, 2.77849e-22, 1.33381e-21, 0, 1.30924e-17, 0, 0, 0
0.0839412, 0, 2.52322e-17, 0, 1.41421, -2.52322e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99354e-20, 0, 0, 5.4254e-22, 2.60817e-21, 0, 2.51591e-17, 0, 0, 0
0.091843, 0, 4.8062e-17, 0, 1.41421, -4.8062e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33212e-19, 0, 0, 1.05032e-21, 5.05722e-21, 0, 4.79227e-17, 0, 0, 0
0.0997448, 0, 9.07597e-17, 0, 1.41421, -9.07597e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51555e-19, 0, 0, 2.01633e-21, 9.72545e-21, 0, 9.04965e-17, 0, 0, 0
0.107647, 0, 1.69942e-16, 0, 1.41421, -1.69942e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71019e-19, 0, 0, 3.83902e-21, 1.85529e-20, 0, 1.69448e-16, 0, 0, 0
0.115548, 0, 3.15563e-16, 0, 1.41421, -3.15563e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.74628e-19, 0, 0, 7.25054e-21, 3.51154e-20, 0, 3.14646e-16, 0, 0, 0
