   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_121.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.000511415, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00737628, 0, 8.87558e-22, 0, 1.41421, -8.87558e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08722e-24, 0, 0, 7.44514e-27, 1.50419e-23, 0, 8.67421e-22, 0, 0
0.015264, 0, 2.06316e-21, 0, 1.41421, -2.06316e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18213e-23, 0, 0, 1.75717e-26, 3.56774e-23, 0, 2.01564e-21, 0, 0
0.0231517, 0, 4.72019e-21, 0, 1.41421, -4.72019e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7036e-23, 0, 0, 4.08156e-26, 8.32168e-23, 0, 4.60989e-21, 0, 0
0.0310394, 0, 1.06381e-20, 0, 1.41421, -1.06381e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09116e-23, 0, 0, 9.33913e-26, 1.91079e-22, 0, 1.0386e-20, 0, 0
0.0389271, 0, 2.36363e-20, 0, 1.41421, -2.36363e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35292e-22, 0, 0, 2.10669e-25, 4.32302e-22, 0, 2.30685e-20, 0, 0
0.0468148, 0, 5.18078e-20, 0, 1.41421, -5.18078e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96443e-22, 0, 0, 4.68818e-25, 9.64432e-22, 0, 5.05464e-20, 0, 0
0.0547025, 0, 1.12089e-19, 0, 1.41421, -1.12089e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41157e-22, 0, 0, 1.02986e-24, 2.12306e-21, 0, 1.09323e-19, 0, 0
0.0625902, 0, 2.39499e-19, 0, 1.41421, -2.39499e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3695e-21, 0, 0, 2.23438e-24, 4.61441e-21, 0, 2.33513e-19, 0, 0
0.0704779, 0, 5.05615e-19, 0, 1.41421, -5.05615e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89023e-21, 0, 0, 4.79011e-24, 9.90758e-21, 0, 4.92813e-19, 0, 0
0.0783656, 0, 1.05509e-18, 0, 1.41421, -1.05509e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02912e-21, 0, 0, 1.01514e-23, 2.10244e-20, 0, 1.02802e-18, 0, 0
0.0862532, 0, 2.17705e-18, 0, 1.41421, -2.17705e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24361e-20, 0, 0, 2.12749e-23, 4.41134e-20, 0, 2.12048e-18, 0, 0
0.094141, 0, 4.44332e-18, 0, 1.41421, -4.44332e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5373e-20, 0, 0, 4.41088e-23, 9.15549e-20, 0, 4.32635e-18, 0, 0
0.102029, 0, 8.97294e-18, 0, 1.41421, -8.97294e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12206e-20, 0, 0, 9.04974e-23, 1.88024e-19, 0, 8.73361e-18, 0, 0
0.109916, 0, 1.79339e-17, 0, 1.41421, -1.79339e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02335e-19, 0, 0, 1.83794e-22, 3.82216e-19, 0, 1.74491e-17, 0, 0
0.117804, 0, 3.54842e-17, 0, 1.41421, -3.54842e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02406e-19, 0, 0, 3.69595e-22, 7.69316e-19, 0, 3.45121e-17, 0, 0
0.125692, 0, 6.95217e-17, 0, 1.41421, -6.95217e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96405e-19, 0, 0, 7.36092e-22, 1.53364e-18, 0, 6.75909e-17, 0, 0
0.133579, 0, 1.34903e-16, 0, 1.41421, -1.34903e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.68895e-19, 0, 0, 1.45228e-21, 3.02885e-18, 0, 1.31104e-16, 0, 0
0.141467, 0, 2.59316e-16, 0, 1.41421, -2.59316e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47738e-18, 0, 0, 2.83904e-21, 5.92758e-18, 0, 2.51908e-16, 0, 0
0.149355, 0, 4.93876e-16, 0, 1.41421, -4.93876e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81251e-18, 0, 0, 5.50026e-21, 1.1498e-17, 0, 4.7956e-16, 0, 0
0.157243, 0, 9.32103e-16, 0, 1.41421, -9.32103e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3057e-18, 0, 0, 1.05625e-20, 2.21107e-17, 0, 9.04676e-16, 0, 0
0.16513, 0, 1.74355e-15, 0, 1.41421, -1.74355e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.91989e-18, 0, 0, 2.0109e-20, 4.21607e-17, 0, 1.69144e-15, 0, 0
0.173018, 0, 3.23286e-15, 0, 1.41421, -3.23286e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83843e-17, 0, 0, 3.79599e-20, 7.97295e-17, 0, 3.13471e-15, 0, 0
0.180906, 0, 5.94269e-15, 0, 1.41421, -5.94269e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37766e-17, 0, 0, 7.10609e-20, 1.49559e-16, 0, 5.75928e-15, 0, 0
0.188793, 0, 1.08311e-14, 0, 1.41421, -1.08311e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15271e-17, 0, 0, 1.31937e-19, 2.78327e-16, 0, 1.04911e-14, 0, 0
0.196681, 0, 1.95749e-14, 0, 1.41421, -1.95749e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11133e-16, 0, 0, 2.42998e-19, 5.13949e-16, 0, 1.89495e-14, 0, 0
0.204569, 0, 3.50841e-14, 0, 1.41421, -3.50841e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99064e-16, 0, 0, 4.44008e-19, 9.41819e-16, 0, 3.39427e-14, 0, 0
0.212456, 0, 6.23654e-14, 0, 1.41421, -6.23654e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5363e-16, 0, 0, 8.04982e-19, 1.713e-15, 0, 6.0298e-14, 0, 0
0.220344, 0, 1.09961e-13, 0, 1.41421, -1.09961e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23088e-16, 0, 0, 1.44824e-18, 3.09277e-15, 0, 1.06243e-13, 0, 0
0.228232, 0, 1.92319e-13, 0, 1.41421, -1.92319e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08899e-15, 0, 0, 2.58589e-18, 5.54361e-15, 0, 1.85684e-13, 0, 0
0.236119, 0, 3.33682e-13, 0, 1.41421, -3.33682e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88802e-15, 0, 0, 4.58296e-18, 9.86615e-15, 0, 3.21923e-13, 0, 0
