   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_119.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.330543, 0, 2.22561e-10, 1.6437e-40, 1.41421, -2.22561e-10, 1.6437e-40, 0, 1.6437e-40, 1.6437e-40, 1.6437e-40, 1.6437e-40, 1.6437e-40, 1.6437e-40, 1.6437e-40, 1.6437e-40, 1.6437e-40, 1.6437e-40, 6.3991e-13, 1.6437e-40, 1.6437e-40, 4.03284e-15, 1.6437e-40, 1.39736e-11, 1.6437e-40, 2.07943e-10, 1.6437e-40, 1.6437e-40, 1.6437e-40
0.338429, 0, 3.4359e-10, 1.91878e-39, 1.41421, -3.4359e-10, 1.91878e-39, 0, 1.91878e-39, 1.91878e-39, 1.91878e-39, 1.91878e-39, 1.91878e-39, 1.91878e-39, 1.91878e-39, 1.91878e-39, 1.91878e-39, 1.91878e-39, 9.85018e-13, 1.91878e-39, 1.91878e-39, 6.5163e-15, 1.91878e-39, 2.26996e-11, 1.91878e-39, 3.19899e-10, 1.91878e-39, 1.91878e-39, 1.91878e-39
0.346314, 0, 5.26948e-10, 2.01992e-38, 1.41421, -5.26948e-10, 2.01992e-38, 0, 2.01992e-38, 2.01992e-38, 2.01992e-38, 2.01992e-38, 2.01992e-38, 2.01992e-38, 2.01992e-38, 2.01992e-38, 2.01992e-38, 2.01992e-38, 1.50582e-12, 2.01992e-38, 2.01992e-38, 1.05004e-14, 2.01992e-38, 3.6747e-11, 2.01992e-38, 4.88684e-10, 2.01992e-38, 2.01992e-38, 2.01992e-38
0.3542, 0, 8.03086e-10, 7.20564e-37, 1.41421, -8.03086e-10, 7.20564e-37, 0, 7.20564e-37, 7.20564e-37, 7.20564e-37, 7.20564e-37, 7.20564e-37, 7.20564e-37, 7.20564e-37, 7.20564e-37, 7.20564e-37, 7.20564e-37, 2.28653e-12, 7.20564e-37, 7.20564e-37, 1.69114e-14, 7.20564e-37, 5.93983e-11, 7.20564e-37, 7.41384e-10, 7.20564e-37, 7.20564e-37, 7.20564e-37
0.362086, 0, 1.2159e-09, 5.75228e-36, 1.41421, -1.2159e-09, 5.75228e-36, 0, 5.75228e-36, 5.75228e-36, 5.75228e-36, 5.75228e-36, 5.75228e-36, 5.75228e-36, 5.75228e-36, 5.75228e-36, 5.75228e-36, 5.75228e-36, 3.44812e-12, 5.75228e-36, 5.75228e-36, 2.71392e-14, 5.75228e-36, 9.55868e-11, 5.75228e-36, 1.11684e-09, 5.75228e-36, 5.75228e-36, 5.75228e-36
0.369972, 0, 1.82949e-09, 4.22722e-35, 1.41421, -1.82949e-09, 4.22722e-35, 0, 4.22722e-35, 4.22722e-35, 4.22722e-35, 4.22722e-35, 4.22722e-35, 4.22722e-35, 4.22722e-35, 4.22722e-35, 4.22722e-35, 4.22722e-35, 5.16504e-12, 4.22722e-35, 4.22722e-35, 4.34916e-14, 4.22722e-35, 1.53447e-10, 4.22722e-35, 1.67084e-09, 4.22722e-35, 4.22722e-35, 4.22722e-35
0.377857, 0, 2.73605e-09, 2.90612e-34, 1.41421, -2.73605e-09, 2.90612e-34, 0, 2.90612e-34, 2.90612e-34, 2.90612e-34, 2.90612e-34, 2.90612e-34, 2.90612e-34, 2.90612e-34, 2.90612e-34, 2.90612e-34, 2.90612e-34, 7.68568e-12, 2.90612e-34, 2.90612e-34, 6.96259e-14, 2.90612e-34, 2.45806e-10, 2.90612e-34, 2.48249e-09, 2.90612e-34, 2.90612e-34, 2.90612e-34
0.385743, 0, 4.06777e-09, 1.98213e-33, 1.41421, -4.06777e-09, 1.98213e-33, 0, 1.98213e-33, 1.98213e-33, 1.98213e-33, 1.98213e-33, 1.98213e-33, 1.98213e-33, 1.98213e-33, 1.98213e-33, 1.98213e-33, 1.98213e-33, 1.13616e-11, 1.98213e-33, 1.98213e-33, 1.11385e-13, 1.98213e-33, 3.9303e-10, 1.98213e-33, 3.66327e-09, 1.98213e-33, 1.98213e-33, 1.98213e-33
0.393629, 0, 6.01332e-09, 1.2799e-32, 1.41421, -6.01332e-09, 1.2799e-32, 0, 1.2799e-32, 1.2799e-32, 1.2799e-32, 1.2799e-32, 1.2799e-32, 1.2799e-32, 1.2799e-32, 1.2799e-32, 1.2799e-32, 1.2799e-32, 1.66873e-11, 1.2799e-32, 1.2799e-32, 1.78105e-13, 1.2799e-32, 6.27424e-10, 1.2799e-32, 5.36903e-09, 1.2799e-32, 1.2799e-32, 1.2799e-32
0.401514, 0, 8.84088e-09, 7.73107e-32, 1.41421, -8.84088e-09, 7.73107e-32, 0, 7.73107e-32, 7.73107e-32, 7.73107e-32, 7.73107e-32, 7.73107e-32, 7.73107e-32, 7.73107e-32, 7.73107e-32, 7.73107e-32, 7.73107e-32, 2.43534e-11, 7.73107e-32, 7.73107e-32, 2.84693e-13, 7.73107e-32, 1.00018e-09, 7.73107e-32, 7.81606e-09, 7.73107e-32, 7.73107e-32, 7.73107e-32
0.4094, 0, 1.29303e-08, 4.36501e-31, 1.41421, -1.29303e-08, 4.36501e-31, 0, 4.36501e-31, 4.36501e-31, 4.36501e-31, 4.36501e-31, 4.36501e-31, 4.36501e-31, 4.36501e-31, 4.36501e-31, 4.36501e-31, 4.36501e-31, 3.53184e-11, 4.36501e-31, 4.36501e-31, 4.54929e-13, 4.36501e-31, 1.59229e-09, 4.36501e-31, 1.13022e-08, 4.36501e-31, 4.36501e-31, 4.36501e-31
0.417286, 0, 1.88182e-08, 2.30881e-30, 1.41421, -1.88182e-08, 2.30881e-30, 0, 2.30881e-30, 2.30881e-30, 2.30881e-30, 2.30881e-30, 2.30881e-30, 2.30881e-30, 2.30881e-30, 2.30881e-30, 2.30881e-30, 2.30881e-30, 5.09045e-11, 2.30881e-30, 2.30881e-30, 7.26689e-13, 2.30881e-30, 2.53168e-09, 2.30881e-30, 1.62349e-08, 2.30881e-30, 2.30881e-30, 2.30881e-30
0.425172, 0, 2.72604e-08, 1.14749e-29, 1.41421, -2.72604e-08, 1.14749e-29, 0, 1.14749e-29, 1.14749e-29, 1.14749e-29, 1.14749e-29, 1.14749e-29, 1.14749e-29, 1.14749e-29, 1.14749e-29, 1.14749e-29, 1.14749e-29, 7.29244e-11, 1.14749e-29, 1.14749e-29, 1.16015e-12, 1.14749e-29, 4.01984e-09, 1.14749e-29, 2.31665e-08, 1.14749e-29, 1.14749e-29, 1.14749e-29
0.433057, 0, 3.93205e-08, 5.37601e-29, 1.41421, -3.93205e-08, 5.37601e-29, 0, 5.37601e-29, 5.37601e-29, 5.37601e-29, 5.37601e-29, 5.37601e-29, 5.37601e-29, 5.37601e-29, 5.37601e-29, 5.37601e-29, 5.37601e-29, 1.03848e-10, 5.37601e-29, 5.37601e-29, 1.85067e-12, 5.37601e-29, 6.37319e-09, 5.37601e-29, 3.28416e-08, 5.37601e-29, 5.37601e-29, 5.37601e-29
0.440943, 0, 5.64924e-08, 2.38157e-28, 1.41421, -5.64924e-08, 2.38157e-28, 0, 2.38157e-28, 2.38157e-28, 2.38157e-28, 2.38157e-28, 2.38157e-28, 2.38157e-28, 2.38157e-28, 2.38157e-28, 2.38157e-28, 2.38157e-28, 1.47024e-10, 2.38157e-28, 2.38157e-28, 2.94875e-12, 2.38157e-28, 1.00867e-08, 2.38157e-28, 4.62557e-08, 2.38157e-28, 2.38157e-28, 2.38157e-28
0.448829, 0, 8.08733e-08, 1.00061e-27, 1.41421, -8.08733e-08, 1.00061e-27, 0, 1.00061e-27, 1.00061e-27, 1.00061e-27, 1.00061e-27, 1.00061e-27, 1.00061e-27, 1.00061e-27, 1.00061e-27, 1.00061e-27, 1.00061e-27, 2.06962e-10, 1.00061e-27, 1.00061e-27, 4.69101e-12, 1.00061e-27, 1.59312e-08, 1.00061e-27, 6.47304e-08, 1.00061e-27, 1.00061e-27, 1.00061e-27
0.456715, 0, 1.15406e-07, 3.99814e-27, 1.41421, -1.15406e-07, 3.99814e-27, 0, 3.99814e-27, 3.99814e-27, 3.99814e-27, 3.99814e-27, 3.99814e-27, 3.99814e-27, 3.99814e-27, 3.99814e-27, 3.99814e-27, 3.99814e-27, 2.89709e-10, 3.99814e-27, 3.99814e-27, 7.44766e-12, 3.99814e-27, 2.51008e-08, 3.99814e-27, 9.00076e-08, 3.99814e-27, 3.99814e-27, 3.99814e-27
0.4646, 0, 1.64216e-07, 1.52339e-26, 1.41421, -1.64216e-07, 1.52339e-26, 0, 1.52339e-26, 1.52339e-26, 1.52339e-26, 1.52339e-26, 1.52339e-26, 1.52339e-26, 9.67132e-14, 1.52339e-26, 1.52339e-26, 1.52339e-26, 4.03324e-10, 1.52339e-26, 1.52339e-26, 1.17948e-11, 1.52339e-26, 3.94341e-08, 1.52339e-26, 1.24367e-07, 1.52339e-26, 1.52339e-26, 1.52339e-26
0.472486, 0, 2.33092e-07, 5.549e-26, 1.41421, -2.33092e-07, 5.549e-26, 0, 5.549e-26, 5.549e-26, 5.549e-26, 5.549e-26, 5.549e-26, 5.549e-26, 3.23252e-13, 5.549e-26, 5.549e-26, 5.549e-26, 5.58494e-10, 5.549e-26, 5.549e-26, 1.86236e-11, 5.549e-26, 6.17437e-08, 5.549e-26, 1.70771e-07, 5.549e-26, 5.549e-26, 5.549e-26
0.480372, 0, 3.30142e-07, 1.94749e-25, 1.41421, -3.30142e-07, 1.94749e-25, 0, 1.94749e-25, 1.94749e-25, 1.94749e-25, 1.94749e-25, 1.94749e-25, 1.94749e-25, 8.39255e-13, 1.94749e-25, 1.94749e-25, 1.94749e-25, 7.69317e-10, 1.94749e-25, 1.94749e-25, 2.93045e-11, 1.94749e-25, 9.63006e-08, 1.94749e-25, 2.33042e-07, 1.94749e-25, 1.94749e-25, 1.94749e-25
0.488257, 0, 4.68175e-07, 4.94233e-10, 1.41421, -4.68175e-07, 4.97284e-10, 4.94233e-10, 4.94239e-10, 4.94255e-10, 5.02488e-10, 4.94519e-10, 4.95292e-10, 4.9476e-10, 5.00671e-10, 5.03723e-10, 4.97796e-10, 1.37283e-09, 1.54855e-09, 4.95357e-10, 4.9428e-10, 5.40163e-10, 4.94273e-10, 1.50034e-07, 4.94234e-10, 3.16609e-07, 4.94233e-10, 4.94233e-10, 5.07616e-10
0.496143, 0, 6.63539e-07, 1.64125e-09, 1.41421, -6.63539e-07, 1.65141e-09, 1.64125e-09, 1.64127e-09, 1.64133e-09, 1.66872e-09, 1.64221e-09, 1.64478e-09, 1.64301e-09, 1.66055e-09, 1.67283e-09, 1.65311e-09, 4.56482e-09, 3.07891e-09, 1.645e-09, 1.64141e-09, 1.71294e-09, 1.64212e-09, 2.3272e-07, 1.64126e-09, 4.27872e-07, 1.64125e-09, 1.64125e-09, 1.68579e-09
0.504029, 0, 9.4082e-07, 4.23763e-09, 1.41421, -9.4082e-07, 4.2639e-09, 4.23763e-09, 4.23768e-09, 4.23782e-09, 4.30869e-09, 4.2401e-09, 4.24675e-09, 4.24217e-09, 4.28573e-09, 4.31931e-09, 4.2683e-09, 1.17995e-08, 6.18834e-09, 4.24731e-09, 4.23804e-09, 4.34898e-09, 4.24054e-09, 3.59387e-07, 4.23764e-09, 5.75644e-07, 4.23763e-09, 4.23763e-09, 4.35282e-09
0.511915, 0, 1.3359e-06, 9.98648e-09, 1.41421, -1.3359e-06, 1.00484e-08, 9.98648e-09, 9.9866e-09, 9.98693e-09, 1.01541e-08, 9.9923e-09, 1.0008e-08, 9.99719e-09, 1.00977e-08, 1.01792e-08, 1.00588e-08, 2.78249e-08, 1.26205e-08, 1.00093e-08, 9.98744e-09, 1.01585e-08, 9.99425e-09, 5.52627e-07, 9.9865e-09, 7.71663e-07, 9.98648e-09, 9.98648e-09, 1.02582e-08
0.5198, 0, 1.90214e-06, 2.24349e-08, 1.41421, -1.90214e-06, 2.25742e-08, 2.24349e-08, 2.24352e-08, 2.24359e-08, 2.28117e-08, 2.2448e-08, 2.24833e-08, 2.2459e-08, 2.26812e-08, 2.28681e-08, 2.25976e-08, 6.25354e-08, 2.59747e-08, 2.24863e-08, 2.24371e-08, 2.26994e-08, 2.24538e-08, 8.46363e-07, 2.2435e-08, 1.03218e-06, 2.24349e-08, 2.24349e-08, 2.30458e-08
0.527686, 0, 2.7216e-06, 4.88059e-08, 1.41421, -2.7216e-06, 4.91091e-08, 4.88059e-08, 4.88066e-08, 4.88081e-08, 4.9626e-08, 4.88344e-08, 4.89112e-08, 4.88583e-08, 4.93445e-08, 4.97486e-08, 4.91599e-08, 1.36083e-07, 5.35405e-08, 4.89177e-08, 4.88106e-08, 4.92101e-08, 4.88491e-08, 1.2929e-06, 4.88061e-08, 1.38045e-06, 4.88059e-08, 4.88059e-08, 5.01354e-08
0.535572, 0, 3.91744e-06, 1.0347e-07, 1.41421, -3.91744e-06, 1.04113e-07, 1.0347e-07, 1.03471e-07, 1.03475e-07, 1.05209e-07, 1.0353e-07, 1.03693e-07, 1.03581e-07, 1.04698e-07, 1.05469e-07, 1.04221e-07, 2.88568e-07, 1.09773e-07, 1.03707e-07, 1.0348e-07, 1.04084e-07, 1.03565e-07, 1.96776e-06, 1.0347e-07, 1.85121e-06, 1.0347e-07, 1.0347e-07, 1.0629e-07
0.543458, 0, 5.68657e-06, 2.14359e-07, 1.41421, -5.68657e-06, 2.15692e-07, 2.14359e-07, 2.14362e-07, 2.14369e-07, 2.17963e-07, 2.14484e-07, 2.14822e-07, 2.14589e-07, 2.17812e-07, 2.18502e-07, 2.15915e-07, 5.97951e-07, 2.22711e-07, 2.1485e-07, 2.1438e-07, 2.15286e-07, 2.14563e-07, 2.98812e-06, 2.1436e-07, 2.49847e-06, 2.14359e-07, 2.14359e-07, 2.20202e-07
0.551343, 0, 8.34101e-06, 4.34508e-07, 1.41421, -8.34101e-06, 4.37209e-07, 4.34508e-07, 4.34513e-07, 4.34527e-07, 4.41816e-07, 4.34761e-07, 4.35446e-07, 4.34975e-07, 4.42697e-07, 4.42909e-07, 4.37662e-07, 1.21229e-06, 4.45525e-07, 4.35503e-07, 4.34549e-07, 4.35898e-07, 4.34934e-07, 4.53141e-06, 4.34509e-07, 3.40916e-06, 4.34508e-07, 4.34508e-07, 4.46356e-07
0.559229, 0, 1.23848e-05, 8.62294e-07, 1.41421, -1.23848e-05, 8.67656e-07, 8.62294e-07, 8.62304e-07, 8.62332e-07, 8.76801e-07, 8.62797e-07, 8.64155e-07, 8.6322e-07, 8.80388e-07, 8.7897e-07, 8.68556e-07, 2.40628e-06, 8.7676e-07, 8.6427e-07, 8.62376e-07, 8.64368e-07, 8.63165e-07, 6.86906e-06, 8.62296e-07, 4.72677e-06, 8.62294e-07, 8.62294e-07, 8.85813e-07
0.567115, 0, 1.86366e-05, 1.67595e-06, 1.41421, -1.86366e-05, 1.68637e-06, 1.67595e-06, 1.67597e-06, 1.67602e-06, 1.70415e-06, 1.67693e-06, 1.67957e-06, 1.67775e-06, 1.71431e-06, 1.70837e-06, 1.68812e-06, 4.67773e-06, 1.69486e-06, 1.67979e-06, 1.67611e-06, 1.67902e-06, 1.67769e-06, 1.04182e-05, 1.67595e-06, 6.69097e-06, 1.67595e-06, 1.67595e-06, 1.72167e-06
